"MacroTrends Data Download"
"INTC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-03-17,0.1908,0.1938,0.1908,0.1908,10924800
1980-03-18,0.1908,0.1923,0.1893,0.1893,17068800
1980-03-19,0.1938,0.1969,0.1938,0.1938,18508800
1980-03-20,0.1938,0.1961,0.1931,0.1931,11174400
1980-03-21,0.1893,0.1893,0.1862,0.1862,12172800
1980-03-24,0.1854,0.1854,0.1824,0.1824,8966400
1980-03-25,0.1831,0.1862,0.1831,0.1831,11347200
1980-03-26,0.1831,0.1847,0.1816,0.1816,16262400
1980-03-27,0.1786,0.1786,0.1755,0.1755,26918400
1980-03-28,0.1824,0.1854,0.1824,0.1824,20102400
1980-03-31,0.1885,0.1915,0.1885,0.1885,9004800
1980-04-01,0.1893,0.1923,0.1893,0.1893,8179200
1980-04-02,0.1908,0.1938,0.1908,0.1908,12556800
1980-04-03,0.1900,0.1900,0.1870,0.1870,6988800
1980-04-07,0.1854,0.1854,0.1824,0.1824,13478400
1980-04-08,0.1831,0.1862,0.1831,0.1831,29184000
1980-04-09,0.1824,0.1824,0.1793,0.1793,11558400
1980-04-10,0.1793,0.1816,0.1786,0.1786,14784000
1980-04-11,0.1786,0.1816,0.1786,0.1786,9523200
1980-04-14,0.1801,0.1831,0.1801,0.1801,8025600
1980-04-15,0.1801,0.1809,0.1778,0.1778,10598400
1980-04-16,0.1740,0.1740,0.1709,0.1709,10752000
1980-04-17,0.1709,0.1709,0.1679,0.1679,17702400
1980-04-18,0.1702,0.1732,0.1702,0.1702,18739200
1980-04-21,0.1702,0.1717,0.1686,0.1686,9043200
1980-04-22,0.1763,0.1793,0.1763,0.1763,20428800
1980-04-23,0.1870,0.1900,0.1870,0.1870,14822400
1980-04-24,0.1877,0.1908,0.1877,0.1877,8832000
1980-04-25,0.1877,0.1877,0.1847,0.1847,7104000
1980-04-28,0.1847,0.1862,0.1831,0.1831,6931200
1980-04-29,0.1847,0.1877,0.1847,0.1847,6297600
1980-04-30,0.1870,0.1900,0.1870,0.1870,7065600
1980-05-01,0.1877,0.1908,0.1877,0.1877,7008000
1980-05-02,0.1908,0.1938,0.1908,0.1908,5510400
1980-05-05,0.1931,0.1961,0.1931,0.1931,3513600
1980-05-06,0.1931,0.1954,0.1923,0.1923,6988800
1980-05-07,0.1923,0.1954,0.1923,0.1923,6393600
1980-05-08,0.1923,0.1931,0.1900,0.1900,7468800
1980-05-09,0.1923,0.1954,0.1923,0.1923,16684800
1980-05-12,0.1923,0.1946,0.1915,0.1915,8582400
1980-05-13,0.1954,0.1984,0.1954,0.1954,7372800
1980-05-14,0.1984,0.2015,0.1984,0.1984,4742400
1980-05-15,0.1999,0.2030,0.1999,0.1999,8102400
1980-05-16,0.2022,0.2053,0.2022,0.2022,4838400
1980-05-19,0.2030,0.2060,0.2030,0.2030,8640000
1980-05-20,0.2030,0.2038,0.2007,0.2007,21811200
1980-05-21,0.1992,0.1992,0.1961,0.1961,10540800
1980-05-22,0.1961,0.1969,0.1938,0.1938,5318400
1980-05-23,0.2007,0.2038,0.2007,0.2007,29779200
1980-05-27,0.2007,0.2030,0.1999,0.1999,8332800
1980-05-28,0.2045,0.2076,0.2045,0.2045,6700800
1980-05-29,0.2045,0.2076,0.2045,0.2045,7660800
1980-05-30,0.2076,0.2106,0.2076,0.2076,5721600
1980-06-02,0.2083,0.2114,0.2083,0.2083,6355200
1980-06-03,0.2060,0.2060,0.2030,0.2030,15244800
1980-06-04,0.2060,0.2091,0.2060,0.2060,7680000
