"MacroTrends Data Download"
"MANH - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1998-04-23,6.5000,6.6250,5.4700,5.4700,18922800
1998-04-24,6.0000,6.4075,5.5950,6.1400,4247200
1998-04-27,6.0950,6.1250,5.3750,5.6725,3006800
1998-04-28,6.1250,6.2200,5.5950,5.5950,1848400
1998-04-29,5.7500,5.8125,5.4075,5.6575,1175600
1998-04-30,5.7500,5.8750,5.5625,5.6575,830800
1998-05-01,5.7200,5.7500,5.5000,5.5625,330000
1998-05-04,5.5950,5.6575,5.5000,5.5950,534400
1998-05-05,5.6250,5.6250,5.5625,5.5625,373600
1998-05-06,5.5625,5.6250,5.3750,5.5000,291200
1998-05-07,5.4375,5.4375,4.8750,4.9075,1057600
1998-05-08,5.0325,5.5000,4.9700,5.4075,763200
1998-05-11,5.3750,5.4225,5.0625,5.0950,279200
1998-05-12,5.1250,5.1250,4.7025,4.9075,1971200
1998-05-13,4.8125,5.1250,4.7500,4.9525,585600
1998-05-14,4.9375,4.9375,4.6875,4.7025,427200
1998-05-15,4.6575,4.6725,4.4375,4.5625,1168800
1998-05-18,4.5325,4.6575,4.3750,4.4700,688800
1998-05-19,4.6250,5.3750,4.6250,5.2500,2302400
1998-05-20,5.3450,5.3450,5.0950,5.0950,556400
1998-05-21,5.1575,5.1575,4.9075,4.9375,551200
1998-05-22,4.9700,5.1575,4.9075,5.1575,249200
1998-05-26,5.1575,5.1575,4.8450,4.8750,142400
1998-05-27,4.8750,4.9375,4.7825,4.9075,930400
1998-05-28,5.0000,5.0950,4.8750,4.8750,208000
1998-05-29,4.8750,5.0950,4.8450,5.0000,485600
