"MacroTrends Data Download"
"TXN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1972-06-01,0.9834,0.9858,0.9775,0.9843,825600
1972-06-02,0.9948,1.0046,0.9948,1.0023,2496000
1972-06-05,1.0023,1.0137,1.0001,1.0039,960000
1972-06-06,1.0039,1.0061,0.9617,0.9617,1824000
1972-06-07,0.9617,0.9662,0.9579,0.9579,604800
1972-06-08,0.9579,0.9700,0.9572,0.9594,1180800
1972-06-09,0.9594,0.9609,0.9474,0.9549,451200
1972-06-12,0.9587,0.9617,0.9587,0.9609,153600
1972-06-13,0.9655,1.0009,0.9655,1.0009,700800
1972-06-14,1.0061,1.0227,1.0061,1.0182,787200
1972-06-15,1.0182,1.0302,1.0137,1.0174,787200
1972-06-16,1.0144,1.0144,1.0016,1.0107,576000
1972-06-19,1.0069,1.0069,1.0001,1.0061,720000
1972-06-20,1.0137,1.0227,1.0137,1.0227,460800
1972-06-21,1.0227,1.0317,1.0167,1.0167,1872000
1972-06-22,1.0167,1.0182,1.0122,1.0174,604800
1972-06-23,1.0197,1.0295,1.0197,1.0287,787200
1972-06-26,1.0272,1.0272,1.0220,1.0272,470400
1972-06-27,1.0272,1.0302,1.0122,1.0197,1008000
1972-06-28,1.0182,1.0182,1.0122,1.0122,57600
1972-06-29,1.0039,1.0039,0.9971,0.9986,326400
1972-06-30,1.0023,1.0227,1.0023,1.0167,441600
1972-07-03,1.0152,1.0152,1.0091,1.0122,422400
1972-07-05,1.0122,1.0513,1.0107,1.0438,1065600
1972-07-06,1.0483,1.0589,1.0483,1.0573,1008000
1972-07-07,1.0573,1.0724,1.0558,1.0724,1094400
1972-07-10,1.0679,1.0679,1.0483,1.0483,1344000
1972-07-11,1.0483,1.0566,1.0438,1.0483,739200
1972-07-12,1.0483,1.0566,1.0423,1.0423,604800
