"MacroTrends Data Download"
"ALB - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1994-02-22,4.6710,4.6710,4.5918,4.5918,20800
1994-02-23,4.5126,4.5126,4.2751,4.3955,31600
1994-02-24,4.3955,4.3955,4.3163,4.3163,32000
1994-02-25,4.2371,4.2371,3.9584,4.0788,49800
1994-02-28,4.1168,4.2751,4.0788,4.1959,170400
1994-03-01,4.1959,4.1959,4.1168,4.1579,41600
1994-03-02,4.0788,4.1579,4.0788,4.1579,67000
1994-03-03,4.1959,4.1959,4.1168,4.1168,27800
1994-03-04,4.1168,4.2751,4.0788,4.2751,358200
1994-03-07,4.0788,4.3163,4.0788,4.2751,690800
1994-03-08,4.2751,4.3163,4.2751,4.3163,515200
1994-03-09,4.3163,4.3543,4.3163,4.3543,540400
1994-03-10,4.3543,4.3543,4.3163,4.3543,1832200
1994-03-11,4.3955,4.5538,4.3955,4.5538,1895400
1994-03-14,4.5538,4.8293,4.5538,4.7913,1413800
1994-03-15,4.7913,4.8705,4.7121,4.7121,1665200
1994-03-16,4.7121,4.7121,4.6330,4.7121,717000
1994-03-17,4.7277,4.8866,4.7277,4.8071,971200
1994-03-18,4.8453,4.8866,4.8453,4.8453,1178000
1994-03-21,4.8453,4.8866,4.8453,4.8866,659400
1994-03-22,4.8866,5.0041,4.8866,4.9660,374000
1994-03-23,4.9660,5.0454,4.9247,5.0041,430200
