"MacroTrends Data Download"
"AUST - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2022-05-04,6.5000,29.0000,4.1500,4.3700,7989928
2022-05-05,5.1900,5.8100,3.4900,3.7200,14171617
2022-05-06,3.4100,3.4600,2.8800,2.9600,2175695
2022-05-09,2.7000,3.7300,2.5000,2.7900,9719515
2022-05-10,2.7700,3.0953,2.3000,2.3500,2130115
2022-05-11,2.1600,2.4700,1.8800,1.9500,1649961
2022-05-12,1.8400,1.9500,1.7500,1.7886,849224
2022-05-13,1.8100,2.0400,1.7200,1.8150,983539
2022-05-16,1.8500,1.9500,1.7500,1.8501,499043
2022-05-17,1.9700,1.9700,1.7500,1.7600,486805
2022-05-18,1.7200,1.8950,1.6700,1.7100,414313
2022-05-19,1.6700,2.4000,1.6700,2.0700,4872148
2022-05-20,1.9600,2.0201,1.8000,1.8400,522928
2022-05-23,1.8400,1.9200,1.7900,1.8299,311332
2022-05-24,1.7500,1.9200,1.6900,1.7600,580707
2022-05-25,1.7400,1.8800,1.6200,1.7000,365755
2022-05-26,1.6800,1.7500,1.6101,1.6800,304474
2022-05-27,1.6700,1.7400,1.6500,1.6900,376109
2022-05-31,1.6600,1.7500,1.6600,1.7200,276859
2022-06-01,1.7016,1.8100,1.6600,1.6700,346670
2022-06-02,1.6600,1.7800,1.6600,1.7400,262773
2022-06-03,1.7000,1.7296,1.6800,1.7000,102189
2022-06-06,1.7100,1.7300,1.6200,1.6700,144640
2022-06-07,1.6500,1.7300,1.6399,1.7100,121164
2022-06-08,1.7100,2.0700,1.6500,1.9900,1035340
2022-06-09,2.0000,2.0399,1.7500,1.7500,299415
2022-06-10,1.7400,1.9900,1.7100,1.9400,763259
2022-06-13,1.9200,1.9495,1.7103,1.7300,417750
2022-06-14,1.7013,1.8000,1.7000,1.7498,150754
2022-06-15,1.7800,2.4000,1.7300,2.2300,6994893
2022-06-16,2.2800,2.5500,2.1200,2.3000,1622538
2022-06-17,2.3800,2.3800,2.1701,2.2800,318012
2022-06-21,2.2400,2.3899,2.2000,2.2700,237129
2022-06-22,2.2400,2.4500,2.1850,2.2600,407824
2022-06-23,2.3000,2.3499,2.1500,2.2000,273830
2022-06-24,2.2100,2.2500,2.1500,2.2106,109487
2022-06-27,2.1600,2.2499,2.1200,2.1400,141712
2022-06-28,2.0600,2.2300,1.9600,2.0500,197122
2022-06-29,2.0300,2.2366,1.9800,2.0500,254647
2022-06-30,2.1000,2.1200,1.7600,1.8100,222115
2022-07-01,1.8100,2.1163,1.7500,1.8200,544286
2022-07-05,1.8100,1.8900,1.5500,1.6500,410245
2022-07-06,1.6400,1.7900,1.6100,1.6500,146956
2022-07-07,1.6400,1.7100,1.6200,1.6650,135988
2022-07-08,1.6700,1.7200,1.6400,1.7100,38667
2022-07-11,1.7200,1.7200,1.6400,1.6600,27803
2022-07-12,1.6800,1.7500,1.6100,1.6700,185857
2022-07-13,1.6100,1.6600,1.6100,1.6300,55435
2022-07-14,1.6200,1.6999,1.6000,1.6200,75436
2022-07-15,1.6200,1.6401,1.6001,1.6170,16004
2022-07-18,1.6152,1.7400,1.6100,1.6400,51628
2022-07-19,1.6500,1.6900,1.6200,1.6578,30285
2022-07-20,1.7100,1.7399,1.6300,1.6300,81663
2022-07-21,1.7000,1.7000,1.6400,1.6500,57961
2022-07-22,1.7000,1.7900,1.6500,1.6700,119173
2022-07-25,1.7000,1.7300,1.6400,1.6700,49523
2022-07-26,1.6808,1.6816,1.6500,1.6600,16111
2022-07-27,1.6800,1.6850,1.6400,1.6700,44097
2022-07-28,1.6785,1.7900,1.6500,1.6600,266338
2022-07-29,1.7400,1.9900,1.6600,1.7300,934279
2022-08-01,1.7499,1.7499,1.5700,1.6000,281452
2022-08-02,1.6200,1.8600,1.6200,1.8000,508240
2022-08-03,1.7800,1.8900,1.7000,1.7500,304210
2022-08-04,1.8100,1.8400,1.7300,1.7800,89354
2022-08-05,1.7200,1.8499,1.6900,1.7100,88315
2022-08-08,1.6900,1.9700,1.6900,1.8500,186019
2022-08-09,1.9000,2.0500,1.8200,1.9200,205695
2022-08-10,1.9000,1.9200,1.8500,1.9200,92090
2022-08-11,1.9900,1.9978,1.7700,1.8100,171864
2022-08-12,1.7700,1.8800,1.7300,1.7400,84541
2022-08-15,1.7800,1.8200,1.7100,1.7400,220799
2022-08-16,1.7400,1.7900,1.7100,1.7500,72561
2022-08-17,1.7200,1.7700,1.6700,1.6700,128304
2022-08-18,1.7061,1.7103,1.6300,1.6800,82854
2022-08-19,1.7200,1.7500,1.6600,1.6800,57534
