"MacroTrends Data Download"
"BVN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-05-15,3.4056,3.5029,3.3570,3.5029,1799200
1996-05-16,3.5029,3.6002,3.5029,3.6002,460400
1996-05-17,3.6489,3.6975,3.6489,3.6975,428400
1996-05-20,3.6975,3.6975,3.6742,3.6975,907200
1996-05-21,3.6975,3.6975,3.6742,3.6742,144800
1996-05-22,3.6975,3.6975,3.6742,3.6975,59200
1996-05-23,3.7209,3.7209,3.6002,3.6002,94800
1996-05-24,3.6002,3.6236,3.5769,3.5769,262000
1996-05-28,3.6002,3.6742,3.6002,3.6742,252000
1996-05-29,3.7462,3.7462,3.6975,3.6975,472000
1996-05-30,3.7462,3.7462,3.7462,3.7462,60400
1996-05-31,3.7462,3.7948,3.7462,3.7948,72000
1996-06-03,3.7948,3.8182,3.7948,3.7948,67200
1996-06-04,3.7948,3.7948,3.6975,3.7209,231600
1996-06-05,3.6975,3.6975,3.6975,3.6975,230000
1996-06-06,3.6002,3.6489,3.6002,3.6489,201200
1996-06-07,3.6236,3.6236,3.6236,3.6236,5200
1996-06-10,3.6489,3.6742,3.6489,3.6489,362000
1996-06-11,3.6489,3.6489,3.6002,3.6002,144000
1996-06-12,3.6002,3.6236,3.6002,3.6236,64000
1996-06-13,3.6236,3.6236,3.6236,3.6236,2400
1996-06-14,3.6236,3.6236,3.6236,3.6236,0
1996-06-17,3.6489,3.6975,3.6489,3.6975,68000
1996-06-18,3.6236,3.6236,3.6236,3.6236,32000
1996-06-19,3.6236,3.6236,3.6236,3.6236,400
1996-06-20,3.6975,3.6975,3.6732,3.6975,93200
1996-06-21,3.6975,3.6975,3.6732,3.6732,85200
1996-06-24,3.6002,3.6246,3.5759,3.5759,327600
1996-06-25,3.7462,3.7948,3.7462,3.7948,638000
1996-06-26,3.8435,3.9895,3.8435,3.9661,408000
1996-06-27,3.9408,3.9408,3.8435,3.8922,233600
1996-06-28,3.6002,3.6732,3.6002,3.6732,179200
1996-07-01,3.7462,3.7948,3.7462,3.7948,108400
1996-07-02,3.7462,3.7462,3.7209,3.7209,72800
1996-07-03,3.7948,3.8192,3.7948,3.7948,20000
1996-07-05,3.6975,3.6975,3.6975,3.6975,20400
1996-07-08,3.6975,3.6975,3.6975,3.6975,12800
1996-07-09,3.6975,3.6975,3.6975,3.6975,154800
1996-07-10,3.6975,3.6975,3.6975,3.6975,5200
1996-07-11,3.6489,3.6489,3.6002,3.6002,214800
1996-07-12,3.6002,3.6246,3.6002,3.6246,86000
1996-07-15,3.6975,3.6975,3.6975,3.6975,0
1996-07-16,3.6489,3.6489,3.6236,3.6236,16800
1996-07-17,3.6489,3.6489,3.6246,3.6246,6400
1996-07-18,3.6246,3.6246,3.6246,3.6246,89600
1996-07-19,3.6246,3.6246,3.6246,3.6246,102000
1996-07-22,3.6002,3.6002,3.6002,3.6002,0
1996-07-23,3.6236,3.6236,3.6236,3.6236,100000
1996-07-24,3.7462,3.7948,3.7462,3.7462,136400
1996-07-25,3.7462,3.7948,3.7462,3.7948,21600
1996-07-26,3.8435,3.9895,3.8435,3.9651,30800
1996-07-29,3.5769,3.5769,3.5769,3.5769,4000
1996-07-30,3.5516,3.5516,3.5516,3.5516,2000
1996-07-31,3.5029,3.5029,3.4796,3.4796,9600
1996-08-01,3.7948,3.7948,3.7948,3.7948,285200
1996-08-02,3.7219,3.7462,3.7219,3.7219,190400
1996-08-05,3.7219,3.7219,3.6975,3.6975,125200
1996-08-06,3.6002,3.6002,3.6002,3.6002,2800
1996-08-07,3.6489,3.6489,3.6489,3.6489,12000
1996-08-08,3.6975,3.6975,3.6975,3.6975,61200
1996-08-09,3.6975,3.6975,3.6975,3.6975,41200
1996-08-12,3.7462,3.7462,3.6975,3.6975,12000
1996-08-13,3.6002,3.6002,3.6002,3.6002,16000
1996-08-14,3.6002,3.6002,3.6002,3.6002,10400
1996-08-15,3.6489,3.6489,3.6002,3.6002,14400
1996-08-16,3.6489,3.6489,3.6246,3.6246,21600
1996-08-19,3.6246,3.6246,3.6002,3.6002,20000
1996-08-20,3.6489,3.6742,3.6489,3.6742,109200
1996-08-21,3.6742,3.6742,3.6489,3.6489,14000
1996-08-22,3.6489,3.6489,3.6489,3.6489,0
1996-08-23,3.6246,3.6246,3.6246,3.6246,34000
1996-08-26,3.5516,3.5516,3.5516,3.5516,0
1996-08-27,3.6742,3.6742,3.6742,3.6742,16800
