"MacroTrends Data Download"
"CMP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2003-12-12,6.7210,7.3311,6.7210,7.1088,5871100
2003-12-15,7.1088,7.3673,7.1088,7.3414,458500
2003-12-16,7.2897,7.3311,7.2380,7.2690,290500
2003-12-17,7.2690,7.3363,7.1915,7.3156,301700
2003-12-18,7.2897,7.3673,7.2380,7.2484,366900
2003-12-19,7.2484,7.3156,7.2380,7.2380,85300
2003-12-22,7.2794,7.2794,7.1967,7.2639,169000
2003-12-23,7.2897,7.3156,7.2432,7.2897,48700
2003-12-24,7.2897,7.4448,7.2639,7.3931,37800
2003-12-26,7.3776,7.4707,7.3207,7.3414,117500
2003-12-29,7.3931,7.4448,7.1915,7.3414,216100
2003-12-30,7.4448,7.4448,7.2484,7.2535,94300
2003-12-31,7.2897,7.4190,7.2380,7.3828,86400
2004-01-02,7.3931,7.5224,7.3931,7.4448,147000
2004-01-05,7.4707,7.4707,7.4190,7.4448,15600
2004-01-06,7.4241,7.5224,7.4241,7.5172,184700
2004-01-07,7.5482,7.5741,7.4138,7.4241,184800
2004-01-08,7.4190,7.4914,7.3156,7.3673,190200
2004-01-09,7.4190,7.5327,7.3673,7.4965,652700
2004-01-12,7.3931,7.4190,7.3156,7.3983,464400
2004-01-13,7.3931,7.3931,7.2380,7.3207,97800
2004-01-14,7.3414,7.4965,7.3311,7.4707,91600
2004-01-15,7.4707,7.4810,7.3983,7.4397,142900
2004-01-16,7.4448,7.4707,7.3621,7.3621,70800
2004-01-20,7.3931,7.4707,7.3931,7.4138,54500
2004-01-21,7.3931,7.4345,7.2587,7.4345,358900
2004-01-22,7.4448,7.5844,7.3983,7.5224,355400
2004-01-23,7.5224,7.7343,7.5017,7.6930,237100
2004-01-26,7.6775,7.9618,7.5327,7.9360,142900
2004-01-27,7.9205,8.2203,7.9101,8.0445,105100
2004-01-28,8.0549,8.1428,7.9670,8.1221,35200
2004-01-29,8.1221,8.3754,8.0394,8.0601,72800
2004-01-30,8.0911,8.0911,7.8843,8.0135,74500
2004-02-02,8.0135,8.0394,7.9877,8.0290,24100
2004-02-03,8.0652,8.0911,7.9360,7.9618,22500
2004-02-04,7.9877,8.0911,7.8326,7.9101,47600
2004-02-05,7.9360,7.9463,7.8688,7.9256,23000
2004-02-06,7.9463,7.9825,7.9360,7.9567,40900
2004-02-09,7.9877,7.9877,7.7809,7.8067,226400
2004-02-10,7.8584,7.9360,7.8326,7.9360,152200
2004-02-11,7.9618,8.0859,7.8843,8.0859,118400
2004-02-12,8.2462,8.4168,8.1169,8.2720,269700
2004-02-13,8.4013,8.4013,8.2875,8.3496,117500
2004-02-17,8.4788,8.4788,8.2720,8.3444,51300
2004-02-18,8.3754,8.5202,8.3237,8.5202,107800
2004-02-19,8.5460,8.7580,8.4633,8.7115,250800
2004-02-20,8.6856,8.7839,8.6598,8.6856,147700
2004-02-23,8.6339,8.7115,8.6081,8.6701,107400
2004-02-24,8.7115,8.7115,8.6339,8.6598,140500
2004-02-25,8.4013,8.5098,8.4013,8.4013,253100
2004-02-26,8.3652,8.7050,8.3652,8.7050,121000
2004-02-27,8.7573,8.7991,8.6789,8.7050,79600
2004-03-01,8.6789,8.7573,8.5952,8.6736,121800
2004-03-02,8.6736,8.6946,8.6057,8.6841,19500
2004-03-03,8.7312,8.7573,8.6266,8.6684,109700
2004-03-04,8.6736,8.6789,8.5639,8.5743,29500
2004-03-05,8.5220,8.6736,8.4802,8.6632,31300
2004-03-08,8.6632,8.6998,8.6214,8.6266,18500
