"MacroTrends Data Download"
"GOLD - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1985-02-04,1.8606,1.9574,1.8606,1.8606,50400
1985-02-05,1.8606,2.0542,1.8606,1.8606,18400
1985-02-06,1.9574,2.2015,1.9574,1.9574,65600
1985-02-07,1.9574,2.0542,1.9574,1.9574,40000
1985-02-08,1.9574,2.0542,1.9574,1.9574,25600
1985-02-11,1.9574,2.2015,1.9574,1.9574,29600
1985-02-12,1.9574,2.0542,1.9574,1.9574,34400
1985-02-13,1.9574,2.0542,1.9574,1.9574,20000
1985-02-14,2.0542,2.2015,2.0542,2.0542,65600
1985-02-15,2.0542,2.1552,2.0079,2.0079,31200
1985-02-19,2.0079,2.0542,2.0079,2.0079,8800
1985-02-20,2.0079,2.0079,1.9574,1.9574,40000
1985-02-21,1.9574,2.0079,1.9574,1.9574,28800
1985-02-22,1.9574,1.9574,1.8606,1.8606,65600
1985-02-25,1.8606,1.9069,1.8606,1.8606,53600
1985-02-26,1.8606,1.9574,1.8606,1.8606,28800
1985-02-27,1.8606,1.9069,1.8606,1.8606,15200
1985-02-28,1.8606,1.9574,1.8606,1.8606,34400
1985-03-01,1.8606,1.9574,1.8606,1.8606,64000
1985-03-04,1.9069,1.9574,1.9069,1.9069,8000
1985-03-05,1.9069,1.9069,1.8606,1.8606,19200
1985-03-06,1.8606,1.9069,1.8606,1.8606,71200
1985-03-07,1.8606,1.9069,1.8606,1.8606,50400
1985-03-08,1.8606,1.8606,1.6627,1.6627,252000
1985-03-11,1.6627,1.8606,1.6627,1.6627,55200
1985-03-12,1.8100,1.8606,1.8100,1.8100,87200
1985-03-13,1.8606,1.9069,1.8606,1.8606,16800
1985-03-14,1.8606,1.9574,1.8606,1.8606,8000
1985-03-15,1.8606,1.9574,1.8606,1.8606,8800
1985-03-18,1.9574,2.0542,1.9574,1.9574,59200
1985-03-19,2.1552,2.3025,2.1552,2.1552,150400
1985-03-20,2.1552,2.2015,2.0079,2.0079,59200
1985-03-21,2.0542,2.2015,2.0542,2.0542,47200
1985-03-22,2.1552,2.2015,2.1552,2.1552,25600
1985-03-25,2.1552,2.1552,2.0079,2.0079,48000
1985-03-26,2.0079,2.1552,2.0079,2.0079,25600
1985-03-27,2.0079,2.1552,2.0079,2.0079,8000
1985-03-28,2.0079,2.1552,2.0079,2.0079,46400
1985-03-29,2.0079,2.1552,2.0079,2.0079,19200
1985-04-01,2.0542,2.1552,2.0542,2.0542,54400
1985-04-02,2.0542,2.0542,2.0079,2.0079,76000
1985-04-03,2.0079,2.0542,2.0079,2.0079,13600
1985-04-04,2.0079,2.0079,1.9574,1.9574,76000
1985-04-08,1.9574,2.0079,1.9574,1.9574,19200
1985-04-09,1.9574,1.9574,1.8606,1.8606,19200
1985-04-10,1.8606,1.9574,1.8606,1.8606,13600
1985-04-11,1.8606,1.9574,1.8606,1.8606,31200
1985-04-12,1.8606,1.9069,1.8606,1.8606,28000
1985-04-15,1.8606,1.9069,1.8606,1.8606,41600
1985-04-16,1.9574,1.9574,1.9574,1.9574,16800
1985-04-17,1.9574,1.9574,1.9574,1.9574,41600
1985-04-18,1.9574,1.9574,1.9574,1.9574,3200
1985-04-19,1.9574,2.2015,1.9574,2.2015,8000
1985-04-22,1.9574,1.9574,1.9574,1.9574,51200
1985-04-23,1.9574,2.0542,1.9574,1.9574,37600
1985-04-24,1.9574,1.9574,1.9574,1.9574,24000
1985-04-25,1.9574,1.9574,1.9574,1.9574,73600
1985-04-26,1.9574,1.9574,1.8606,1.8606,9600
1985-04-29,2.0542,2.0542,2.0542,2.0542,420000
1985-04-30,2.0542,2.0542,2.0542,2.0542,28000
1985-05-01,1.9574,1.9574,1.9574,1.9574,12800
1985-05-02,1.9574,1.9574,1.9574,1.9574,12000
1985-05-03,1.9574,1.9574,1.9574,1.9574,39200
1985-05-06,1.9574,1.9574,1.8606,1.8606,79200
1985-05-07,1.9574,1.9574,1.9574,1.9574,12800
1985-05-08,1.9574,1.9574,1.8606,1.8606,18400
1985-05-09,1.9574,1.9574,1.9574,1.9574,102400
1985-05-10,1.9574,1.9574,1.8606,1.9574,69600
1985-05-13,1.9574,1.9574,1.9574,1.9574,20000
1985-05-14,1.9574,2.0542,1.9574,1.9574,294400
1985-05-15,1.9574,2.0542,1.9574,1.9574,22400
1985-05-16,2.0542,2.0542,2.0542,2.0542,36800
1985-05-17,2.0542,2.0542,2.0542,2.0542,52000
