"MacroTrends Data Download"
"GVA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1992-02-25,4.6226,4.6226,4.4395,4.4853,1075501
1992-02-26,4.4853,4.6226,4.4853,4.4853,172800
1992-02-27,4.4853,4.6226,4.4853,4.5768,39099
1992-02-28,4.6226,4.6226,4.3937,4.4395,215200
1992-03-02,4.5310,4.5310,4.3022,4.3937,141699
1992-03-03,4.4395,4.4853,4.3022,4.4853,125499
1992-03-04,4.5310,4.6684,4.4395,4.6684,575701
1992-03-05,4.6684,4.7599,4.5768,4.6684,272801
1992-03-06,4.7599,4.9430,4.6226,4.6226,349201
1992-03-09,4.9430,4.9430,4.7141,4.7599,101399
1992-03-10,4.7599,4.7599,4.6684,4.7599,335401
1992-03-11,4.7599,4.7599,4.6684,4.7599,225599
1992-03-12,4.8057,4.8972,4.6684,4.8514,64800
1992-03-13,4.8514,4.8514,4.6684,4.7141,136900
1992-03-16,4.8057,4.8057,4.6684,4.8057,6001
1992-03-17,4.8057,4.8057,4.6684,4.7599,56201
1992-03-18,4.8057,4.8057,4.6684,4.7599,199901
1992-03-19,4.7599,4.7599,4.6684,4.7379,30999
1992-03-20,4.7599,4.7599,4.5768,4.5768,119701
1992-03-23,4.5768,4.7141,4.5768,4.5768,129600
1992-03-24,4.6316,4.6775,4.5399,4.6775,320500
1992-03-25,4.6803,4.6803,4.5427,4.5647,70200
1992-03-26,4.6344,4.6344,4.5427,4.5647,28299
1992-03-27,4.5427,4.5885,4.4968,4.5206,57601
1992-03-30,4.5885,4.5885,4.4968,4.4968,206699
1992-03-31,4.5885,4.5885,4.4968,4.4968,338401
1992-04-01,4.5647,4.5885,4.3591,4.5427,144599
1992-04-02,4.5427,4.5427,4.2673,4.4509,444099
1992-04-03,4.4509,4.4509,4.3132,4.3132,87301
1992-04-06,4.4509,4.4509,4.3132,4.3591,126401
1992-04-07,4.4050,4.4050,4.1756,4.2673,109499
1992-04-08,4.2215,4.2215,3.9920,4.0379,148601
1992-04-09,4.1297,4.1297,3.9461,4.0838,508201
1992-04-10,4.0838,4.1756,4.0379,4.1077,191201
1992-04-13,4.1756,4.4509,4.0838,4.4050,314101
1992-04-14,4.3591,4.4968,4.3591,4.4968,63599
1992-04-15,4.4968,4.5427,4.3591,4.4968,166600
1992-04-16,4.4968,4.6344,4.4509,4.5885,246301
1992-04-20,4.5885,4.5885,4.3132,4.3132,79799
1992-04-21,4.4509,4.4509,4.2673,4.3591,102101
1992-04-22,4.4050,4.4050,4.2673,4.2673,21701
1992-04-23,4.2673,4.4050,4.2673,4.3132,36001
1992-04-24,4.4050,4.4509,4.2673,4.4509,125499
1992-04-27,4.3132,4.4509,4.3132,4.3353,134200
1992-04-28,4.4509,4.4509,4.3132,4.4509,68799
1992-04-29,4.4050,4.4509,4.3132,4.4050,91301
1992-04-30,4.4050,4.4050,4.3132,4.4050,37000
1992-05-01,4.4050,4.4050,4.2215,4.2673,95999
1992-05-04,4.2673,4.2673,4.1756,4.2673,162601
1992-05-05,4.2673,4.3591,4.1756,4.3591,48701
1992-05-06,4.1297,4.3591,3.9920,4.3132,660299
1992-05-07,4.2215,4.3591,4.2215,4.3353,175500
1992-05-08,4.3591,4.3591,4.2673,4.3591,126100
1992-05-11,4.3591,4.4050,4.3353,4.4050,21600
1992-05-12,4.4050,4.4050,4.3132,4.3132,487299
1992-05-13,4.4050,4.4050,4.3132,4.3591,722199
1992-05-14,4.3132,4.4050,4.1994,4.2673,199800
1992-05-15,4.1756,4.3132,4.1297,4.2215,145800
1992-05-18,4.3132,4.3132,4.2215,4.3132,128199
1992-05-19,4.3132,4.3132,4.2215,4.3132,33699
1992-05-20,4.3132,4.3132,4.2215,4.3132,11401
1992-05-21,4.3132,4.3132,4.1756,4.2215,27901
1992-05-22,4.2435,4.3132,4.2215,4.3132,247901
1992-05-26,4.1756,4.3132,4.1756,4.3132,143701
1992-05-27,4.3132,4.3132,4.1756,4.1756,91800
1992-05-28,4.3132,4.3132,4.1756,4.3132,87699
1992-05-29,4.2673,4.2673,4.1756,4.1756,19501
1992-06-01,4.2215,4.2215,4.1297,4.1517,43200
1992-06-02,4.2215,4.2673,4.1297,4.2673,52799
1992-06-03,4.2673,4.2673,4.1756,4.2215,37901
1992-06-04,4.2215,4.2215,4.1297,4.1297,46001
1992-06-05,4.2215,4.2215,4.0838,4.1297,69400
1992-06-08,4.0379,4.1756,4.0379,4.1297,18900
1992-06-09,4.1297,4.1297,3.7626,3.9003,284101
1992-06-10,3.8085,3.9003,3.8085,3.8544,172901
1992-06-11,3.8085,3.9003,3.8085,3.9003,85901
1992-06-12,3.8085,3.8544,3.5791,3.6249,413201
1992-06-15,3.7167,3.8544,3.6249,3.8544,1028201
1992-06-16,3.8544,3.9461,3.7626,3.8544,405901
1992-06-17,3.8544,3.9003,3.7167,3.8544,220199
1992-06-18,3.6708,3.7626,3.5552,3.6708,257799
1992-06-19,3.7167,3.7167,3.4414,3.5332,188200
1992-06-22,3.4873,3.4873,3.3955,3.4873,68401
1992-06-23,3.5332,3.6708,3.4414,3.6708,105901
1992-06-24,3.6802,3.6802,3.5882,3.5882,40001
1992-06-25,3.6802,3.7722,3.6342,3.7262,77801
1992-06-26,3.7262,3.8183,3.6342,3.6342,284799
1992-06-29,3.8183,3.8183,3.6802,3.8183,144399
1992-06-30,3.8183,4.0943,3.8183,4.0023,226000
1992-07-01,4.0023,4.1403,3.9323,4.1403,200701
1992-07-02,4.0722,4.0722,3.7262,3.7262,244900
1992-07-06,3.7262,3.8183,3.5422,3.6802,145000
1992-07-07,3.6802,3.6802,3.4042,3.4502,562899
1992-07-08,3.4042,3.4502,3.2662,3.3803,189901
1992-07-09,3.4502,3.5422,3.4502,3.5422,86501
1992-07-10,3.6802,3.6802,3.4962,3.6342,146701
1992-07-13,3.5882,3.5882,3.5422,3.5422,27601
1992-07-14,3.5882,3.5882,3.4962,3.5882,37901
1992-07-15,3.6802,3.6802,3.5422,3.6342,21600
1992-07-16,3.6342,3.6342,3.4281,3.4962,70801
1992-07-17,3.4042,3.4962,3.4042,3.4962,30999
1992-07-20,3.4042,3.4042,3.3582,3.4042,31901
1992-07-21,3.4042,3.4502,3.3582,3.4502,139199
1992-07-22,3.4502,3.4502,3.3582,3.4502,52799
1992-07-23,3.4962,3.4962,3.3582,3.4962,611499
1992-07-24,3.3582,3.4962,3.3582,3.3582,31901
1992-07-27,3.5422,3.5422,3.3582,3.5422,119401
1992-07-28,3.3582,3.5422,3.3582,3.3582,93099
1992-07-29,3.4502,3.4962,3.3582,3.4962,18900
1992-07-30,3.4962,3.5422,3.4042,3.5422,49501
1992-07-31,3.5422,3.6342,3.4502,3.4962,75701
1992-08-03,3.6342,3.6802,3.4962,3.6802,85600
1992-08-04,3.6802,3.7262,3.5422,3.5882,49201
1992-08-05,3.6802,3.7262,3.3122,3.3582,250601
1992-08-06,3.0362,3.2202,2.9442,3.2202,267401
1992-08-07,3.2202,3.4042,3.2202,3.3122,182399
1992-08-10,3.2662,3.3582,3.2202,3.2662,143100
1992-08-11,3.2662,3.3582,3.2662,3.3122,85199
1992-08-12,3.3582,3.3582,3.2662,3.3122,77099
1992-08-13,3.3582,3.3582,3.2662,3.3582,93700
1992-08-14,3.3582,3.3582,3.2662,3.2662,62201
1992-08-17,3.3582,3.3582,3.2202,3.2202,92701
1992-08-18,3.2202,3.3122,3.1742,3.2662,134501
1992-08-19,3.2662,3.2662,3.1282,3.1282,95799
1992-08-20,3.2662,3.2662,3.0822,3.1282,49201
1992-08-21,3.2202,3.2202,3.0822,3.2202,90001
1992-08-24,3.1742,3.1742,3.0362,3.1503,81101
1992-08-25,3.1742,3.1742,3.0362,3.0822,19801
1992-08-26,3.1742,3.1742,3.0822,3.0822,37800
1992-08-27,3.0822,3.2202,3.0822,3.0822,18900
1992-08-28,3.2202,3.2202,3.1282,3.1282,99900
1992-08-31,3.1742,3.3122,3.1742,3.3122,77099
1992-09-01,3.3122,3.4502,3.1742,3.4502,118000
1992-09-02,3.4502,3.4502,3.3122,3.4042,29801
1992-09-03,3.4502,3.4962,3.4042,3.4502,51300
1992-09-04,3.4962,3.4962,3.4042,3.4962,25599
1992-09-08,3.4042,3.4962,3.3582,3.4502,41799
1992-09-09,3.3582,3.4502,3.3582,3.3803,17499
1992-09-10,3.4042,3.4502,3.3122,3.4502,222301
1992-09-11,3.5422,3.5422,3.4502,3.5422,78300
