"MacroTrends Data Download"
"HCC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2017-04-13,8.0320,8.6057,8.0320,8.2615,11341551
2017-04-17,8.2753,8.7480,8.2753,8.7205,1705291
2017-04-18,8.6103,8.7113,8.2615,8.4726,1668900
2017-04-19,8.5323,8.6929,8.3625,8.3992,1460848
2017-04-20,8.3808,8.6562,8.2845,8.5277,1991977
2017-04-21,8.4910,8.5966,8.4176,8.4497,305447
2017-04-24,8.4818,8.6034,8.3762,8.5874,687994
2017-04-25,8.5782,8.6241,8.2799,8.3900,196250
2017-04-26,8.3900,8.5874,8.3258,8.4680,284275
2017-04-27,8.4543,8.4910,8.2615,8.2615,493790
2017-04-28,8.2615,8.3900,8.2615,8.2982,695792
2017-05-01,8.3120,8.4451,8.2615,8.2615,171420
2017-05-02,8.2615,8.5920,8.2615,8.4267,228488
2017-05-03,8.4359,8.5828,8.2294,8.2615,456773
2017-05-04,8.2477,8.2936,8.0320,8.0412,440343
2017-05-05,8.0825,8.2386,7.9494,8.0687,320529
2017-05-08,8.0320,8.1468,7.9173,8.0045,629574
2017-05-09,8.0366,8.0412,7.6511,7.7566,787546
2017-05-10,7.7750,8.0182,7.6878,7.9127,346571
2017-05-11,7.8668,7.9402,7.7704,7.8714,286935
2017-05-12,7.8484,8.3258,7.7566,7.8025,494156
2017-05-15,7.8622,8.1972,7.8622,8.0137,178712
2017-05-16,7.9356,8.3028,7.6740,7.7979,190639
2017-05-17,7.7291,7.9173,7.6648,7.8255,203303
2017-05-18,7.8438,7.9402,7.7566,7.8668,296283
2017-05-19,8.2156,8.7572,8.0779,8.1513,1499146
2017-05-22,8.2064,8.3671,7.9953,8.3533,558097
2017-05-23,8.3625,8.4864,8.0228,8.2156,468939
2017-05-24,8.2248,8.3120,8.1192,8.1376,402698
2017-05-25,8.1472,8.2761,7.9585,7.9769,112414
2017-05-26,8.0046,8.0138,7.8481,7.8803,127718
2017-05-30,7.9539,8.0368,7.8296,7.9815,139829
2017-05-31,7.8711,7.9401,7.6547,7.8665,477037
2017-06-01,7.8619,8.2853,7.8619,8.1703,251539
2017-06-02,8.1426,8.2025,7.8665,7.9217,511623
2017-06-05,7.9401,8.1242,7.8987,7.9769,161890
2017-06-06,7.9769,8.0552,7.7974,8.0460,124440
2017-06-07,8.0322,8.0552,7.8204,7.8389,194897
2017-06-08,7.8250,8.0552,7.7008,8.0276,225437
2017-06-09,8.0598,8.0598,7.9677,8.0460,115906
