"MacroTrends Data Download"
"HL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1985-02-14,14.8422,14.9619,14.6212,14.7317,39600
1985-02-15,14.9619,15.4223,14.7317,15.1921,88500
1985-02-19,15.3026,15.5420,15.0816,15.5420,130200
1985-02-20,15.3026,15.4223,15.1921,15.4223,63600
1985-02-21,15.1921,15.3026,14.7317,14.7317,80900
1985-02-22,14.7317,14.8422,14.1609,14.1609,59000
1985-02-25,13.9215,13.9215,13.1204,13.7005,100800
1985-02-26,13.5808,14.2714,13.5808,14.2714,72600
1985-02-27,14.7317,14.9619,14.1609,14.2714,117200
1985-02-28,14.2714,14.3819,14.0412,14.2714,43900
1985-03-01,14.0412,14.5015,14.0412,14.5015,30000
1985-03-04,14.3819,14.3819,14.2714,14.3819,42000
1985-03-05,14.3819,14.3819,14.0412,14.1609,27200
1985-03-06,14.0412,14.6212,13.9215,14.2714,58700
1985-03-07,14.1609,14.5015,14.1609,14.5015,24400
1985-03-08,14.5015,14.7317,14.2714,14.2714,32100
1985-03-11,14.5015,14.6212,14.3819,14.5015,13700
1985-03-12,14.5015,14.6212,14.3819,14.3819,21100
1985-03-13,14.3819,14.7317,14.3819,14.6212,45900
1985-03-14,14.6212,14.6212,14.3819,14.3819,20600
1985-03-15,14.3819,14.6212,14.3819,14.3819,25100
1985-03-18,14.6212,15.4223,14.6212,15.4223,75600
1985-03-19,15.8826,16.9231,15.8826,16.6837,325200
1985-03-20,16.4627,16.4627,15.4223,15.6525,199300
1985-03-21,15.7630,15.8826,15.4223,15.4223,67400
1985-03-22,15.5420,15.7630,15.3026,15.5420,53700
1985-03-25,15.5420,15.6525,14.9619,15.1921,37200
1985-03-26,15.4223,15.5420,15.3026,15.4223,103800
1985-03-27,15.5420,15.6525,15.1921,15.3026,214200
1985-03-28,15.4223,15.4223,15.0816,15.1921,116400
1985-03-29,15.4223,15.5420,15.1921,15.5420,58100
1985-04-01,15.5420,15.5420,14.8422,15.1921,63200
1985-04-02,15.0816,15.4223,14.9619,15.4223,37100
1985-04-03,15.5420,15.5420,15.0816,15.3026,43400
1985-04-04,15.0816,15.5420,14.9619,15.3026,41100
1985-04-08,15.4223,15.7630,15.3026,15.6525,37100
1985-04-09,15.8826,16.0023,15.6525,15.7630,78900
1985-04-10,15.8826,16.0023,15.7630,15.8826,88200
1985-04-11,16.1128,16.1128,15.5420,15.7630,56500
1985-04-12,15.7630,15.8826,15.5420,15.6525,37100
1985-04-15,15.8826,16.0023,15.7630,15.8826,43800
1985-04-16,15.8826,15.8826,15.6525,15.8826,44800
1985-04-17,16.0023,16.1128,15.7630,15.8826,42700
