"MacroTrends Data Download"
"LYB - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2010-04-28,9.3772,9.3772,9.1454,9.2719,5244400
2010-04-29,9.2719,9.7987,9.2297,9.6933,8773600
2010-04-30,9.6722,9.6933,9.3772,9.3983,1644400
2010-05-03,9.5879,9.6722,9.5458,9.6090,3302700
2010-05-04,9.6090,9.6090,9.0611,9.0611,2276500
2010-05-05,9.2719,9.2719,8.4290,8.6776,6999200
2010-05-06,8.6397,8.6608,7.7757,8.1972,8029400
2010-05-07,8.2182,8.2393,7.5439,7.8389,3881500
2010-05-10,8.3236,8.3657,7.8811,8.0117,3861100
2010-05-11,7.9021,8.1255,7.9021,7.9654,2626900
2010-05-12,8.0918,8.4458,8.0918,8.3447,5714300
2010-05-13,8.3657,8.4711,8.2604,8.2814,2475900
2010-05-14,8.1339,8.1761,7.9021,7.9021,3133400
2010-05-17,8.0075,8.0918,7.8811,7.9443,10117000
2010-05-18,8.0286,8.1424,7.6914,7.9190,6219800
2010-05-19,7.9654,7.9780,7.3964,7.4596,6227700
2010-05-20,7.2236,7.2236,6.8275,7.1225,10248400
2010-05-21,6.8907,7.2152,6.8485,6.9750,4560800
2010-05-24,7.0382,7.2278,7.0297,7.1225,1761300
2010-05-25,7.0761,7.0761,6.8275,6.9834,4649600
2010-05-26,7.1604,7.3332,7.0803,7.2278,2079300
2010-05-27,7.4386,7.5861,7.4386,7.5439,3156100
2010-05-28,7.5439,7.5439,6.8485,7.4891,222200
2010-06-01,7.4386,7.5018,7.2489,7.3753,900800
2010-06-02,7.4217,7.4428,7.2573,7.3037,829900
2010-06-03,7.3543,7.3753,7.2278,7.3037,2173600
2010-06-04,7.1857,7.2068,7.0593,7.1857,3147200
2010-06-07,7.2278,7.2489,7.0550,7.1183,2826800
2010-06-08,7.1773,7.1773,6.9539,7.0593,2037700
2010-06-09,7.0761,7.2068,7.0382,7.0761,1410200
2010-06-10,7.1520,7.1941,7.1014,7.1520,1401000
2010-06-11,7.1393,7.2447,7.1393,7.2236,452500
2010-06-14,7.2447,7.4091,7.2447,7.3711,1008500
2010-06-15,7.3669,7.5861,7.3121,7.5734,1974300
2010-06-16,7.5566,7.5734,7.4301,7.4343,1041500
