"MacroTrends Data Download"
"NEM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1983-04-06,13.2296,13.2591,13.0749,13.1682,94100
1983-04-07,13.1682,13.2591,13.0135,13.2591,42800
1983-04-08,13.0135,13.2296,12.9227,13.1977,161900
1983-04-11,13.2591,13.5046,13.2296,13.4752,274700
1983-04-12,13.5660,13.6274,13.5046,13.5046,117600
1983-04-13,13.5979,13.6593,13.3819,13.4432,202500
1983-04-14,13.5046,13.6888,13.2591,13.6888,247200
1983-04-15,13.7207,13.7207,13.3205,13.3819,413200
1983-04-18,13.5660,13.6274,13.5046,13.5046,129500
1983-04-19,13.5046,13.5660,13.1682,13.1682,264700
1983-04-20,13.2591,13.4432,13.1977,13.3819,63200
1983-04-21,13.4752,13.4752,13.0135,13.2591,312700
1983-04-22,13.2591,13.2591,12.9522,13.1069,133600
1983-04-25,13.3524,13.5046,13.1977,13.2591,118700
1983-04-26,13.3524,13.5046,13.1977,13.5046,62500
1983-04-27,13.4138,13.5660,13.2591,13.3819,898700
1983-04-28,13.3524,13.4432,13.2591,13.3819,166000
1983-04-29,13.2296,13.2591,13.1977,13.2591,135800
1983-05-02,13.1363,13.3524,12.8908,13.1363,464600
1983-05-03,13.2591,13.3205,13.1977,13.3205,108700
1983-05-04,13.4752,13.6274,13.3205,13.4752,483900
1983-05-05,13.4432,13.5046,13.3819,13.3819,748600
1983-05-06,13.3205,13.6274,13.2910,13.5979,282500
1983-05-09,13.5046,13.9343,13.4752,13.6888,497700
1983-05-10,13.8116,14.1799,13.7821,14.1799,528600
1983-05-11,14.1185,14.1799,13.8729,13.8729,256100
1983-05-12,13.9957,13.9957,13.5046,13.6888,919200
1983-05-13,13.6274,13.8116,13.6274,13.7207,168200
1983-05-16,13.7821,13.7821,13.5660,13.6274,110500
1983-05-17,13.7821,13.9343,13.6274,13.9343,225200
1983-05-18,13.9957,14.3345,13.9343,14.1185,394600
1983-05-19,14.3026,14.3345,13.8729,14.1799,221500
1983-05-20,14.0571,14.1504,13.8729,13.9343,215500
1983-05-23,13.9957,14.2412,13.8435,14.1504,127600
1983-05-24,14.1799,14.6096,14.1185,14.5801,277700
1983-05-25,14.7323,14.7323,14.4868,14.5801,276900
1983-05-26,14.6709,14.7029,14.4254,14.4254,217000
1983-05-27,14.4868,14.4868,14.0571,14.0571,168200
1983-05-31,14.1185,14.5482,13.9957,13.9957,123900
1983-06-01,13.5660,13.8729,13.5660,13.8729,352900
1983-06-02,13.9957,13.9957,13.7821,13.8729,69600
1983-06-03,13.9662,14.2412,13.9049,14.1185,194300
1983-06-06,14.0276,14.0276,13.7821,13.8729,56500
1983-06-07,13.8116,13.8116,13.6593,13.6888,87400
1983-06-08,13.7502,13.7502,13.6274,13.7502,148500
1983-06-09,13.8116,14.1799,13.7821,14.1799,168200
1983-06-10,14.1185,14.1799,14.0890,14.1185,78100
1983-06-13,14.1504,14.3026,14.1185,14.2732,69200
1983-06-14,14.2118,14.3345,14.0571,14.0571,167900
1983-06-15,13.9957,14.0571,13.9049,14.0571,65500
1983-06-16,13.9957,14.2118,13.6888,13.7207,333500
1983-06-17,13.7502,13.7502,13.5046,13.5365,107900
1983-06-20,13.5979,13.5979,13.2591,13.5046,168600
1983-06-21,13.5660,13.6888,13.5046,13.6888,152600
1983-06-22,13.6888,13.8116,13.5365,13.7502,66600
1983-06-23,13.6888,13.7207,13.5660,13.6593,131700
1983-06-24,13.6593,13.6593,13.5365,13.6274,73300
1983-06-27,13.5046,13.5979,13.1977,13.3819,112000
1983-06-28,13.4432,13.4432,13.0135,13.0455,66600
1983-06-29,12.9522,13.0135,12.8294,12.9841,67700
1983-06-30,12.9227,13.1363,12.7680,12.8908,92300
1983-07-01,13.0135,13.2910,12.9522,13.2910,117200
1983-07-05,13.2296,13.2910,13.1363,13.1363,111600
1983-07-06,13.1363,13.3205,13.1363,13.3205,43900
1983-07-07,13.4752,13.9343,13.4432,13.7502,131000
1983-07-08,13.8116,13.8435,13.5660,13.5660,299300
1983-07-11,13.7502,13.9662,13.6888,13.8729,66200
1983-07-12,13.8729,13.8729,13.6888,13.6888,58400
1983-07-13,13.7502,13.7502,13.5660,13.7502,108700
1983-07-14,13.7502,13.8116,13.5660,13.5660,47200
1983-07-15,13.5046,13.6888,13.2591,13.2591,157100
1983-07-18,13.3205,13.3524,12.9522,13.0749,263500
1983-07-19,13.1363,13.3205,13.1363,13.2591,88200
1983-07-20,13.4432,13.7502,13.4432,13.7502,263900
1983-07-21,13.7502,14.0890,13.7502,13.8729,137300
1983-07-22,13.8729,13.9957,13.7502,13.9049,93000
1983-07-25,13.8435,14.1185,13.8116,14.1185,43900
1983-07-26,14.2412,14.4254,14.2412,14.3345,160000
1983-07-27,14.4254,14.5801,14.3640,14.3640,367400
1983-07-28,14.4254,14.4254,14.2732,14.3026,43900
1983-07-29,14.3026,14.3026,14.1185,14.2118,110900
1983-08-01,14.0571,14.2118,14.0571,14.1185,42000
1983-08-02,14.1185,14.3026,14.0890,14.2732,107900
1983-08-03,14.1799,14.4254,14.1504,14.2412,115000
1983-08-04,14.1799,14.2412,14.0276,14.0571,73300
1983-08-05,14.1185,14.1799,14.1185,14.1799,92700
1983-08-08,14.1185,14.1799,13.9662,14.0276,78900
1983-08-09,13.9957,13.9957,13.8729,13.9957,207300
1983-08-10,13.9957,14.0571,13.8729,14.0571,70700
1983-08-11,14.0276,14.0890,13.8116,13.9662,58800
1983-08-12,13.9049,14.0276,13.8435,13.9957,51000
1983-08-15,13.9957,14.3026,13.9957,14.2412,76600
1983-08-16,14.3026,14.4254,14.1799,14.3345,70300
1983-08-17,14.4254,14.4868,14.3026,14.4254,120900
1983-08-18,14.4254,14.4868,14.0276,14.1799,100100
1983-08-19,14.0571,14.1185,13.8729,14.0890,56500
1983-08-22,14.2412,14.4254,14.1504,14.1504,105700
1983-08-23,14.0571,14.3640,14.0571,14.1799,120900
1983-08-24,14.0890,14.3026,14.0276,14.0571,65500
1983-08-25,14.0571,14.1185,13.9957,14.1185,46500
1983-08-26,14.1799,14.4254,14.1799,14.4254,41300
1983-08-29,14.4573,14.9484,14.4573,14.9484,290000
1983-08-30,14.8256,14.9165,14.7323,14.7642,85600
1983-08-31,14.7029,14.7029,14.5801,14.5801,142900
1983-09-01,14.6415,14.6709,14.3959,14.3959,161900
1983-09-02,14.3959,14.6096,14.3640,14.5482,83300
1983-09-06,14.6096,14.8551,14.6096,14.8256,119100
1983-09-07,14.7029,14.7642,14.3026,14.3640,227100
1983-09-08,14.3640,14.4254,14.1799,14.3026,131700
1983-09-09,14.3640,14.4868,14.2412,14.4254,53200
1983-09-12,14.4868,14.7323,14.1799,14.1799,316400
1983-09-13,14.2118,14.2118,13.5979,13.7207,456000
1983-09-14,13.6274,13.7207,13.3819,13.5660,320900
1983-09-15,13.5046,13.5046,13.1977,13.2591,163400
1983-09-16,12.8294,13.1363,12.8294,13.1363,150700
1983-09-19,13.0135,13.3524,13.0135,13.2910,86700
1983-09-20,13.3524,13.4752,13.3205,13.3524,153000
1983-09-21,13.1363,13.3205,13.1363,13.1363,142900
1983-09-22,13.0749,13.1363,12.8908,12.9227,105300
1983-09-23,13.0749,13.1682,12.8613,12.9841,122400
1983-09-26,13.0455,13.1977,12.9522,13.1363,169300
1983-09-27,13.1682,13.2296,12.9522,13.0135,64700
1983-09-28,13.0749,13.1069,12.9522,12.9522,83700
1983-09-29,12.9522,13.0135,12.2155,12.2769,468300
1983-09-30,12.2155,12.2769,11.7859,11.8472,185400
1983-10-03,11.4175,11.5403,11.1720,11.4789,192800
1983-10-04,11.5403,11.6631,11.4789,11.5084,142500
1983-10-05,11.4470,11.6017,11.3562,11.6017,593800
1983-10-06,11.6017,11.6017,11.4175,11.5403,278100
1983-10-07,11.5403,12.0928,11.5403,12.0314,227800
1983-10-10,11.9700,12.1836,11.9086,12.1836,58400
1983-10-11,12.1836,12.2769,12.0314,12.1222,97100
1983-10-12,12.0609,12.2769,12.0314,12.1542,46900
1983-10-13,12.2450,12.3383,12.2155,12.3064,89300
1983-10-14,12.2450,12.4292,12.2450,12.3997,112000
1983-10-17,12.3997,12.3997,12.1836,12.1836,141400
1983-10-18,12.0609,12.1222,11.9700,12.0314,74400
1983-10-19,12.0314,12.1542,11.9086,12.1222,176400
1983-10-20,11.9700,12.0314,11.5698,11.6926,95300
1983-10-21,11.6926,11.7245,11.2948,11.5403,139900
1983-10-24,11.5403,12.3678,11.4175,12.3678,526400
1983-10-25,12.3064,12.4611,12.0609,12.1542,191300
1983-10-26,12.1222,12.2450,11.8153,12.0609,135500
1983-10-27,11.8472,11.8472,11.5698,11.7859,205500
1983-10-28,11.7245,11.8472,11.6017,11.7859,82200
1983-10-31,11.6631,11.7245,11.5698,11.5698,99700
1983-11-01,11.5084,11.6017,11.3562,11.4470,142900
1983-11-02,11.6017,11.6631,11.5403,11.5403,232300
1983-11-03,11.5698,11.5698,11.3562,11.4175,161900
1983-11-04,11.4789,11.5084,11.4470,11.4789,69200
1983-11-07,11.4789,11.4789,11.3242,11.3242,94100
1983-11-08,11.3242,11.4789,11.3242,11.4175,96700
1983-11-09,11.4789,11.7539,11.4175,11.5403,126500
1983-11-10,11.6631,12.0314,11.6631,12.0314,90000
1983-11-11,11.9086,12.1542,11.9086,12.0928,158900
1983-11-14,12.2769,12.5225,12.2769,12.4292,52100
1983-11-15,12.5839,12.5839,12.5225,12.5839,95600
1983-11-16,12.7680,12.7680,12.1836,12.3383,170500
1983-11-17,12.2769,12.4292,12.1542,12.2769,107900
