"MacroTrends Data Download"
"NETI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-12-12,1029.1120,1055.4995,954.1716,1002.7245,47462
2013-12-13,994.2805,1034.3895,992.1695,1029.1120,5947
2013-12-16,1037.5560,1039.6670,1012.2240,1022.7790,238
2013-12-17,1039.6670,1039.6670,1011.1685,1019.6125,976
2013-12-18,1014.3350,1017.5015,989.0030,1012.2240,2569
2013-12-19,1008.0020,1021.7235,976.3370,992.1695,4548
2013-12-20,992.1695,1011.1685,990.0585,990.0585,12724
2013-12-23,992.1695,1027.0010,981.6145,1023.8345,6768
2013-12-24,1028.0565,1074.4985,1027.0010,1060.7770,1383
2013-12-26,1066.0545,1066.0545,1033.3340,1053.3885,2289
2013-12-27,1067.1100,1068.1655,1018.5570,1054.4440,5771
2013-12-30,1046.0000,1046.0000,1020.6680,1029.1120,2651
2013-12-31,1029.1120,1060.7770,1029.1120,1060.7770,2006
2014-01-02,1050.2220,1060.7770,1023.8345,1025.9455,5514
2014-01-03,1025.9455,1032.2785,1006.9465,1024.8900,3533
2014-01-06,1040.7225,1044.9445,1027.0010,1027.0010,12578
2014-01-07,1034.3895,1059.7215,1030.1675,1034.3895,22482
2014-01-08,1039.6670,1060.7770,1030.1675,1051.2775,5104
2014-01-09,1075.5540,1075.5540,1034.3895,1040.7225,4076
2014-01-10,1054.4440,1054.4440,1032.2785,1044.9445,1543
2014-01-13,1055.4995,1055.4995,1034.3895,1036.5005,4283
2014-01-14,1044.9445,1046.0000,1024.8900,1034.3895,10746
2014-01-15,1037.5560,1080.8315,1037.5560,1080.8315,10223
2014-01-16,1081.8870,1126.2180,1067.1100,1116.7185,9866
2014-01-17,1121.9960,1121.9960,1085.0535,1092.4420,2603
2014-01-21,1132.5510,1132.5510,1091.3865,1101.9415,1756
2014-01-22,1101.9415,1101.9415,1068.1655,1085.0535,2646
2014-01-23,1072.3875,1083.9980,1035.4450,1044.9445,6166
2014-01-24,1052.3330,1056.5550,1013.2795,1018.5570,6493
2014-01-27,1039.6670,1070.2765,1013.2795,1031.2230,8867
2014-01-28,1037.5560,1054.4440,1023.8345,1051.2775,1483
2014-01-29,1050.2220,1053.3885,1025.9455,1040.7225,793
2014-01-30,1040.7225,1051.2775,1027.0010,1037.5560,1352
2014-01-31,1036.5005,1055.4995,1028.0565,1036.5005,1518
2014-02-03,1038.6115,1050.2220,1008.0020,1009.0575,3610
2014-02-04,1014.3350,1049.1665,981.6145,1047.0555,2567
2014-02-05,1044.9445,1054.4440,1034.3895,1036.5005,1804
2014-02-06,1036.5005,1048.1110,1017.5015,1023.8345,6577
2014-02-07,1028.0565,1039.6670,1023.8345,1027.0010,831
2014-02-10,1023.8345,1029.1120,1023.8345,1027.0010,847
2014-02-11,1035.4450,1035.4450,1019.6125,1028.0565,1470
2014-02-12,1030.1675,1032.2785,1003.7800,1023.8345,1264
2014-02-13,1015.3905,1030.1675,1004.8355,1023.8345,714
2014-02-14,1015.3905,1023.8345,993.2250,1012.2240,2331
2014-02-18,1034.3895,1034.3895,1001.6690,1009.0575,823
2014-02-19,1008.0020,1008.0020,982.6700,982.6700,2918
2014-02-20,981.6145,989.0030,966.8375,981.6145,1282
2014-02-21,989.0030,1000.6135,971.0595,984.7810,11728
2014-02-24,984.7810,990.0585,976.3370,977.3925,1057
2014-02-25,971.0595,983.7255,959.4490,966.8375,1453
2014-02-26,973.1705,997.4470,970.0040,992.1695,1925
2014-02-27,992.1695,1009.0575,992.1695,997.4470,13688
2014-02-28,995.3360,1017.5015,992.1695,997.4470,4833
2014-03-03,986.8920,996.3915,975.2815,992.1695,3671
2014-03-04,996.3915,1043.8890,990.0585,1016.4460,8477
2014-03-05,1022.7790,1034.3895,1022.7790,1024.8900,10888
2014-03-06,1064.9990,1064.9990,1024.8900,1038.6115,40427
2014-03-07,1047.0555,1076.6095,1031.2230,1072.3875,15633
2014-03-10,1072.3875,1076.6095,1049.1665,1055.4995,5443
2014-03-11,1050.2220,1068.1655,1027.0010,1057.6105,49505
2014-03-12,1044.9445,1051.2775,1030.1675,1039.6670,13059
2014-03-13,1037.5560,1055.4995,1006.9465,1012.2240,5769
2014-03-14,1018.5570,1023.8345,978.4480,981.6145,11703
2014-03-17,981.6145,1020.6680,980.5590,1017.5015,7563
2014-03-18,1012.2240,1029.1120,1012.2240,1029.1120,8355
2014-03-19,1029.1120,1036.5005,1019.6125,1036.5005,7262
2014-03-20,1029.1120,1034.3895,1001.6690,1029.1120,4249
2014-03-21,1027.0010,1048.1110,1023.8345,1038.6115,8417
2014-03-24,1035.4450,1052.3330,1023.8345,1047.0555,12577
2014-03-25,1048.1110,1061.8325,1038.6115,1039.6670,9853
2014-03-26,1042.8335,1048.1110,1020.6680,1036.5005,4749
2014-03-27,1040.7225,1058.6660,1029.1120,1039.6670,7518
2014-03-28,1043.8890,1054.4440,1032.2785,1043.8890,9638
2014-03-31,1044.9445,1068.1655,1042.8335,1067.1100,152499
2014-04-01,1057.6105,1090.3310,1051.2775,1081.8870,15323
2014-04-02,1080.8315,1081.8870,1059.7215,1068.1655,7972
2014-04-03,1063.9435,1074.4985,1049.1665,1060.7770,5139
2014-04-04,1072.3875,1075.5540,1038.6115,1042.8335,8039
2014-04-07,1037.5560,1038.6115,1015.3905,1017.5015,6646
2014-04-08,1016.4460,1025.9455,1008.0020,1016.4460,5012
2014-04-09,1023.8345,1034.3895,1013.2795,1031.2230,2543
2014-04-10,1029.1120,1033.3340,1000.6135,1003.7800,8187
2014-04-11,997.4470,1009.0575,970.0040,973.1705,8064
2014-04-14,986.8920,986.8920,952.0606,962.6155,4262
2014-04-15,970.0040,974.2260,959.4490,971.0595,6761
2014-04-16,981.6145,981.6145,960.5045,977.3925,3807
2014-04-17,973.1705,985.8365,972.1150,983.7255,3468
2014-04-21,980.5590,989.0030,972.1150,980.5590,1478
2014-04-22,979.5035,1000.6135,966.8375,989.0030,3305
2014-04-23,993.2250,995.3360,971.0595,981.6145,3613
2014-04-24,984.7810,992.1695,965.7820,970.0040,3095
2014-04-25,962.6155,976.3370,946.7831,953.1161,4671
2014-04-28,953.1161,955.2271,922.5066,928.8396,8670
2014-04-29,937.2836,937.2836,913.0071,934.1171,4498
2014-04-30,916.1736,953.1161,886.6196,944.6721,8303
2014-05-01,939.3946,948.8941,919.3401,924.6176,6899
2014-05-02,927.7841,944.6721,927.7841,942.5611,3828
2014-05-05,938.3391,955.2271,927.7841,951.0051,4897
2014-05-06,943.6166,948.8941,913.0071,925.6731,5205
2014-05-07,929.8951,933.0616,891.8971,896.1191,4575
2014-05-08,900.3411,918.2846,876.0646,883.4531,6963
2014-05-09,879.2311,898.2301,876.0646,898.2301,6773
2014-05-12,900.3411,947.8386,900.3411,942.5611,3526
2014-05-13,943.6166,943.6166,925.6731,929.8951,4500
2014-05-14,927.7841,932.0061,901.3966,908.7851,4214
2014-05-15,901.3966,921.4511,901.3966,918.2846,4726
2014-05-16,914.0626,925.6731,906.6741,924.6176,2800
2014-05-19,917.2291,938.3391,913.0071,924.6176,3488
2014-05-20,926.7286,926.7286,911.9516,915.1181,5141
2014-05-21,921.4511,926.7286,916.1736,924.6176,3593
2014-05-22,924.6176,939.3946,924.6176,926.7286,1753
2014-05-23,930.9506,939.3946,920.3956,936.2281,1724
2014-05-27,946.7831,975.2815,935.1726,972.1150,3111
2014-05-28,968.9485,991.1140,968.9485,978.4480,2671
2014-05-29,979.5035,986.8920,971.0595,972.1150,1263
2014-05-30,976.3370,983.7255,955.2271,970.0040,2414
2014-06-02,967.8930,980.5590,929.8951,945.7276,2146
2014-06-03,939.3946,954.1716,937.2836,946.7831,2386
2014-06-04,939.3946,955.2271,930.9506,949.9496,2153
2014-06-05,954.1716,971.0595,945.7276,971.0595,2918
2014-06-06,979.5035,986.8920,960.5045,981.6145,2908
2014-06-09,977.3925,998.5025,961.5600,983.7255,2136
2014-06-10,976.3370,990.0585,971.0595,980.5590,1470
2014-06-11,979.5035,983.7255,965.7820,968.9485,1665
2014-06-12,965.7820,968.9485,944.6721,954.1716,2085
2014-06-13,959.4490,966.8375,952.0606,964.7265,3043
2014-06-16,965.7820,996.3915,965.7820,986.8920,4561
2014-06-17,986.8920,986.8920,972.1150,979.5035,2191
2014-06-18,981.6145,982.6700,971.0595,980.5590,3090
2014-06-19,989.0030,990.0585,955.2271,965.7820,3033
2014-06-20,972.1150,976.3370,960.5045,972.1150,5148
2014-06-23,976.3370,976.3370,949.9496,952.0606,1342
2014-06-24,948.8941,948.8941,909.8406,913.0071,6745
2014-06-25,904.5631,928.8396,903.5076,928.8396,2729
2014-06-26,927.7841,927.7841,913.0071,921.4511,1174
2014-06-27,913.0071,937.2836,913.0071,929.8951,11252
2014-06-30,924.6176,939.3946,918.2846,939.3946,4535
2014-07-01,937.2836,952.0606,928.8396,948.8941,3676
2014-07-02,944.6721,959.4490,941.5056,944.6721,3365
2014-07-03,948.8941,956.2826,937.2836,954.1716,1434
2014-07-07,946.7831,946.7831,919.3401,929.8951,2791
2014-07-08,932.0061,934.1171,918.2846,923.5621,4350
2014-07-09,926.7286,932.0061,919.3401,925.6731,8006
2014-07-10,902.4521,925.6731,898.2301,913.0071,4364
2014-07-11,908.7851,924.6176,906.6741,907.7296,3402
2014-07-14,921.4511,926.7286,916.1736,921.4511,2183
2014-07-15,917.2291,924.6176,900.3411,909.8406,3127
2014-07-16,918.2846,918.2846,899.2856,904.5631,3053
2014-07-17,902.4521,926.7286,892.9526,896.1191,2763
2014-07-18,890.8416,919.3401,890.8416,919.3401,2164
2014-07-21,909.8406,909.8406,896.1191,901.3966,1123
2014-07-22,903.5076,921.4511,891.8971,903.5076,2943
2014-07-23,902.4521,908.7851,884.5086,891.8971,2438
2014-07-24,890.8416,900.3411,878.1756,880.2866,2811
2014-07-25,871.8426,882.3976,865.5096,875.0091,2383
2014-07-28,879.2311,881.3421,866.5651,869.7316,3643
2014-07-29,873.9536,873.9536,851.7881,858.1211,4180
2014-07-30,901.3966,915.1181,839.1221,844.3996,3493
2014-07-31,849.6771,851.7881,801.1241,811.6791,9369
2014-08-01,813.7901,844.3996,808.5126,823.2896,5746
2014-08-04,829.6226,834.9001,813.7901,831.7336,5522
2014-08-05,830.6781,841.2331,827.5116,835.9556,3595
2014-08-06,829.6226,843.3441,828.5671,832.7891,2712
2014-08-07,830.6781,841.2331,812.7346,818.0121,2643
2014-08-08,814.8456,825.4006,807.4571,824.3451,1397
2014-08-11,831.7336,843.3441,816.9566,826.4561,7481
2014-08-12,822.2341,839.1221,797.9576,812.7346,6117
2014-08-13,819.0676,819.0676,807.4571,809.5681,4859
2014-08-14,812.7346,841.2331,808.5126,839.1221,6373
2014-08-15,851.7881,854.9546,826.4561,827.5116,6045
2014-08-18,839.1221,871.8426,837.0111,871.8426,5026
2014-08-19,871.8426,871.8426,857.0656,861.2876,2886
2014-08-20,853.8991,862.3431,841.2331,860.2321,3323
2014-08-21,856.0101,866.5651,844.3996,858.1211,1733
2014-08-22,857.0656,857.0656,842.2886,844.3996,3718
2014-08-25,844.3996,853.8991,833.8446,834.9001,3371
2014-08-26,838.0666,849.6771,834.9001,847.5661,1818
2014-08-27,847.5661,857.0656,837.0111,838.0666,1429
2014-08-28,838.0666,848.6216,833.8446,833.8446,1572
2014-08-29,833.8446,844.3996,833.8446,842.2886,2028
2014-09-02,847.5661,850.7326,827.5116,840.1776,3403
2014-09-03,859.1766,871.8426,846.5106,848.6216,7773
2014-09-04,851.7881,868.6761,846.5106,861.2876,9843
2014-09-05,856.0101,866.5651,852.8436,859.1766,9118
2014-09-08,859.1766,867.6206,850.7326,854.9546,5311
2014-09-09,851.7881,853.8991,839.1221,846.5106,4333
2014-09-10,845.4551,862.3431,838.0666,862.3431,8065
2014-09-11,854.9546,861.2876,838.0666,850.7326,5306
2014-09-12,852.8436,852.8436,805.3461,810.6236,7011
2014-09-15,809.5681,818.0121,791.6246,792.6801,5918
2014-09-16,799.0131,803.2351,781.0696,796.9021,7398
2014-09-17,796.9021,813.7901,794.7911,804.2906,3658
2014-09-18,807.4571,807.4571,786.3471,800.0686,4688
2014-09-19,806.4016,829.6226,756.7931,761.0151,6996
2014-09-22,754.6821,768.0448,718.7952,719.8507,10040
2014-09-23,718.7952,728.2947,691.8799,697.6852,12350
2014-09-24,699.7962,704.0182,680.7972,685.0192,49491
2014-09-25,682.9082,683.9637,606.9122,649.1322,30999
2014-09-26,644.9102,650.1877,630.1332,644.9102,10067
2014-09-29,638.5772,655.4546,635.4107,639.6327,7544
2014-09-30,639.6327,649.1322,614.3007,614.3007,7220
2014-10-01,612.1897,620.6232,593.1907,594.2462,12624
2014-10-02,596.3572,615.3562,587.9132,613.2452,9395
2014-10-03,622.7447,639.6327,622.7447,633.2997,9995
2014-10-06,633.2997,641.7437,597.4127,607.9677,12151
2014-10-07,618.5227,619.5782,585.8022,585.8022,8571
2014-10-08,586.8577,590.5520,538.3047,557.3037,14523
2014-10-09,559.4147,564.6922,522.4723,526.6943,16880
2014-10-10,523.5278,529.8608,491.8628,503.4733,19577
2014-10-13,514.0283,517.1948,471.8083,473.9193,15945
2014-10-14,480.2523,482.3633,442.2543,470.7528,17792
2014-10-15,460.1978,471.8083,422.1998,471.8083,53247
2014-10-16,478.1413,507.4842,462.3088,502.4178,21063
2014-10-17,508.7508,515.0838,501.3623,511.9173,19271
2014-10-20,510.8618,539.3602,509.8063,523.5278,10306
2014-10-21,537.2492,564.6922,536.1937,547.8042,18048
2014-10-22,559.4147,586.8577,520.3613,523.5278,10951
2014-10-23,527.7498,534.0827,495.0293,498.1958,8617
2014-10-24,495.0293,505.0565,483.4188,498.1958,7061
