"MacroTrends Data Download"
"SILV - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2018-08-21,2.2600,2.5200,2.2600,2.3500,44452
2018-08-22,2.3600,2.4200,2.1500,2.4200,30674
2018-08-23,2.1800,2.5400,2.1800,2.4000,93253
2018-08-24,2.4042,2.5100,2.3800,2.4493,77766
2018-08-27,2.4700,2.5100,2.4459,2.4968,22985
2018-08-28,2.5000,2.6000,2.4532,2.6000,44061
2018-08-29,2.6000,2.6000,2.5100,2.5600,43727
2018-08-30,2.5000,2.5800,2.4500,2.5200,27780
2018-08-31,2.4900,2.5700,2.3900,2.4500,72712
2018-09-04,2.4500,2.5500,2.3600,2.4000,56234
2018-09-05,2.3600,2.5000,2.3200,2.4000,63199
2018-09-06,2.4300,2.4550,2.2801,2.4400,27701
2018-09-07,2.5000,2.5000,2.3247,2.3700,28773
2018-09-10,2.4000,2.4000,2.3000,2.3200,28149
2018-09-11,2.3000,2.3200,2.2000,2.2478,57432
2018-09-12,2.2400,2.4800,2.2300,2.4300,56043
2018-09-13,2.5000,2.5000,2.4020,2.4258,50866
2018-09-14,2.4200,2.4500,2.3900,2.4150,13818
2018-09-17,2.4400,2.5000,2.4300,2.4459,31418
2018-09-18,2.4760,2.4985,2.3500,2.3500,62038
2018-09-19,2.4000,2.5600,2.3000,2.5000,87747
2018-09-20,2.5000,2.7100,2.5000,2.5712,103538
2018-09-21,2.5900,2.6200,2.4500,2.5600,15014
2018-09-24,2.5400,2.5632,2.4259,2.4500,25084
2018-09-25,2.4800,2.4900,2.4700,2.4900,7738
2018-09-26,2.4800,2.4900,2.4301,2.4492,32446
2018-09-27,2.4400,2.4699,2.4000,2.4100,17601
2018-09-28,2.4200,2.5000,2.4200,2.4500,37935
2018-10-01,2.4800,2.5000,2.4001,2.5000,61547
2018-10-02,2.5600,2.5600,2.4500,2.5000,54054
2018-10-03,2.8900,2.9000,2.5500,2.7000,428366
2018-10-04,2.7000,2.7100,2.5500,2.6475,145942
2018-10-05,2.7200,2.9000,2.5500,2.9000,88298
2018-10-08,2.9000,3.0000,2.7300,2.7300,74610
2018-10-09,2.8600,3.0000,2.5500,3.0000,77931
2018-10-10,2.9900,2.9900,2.5100,2.5250,143093
2018-10-11,2.9100,2.9100,2.5401,2.6800,122995
2018-10-12,2.6200,2.8999,2.6200,2.6500,92908
2018-10-15,2.7000,2.8200,2.6509,2.8200,115792
2018-10-16,2.8200,2.9000,2.7608,2.9000,141183
2018-10-17,2.9000,2.9000,2.7900,2.7900,57295
2018-10-18,2.8500,2.8500,2.7300,2.8400,41586
2018-10-19,2.9000,2.9500,2.7500,2.9500,34832
2018-10-22,3.0700,3.0700,2.7142,2.7900,68595
2018-10-23,2.9700,3.0262,2.7200,2.7800,116580
2018-10-24,2.8100,2.8200,2.6900,2.7500,61361
2018-10-25,2.7300,2.7300,2.5100,2.5600,116505
2018-10-26,2.5400,2.6800,2.5301,2.6300,84865
2018-10-29,2.6600,2.6600,2.5492,2.6000,100744
2018-10-30,2.5500,2.5500,2.4900,2.5300,114939
2018-10-31,2.5300,2.6300,2.5100,2.6300,81303
2018-11-01,2.6100,2.8700,2.6100,2.8604,114289
2018-11-02,2.8000,2.8900,2.7500,2.7500,78794
2018-11-05,2.7500,2.8380,2.7500,2.8000,65823
2018-11-06,2.7500,2.7800,2.7500,2.7600,22533
2018-11-07,2.7200,2.7900,2.6700,2.6800,55842
2018-11-08,2.7300,2.7300,2.6500,2.6500,60125
2018-11-09,2.6000,2.6500,2.5500,2.6346,109136
2018-11-12,2.6500,2.6700,2.5000,2.5400,82651
2018-11-13,2.4900,2.4917,2.2500,2.3101,176538
2018-11-14,2.3100,2.4614,2.2800,2.3835,83557
2018-11-15,2.3500,2.4900,2.3000,2.4400,50820
2018-11-16,2.4800,2.6372,2.4732,2.6000,91806
2018-11-19,2.5300,2.5800,2.5000,2.5000,73508
2018-11-20,2.5600,2.5990,2.4800,2.5300,131871
2018-11-21,2.6000,2.7000,2.4000,2.7000,37988
2018-11-23,2.7000,2.7000,2.2100,2.2300,85703
2018-11-26,2.2900,2.4500,2.2200,2.4500,59055
2018-11-27,2.5200,2.5200,2.2100,2.4200,46103
2018-11-28,2.4200,2.4500,2.2914,2.3200,87217
2018-11-29,2.4400,2.5900,2.4200,2.4500,177628
2018-11-30,2.5100,2.5490,2.4347,2.4778,30339
2018-12-03,2.5000,2.5000,2.4000,2.4200,33240
2018-12-04,2.4900,2.5600,2.4100,2.4313,46430
2018-12-06,2.4300,2.4900,2.3700,2.4530,38086
2018-12-07,2.4100,2.5070,2.2500,2.2500,40611
2018-12-10,2.3700,2.4600,2.3700,2.4500,78144
2018-12-11,2.4500,2.4700,2.4120,2.4400,33333
2018-12-12,2.4308,2.4900,2.4200,2.4422,54813
2018-12-13,2.4300,2.4500,2.3700,2.4500,60312
2018-12-14,2.4200,2.4500,2.3933,2.4200,103805
2018-12-17,2.2700,2.4400,2.2700,2.3900,113101
2018-12-18,2.3500,2.3900,2.2800,2.3100,63865
2018-12-19,2.2800,2.4100,2.2500,2.2588,137476
2018-12-20,2.2500,2.4099,2.2500,2.2800,85835
2018-12-21,2.3500,2.4600,2.2800,2.4450,69553
2018-12-24,2.4600,2.7400,2.3900,2.5000,64140
2018-12-26,2.5800,2.7500,2.5400,2.7300,32430
2018-12-27,2.7200,2.7200,2.4522,2.5500,57676
2018-12-28,2.6000,2.6800,2.5501,2.6500,36300
2018-12-31,2.7100,2.9600,2.7000,2.9300,164050
2019-01-02,2.9600,2.9600,2.7600,2.8290,83428
2019-01-03,2.7800,3.0000,2.7800,2.9634,82071
2019-01-04,3.0000,3.0000,2.8100,2.9460,45037
2019-01-07,2.9900,2.9900,2.8422,2.9500,71679
2019-01-08,2.9100,2.9882,2.8500,2.8896,25169
2019-01-09,2.9600,3.2300,2.9300,3.2201,154215
2019-01-10,3.3600,3.3600,3.0548,3.1725,153088
2019-01-11,3.2400,3.2600,2.9400,3.1600,233588
2019-01-14,3.1600,3.1600,2.9500,2.9807,71470
2019-01-15,2.9700,3.0200,2.9000,2.9300,67629
2019-01-16,2.8800,3.0000,2.8800,2.9400,22276
2019-01-17,2.9100,3.0400,2.9100,3.0386,14962
2019-01-18,3.0800,3.0800,2.9000,3.0300,28327
2019-01-22,3.0300,3.2300,3.0300,3.2300,72204
2019-01-23,3.1400,3.3922,3.1000,3.1700,53688
2019-01-24,3.2000,3.3439,3.1500,3.2800,55552
2019-01-25,3.3000,3.5300,3.2900,3.5000,200077
2019-01-28,3.5200,3.5300,3.4600,3.4700,47487
2019-01-29,3.5700,3.6100,3.4200,3.5000,59857
2019-01-30,3.6600,3.6600,3.3500,3.6300,90140
2019-01-31,3.6600,3.7200,3.4685,3.7200,190424
2019-02-01,3.7600,3.7900,3.5510,3.7700,105695
