"MacroTrends Data Download"
"TPH - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-01-31,19.5600,19.9900,19.0000,19.0500,12750300
2013-02-01,19.2500,19.3500,18.4000,19.0000,1467000
2013-02-04,19.0100,19.0100,18.1200,18.4000,529000
2013-02-05,18.4500,18.4600,17.8000,18.1800,689100
2013-02-06,18.0300,18.7200,17.8100,18.1600,427500
2013-02-07,18.0000,18.5400,17.9900,18.4500,784700
2013-02-08,18.6300,19.0000,18.2300,18.6400,375800
2013-02-11,18.6000,19.3100,18.6000,19.0200,388200
2013-02-12,19.0300,19.1400,18.8000,18.8600,310400
2013-02-13,18.8600,19.1900,18.6100,19.0300,290100
2013-02-14,19.0000,19.0400,18.8400,18.9700,62800
2013-02-15,18.8900,18.9800,18.7100,18.7600,418700
2013-02-19,18.6100,18.7500,18.1500,18.5900,750900
2013-02-20,18.4000,18.6700,17.8200,17.9700,342100
2013-02-21,17.5800,18.1800,17.5000,18.0300,317600
2013-02-22,18.1500,18.2300,17.6500,18.0600,145500
2013-02-25,18.2000,18.6900,17.9100,18.1900,461000
2013-02-26,18.6300,18.6300,17.7700,18.2700,405700
2013-02-27,18.2700,18.6700,18.2400,18.4900,338700
2013-02-28,18.3900,18.7500,18.1300,18.4000,219700
2013-03-01,18.2400,18.3300,17.8200,18.3000,299800
2013-03-04,18.2300,18.4100,17.9000,18.1200,105700
2013-03-05,18.2800,18.7500,18.0200,18.2600,250700
