"MacroTrends Data Download"
"UUUU - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2007-03-19,181.0000,187.5000,179.0000,181.0000,130
2007-03-20,180.0000,187.5000,178.5000,180.0000,588
2007-03-21,174.5000,181.5000,174.5000,174.5000,148
2007-03-22,173.5000,180.0000,173.5000,173.5000,118
2007-03-23,173.5000,178.5000,173.5000,176.5000,76
2007-03-26,179.5000,181.0000,177.5000,179.5000,52
2007-03-27,176.5000,182.0000,176.0000,176.5000,78
2007-03-28,174.5000,174.5000,174.5000,174.5000,8
2007-03-29,177.0000,177.5000,175.0000,177.0000,110
2007-03-30,174.0000,177.5000,171.5000,174.0000,200
2007-04-02,172.5000,176.5000,169.5000,172.5000,108
2007-04-03,174.0000,174.0000,173.0000,174.0000,124
2007-04-04,171.0000,176.0000,170.5000,171.0000,138
2007-04-05,178.0000,179.0000,175.0000,178.0000,382
2007-04-09,183.5000,189.0000,181.5000,183.5000,600
2007-04-10,211.0000,220.5000,200.0000,211.0000,3368
2007-04-11,196.5000,212.5000,196.5000,196.5000,5808
2007-04-12,210.0000,214.5000,193.0000,210.0000,754
2007-04-13,235.0000,240.0000,219.0000,235.0000,5324
2007-04-16,215.5000,232.0000,215.5000,215.5000,1458
2007-04-17,212.0000,223.5000,212.0000,212.0000,1920
2007-04-18,199.5000,218.0000,198.5000,199.5000,1412
2007-04-19,189.5000,196.0000,180.0000,189.5000,970
2007-04-20,205.0000,205.0000,194.0000,205.0000,552
2007-04-23,199.5000,210.0000,198.0000,199.5000,750
2007-04-24,192.0000,198.0000,188.5000,192.0000,314
2007-04-25,196.0000,197.5000,191.0000,196.0000,164
2007-04-26,192.0000,194.0000,187.0000,192.0000,200
2007-04-27,190.0000,191.0000,187.5000,190.0000,2072
2007-04-30,186.0000,190.0000,185.0000,186.0000,180
2007-05-01,179.5000,184.0000,175.0000,179.5000,382
2007-05-02,183.5000,186.5000,180.0000,183.5000,346
2007-05-03,192.5000,192.5000,181.5000,192.5000,416
