"MacroTrends Data Download"
"AHT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2003-08-26,247.3929,247.3929,247.3929,247.3929,55439
2003-08-27,247.3929,249.5919,247.3929,249.5919,15312
2003-08-28,249.5919,256.1890,249.5919,253.9900,6380
2003-08-29,253.9900,253.9900,251.7909,253.9900,4373
2003-09-02,251.7909,251.7909,247.3929,251.7909,24745
2003-09-03,251.7909,251.7909,249.5919,249.5919,14788
2003-09-04,251.7909,256.1890,251.7909,253.9900,3207
2003-09-05,255.6393,259.7625,254.2649,255.6393,3641
2003-09-08,258.3881,261.1369,257.8383,258.3881,6652
2003-09-09,258.3881,258.3881,254.2649,255.6393,610
2003-09-10,255.6393,255.6393,248.7673,250.1417,1385
2003-09-11,251.5161,251.5161,250.1417,250.6914,1166
2003-09-12,252.8905,255.6393,250.4165,255.6393,1799
2003-09-15,254.8146,254.8146,251.5161,252.3407,2540
2003-09-16,251.5161,252.8905,251.5161,252.3407,1215
2003-09-17,252.3407,252.3407,250.4165,251.5161,613
2003-09-18,251.5161,251.5161,249.3170,250.6914,3651
2003-09-19,251.5161,254.2649,251.5161,252.8905,3084
2003-09-22,252.6156,253.7151,251.5161,252.0658,1010
2003-09-23,252.0658,261.1369,251.5161,257.5634,8227
2003-09-24,256.1890,257.0137,252.8905,252.8905,862
2003-09-25,252.8905,252.8905,250.1417,250.6914,1066
2003-09-26,250.6914,250.6914,243.2696,243.2696,6339
2003-09-29,246.0184,246.2933,244.3692,246.0184,5033
2003-09-30,246.0184,247.3929,246.0184,246.5682,3067
2003-10-01,247.3929,249.8668,247.3929,247.6677,3349
2003-10-02,248.7673,249.3170,246.5682,247.9426,1050
2003-10-03,247.3929,250.1417,247.3929,250.1417,771
2003-10-06,250.1417,254.2649,250.1417,252.8905,7496
2003-10-07,252.8905,255.3644,251.5161,252.0658,2312
2003-10-08,252.0658,258.3881,252.0658,254.8146,983
2003-10-09,253.1654,256.4639,251.5161,252.8905,9865
2003-10-10,253.7151,253.9900,251.5161,252.8905,1302
2003-10-13,251.5161,252.8905,251.5161,251.5161,604
2003-10-14,252.8905,252.8905,251.5161,252.8905,1349
2003-10-15,253.4402,254.5398,251.7909,253.9900,2801
2003-10-16,254.2649,257.0137,252.6156,253.7151,2634
2003-10-17,254.2649,255.0895,252.8905,254.2649,832
2003-10-20,252.8905,257.0137,252.8905,254.5398,1665
2003-10-21,254.2649,255.0895,252.8905,254.2649,3803
2003-10-22,252.8905,256.4639,252.6156,255.6393,2538
2003-10-23,255.0895,256.4639,252.8905,252.8905,6891
2003-10-24,252.8905,253.9900,247.3929,248.4924,3449
2003-10-27,249.8668,252.0658,247.9426,250.9663,677
2003-10-28,250.1417,250.6914,248.7673,250.1417,981
2003-10-29,250.1417,252.8905,250.1417,252.8905,1028
2003-10-30,251.5161,252.3407,250.6914,252.3407,522
2003-10-31,251.5161,254.2649,251.5161,251.5161,2024
2003-11-03,251.5161,253.9900,250.1417,250.1417,558
2003-11-04,250.1417,254.2649,250.1417,253.1654,449
2003-11-05,252.8905,253.9900,251.5161,253.7151,244
2003-11-06,253.7151,255.6393,251.7909,255.6393,810
2003-11-07,254.8146,257.0137,252.8905,255.6393,3851
2003-11-10,255.6393,257.8383,255.6393,257.8383,908
2003-11-11,257.0137,257.0137,253.7151,253.7151,223
2003-11-12,255.6393,257.0137,254.2649,255.0895,442
2003-11-13,254.2649,259.7625,254.2649,259.7625,989
2003-11-14,257.0137,259.7625,257.0137,258.3881,166
2003-11-17,257.0137,260.3123,257.0137,258.9379,13
2003-11-18,257.0137,259.2127,256.1890,256.4639,117
2003-11-19,255.6393,257.0137,255.6393,257.0137,201
2003-11-20,255.6393,256.4639,254.2649,255.3644,141
2003-11-21,254.8146,258.1132,253.1654,253.1654,306
2003-11-24,253.1654,259.7625,252.6156,255.3644,1072
2003-11-25,257.8383,257.8383,254.2649,257.8383,295
2003-11-26,258.3881,261.1369,257.5634,258.9379,262
2003-11-28,261.1369,261.1369,260.0374,261.1369,125
2003-12-01,262.5113,267.4592,260.5871,266.0848,3063
2003-12-02,266.0848,269.3833,265.2601,265.2601,1309
2003-12-03,266.6345,266.6345,263.8857,263.8857,362
2003-12-04,263.8857,266.0848,261.1369,263.8857,509
2003-12-05,263.0611,264.1606,261.4118,262.7862,184
2003-12-08,261.6867,266.0848,261.6867,266.0848,739
2003-12-09,266.0848,266.0848,261.1369,261.6867,1793
2003-12-10,261.1369,261.1369,255.3644,257.0137,4697
2003-12-11,257.2886,257.2886,255.3644,256.4639,661
2003-12-12,257.0137,265.8099,256.7388,265.8099,1650
2003-12-15,266.3596,268.0089,263.8857,266.3596,1539
2003-12-16,266.3596,268.5587,265.5350,265.8099,3030
2003-12-17,265.2601,268.0089,260.0374,261.1369,2622
2003-12-18,258.3881,262.2364,255.6393,260.5871,393
2003-12-19,261.1369,261.1369,255.0895,255.3644,843
2003-12-22,255.6393,255.6393,247.9426,248.7673,2954
2003-12-23,247.6677,251.2412,247.6677,250.4165,3549
2003-12-24,250.4165,251.5161,247.9426,251.5161,1163
2003-12-26,252.8905,252.8905,252.0658,252.8905,537
2003-12-29,253.4402,253.4402,251.5161,252.3407,901
2003-12-30,255.0895,261.1369,254.2649,258.3881,1689
2003-12-31,258.3881,259.7625,257.0137,258.1132,2047
2004-01-02,258.3881,258.3881,257.8383,258.1132,487
