"MacroTrends Data Download"
"AMH - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-08-01,14.1786,15.2245,14.0967,14.1877,21094700
2013-08-02,14.1695,14.4605,14.1422,14.3968,2114600
2013-08-05,14.2968,14.4605,14.2422,14.2422,736400
2013-08-06,14.2422,14.5424,14.2422,14.3514,414100
2013-08-07,14.2604,14.3423,14.1877,14.2331,400600
2013-08-08,14.3241,14.6879,14.3241,14.6606,1216600
2013-08-09,14.5969,14.6970,14.5515,14.6424,608400
2013-08-12,14.5969,14.7970,14.5969,14.6879,868200
2013-08-13,14.6879,14.7333,14.5515,14.5969,364300
2013-08-14,14.5333,14.6333,14.3696,14.5878,371700
2013-08-15,14.5515,14.6424,14.4332,14.5515,772400
2013-08-16,14.6151,14.7606,14.5515,14.6060,1368000
2013-08-19,14.5696,14.6515,14.5515,14.5605,256000
2013-08-20,14.5605,14.6424,14.4913,14.5605,656500
2013-08-21,14.5605,14.6060,14.5515,14.5969,199700
2013-08-22,14.5787,14.6606,14.5605,14.6151,211000
2013-08-23,14.5969,14.6424,14.2331,14.5696,845600
2013-08-26,14.5060,14.5696,14.3514,14.4150,358800
2013-08-27,14.2059,14.5878,14.1422,14.4878,1135000
2013-08-28,14.5515,14.6060,14.4150,14.4696,552400
2013-08-29,14.4605,14.5605,14.3968,14.4605,636100
2013-08-30,14.4150,14.5424,14.4150,14.4423,121300
2013-09-03,14.4241,14.5515,14.4151,14.5515,724000
2013-09-04,14.4969,14.6424,14.4696,14.5969,630300
2013-09-05,14.2968,14.5696,14.2968,14.4059,352100
2013-09-06,14.5060,14.6060,14.3787,14.4787,328600
2013-09-09,14.4787,14.6424,14.4787,14.6060,578000
2013-09-10,14.5515,14.5969,14.1422,14.2059,598400
2013-09-11,14.1422,14.3150,14.0603,14.1240,429000
2013-09-12,14.0876,14.1422,13.9057,13.9603,446900
2013-09-13,13.9148,14.4196,13.9148,14.4150,904800
2013-09-16,14.3696,14.5060,14.0149,14.4696,874600
2013-09-17,14.4514,14.5242,14.4423,14.4878,531300
2013-09-18,14.5242,14.5924,14.3150,14.5060,843600
2013-09-19,14.4696,14.5969,14.4696,14.5878,658800
2013-09-20,14.5242,14.8970,14.5242,14.8243,4163300
2013-09-23,14.7606,15.4518,14.7606,15.2790,1170800
2013-09-24,15.2336,15.3791,15.1699,15.3700,705900
2013-09-25,15.3609,15.3700,15.0426,15.1062,415900
2013-09-26,14.8061,15.3609,14.8061,15.2063,539200
2013-09-27,15.1699,15.2772,14.7061,14.9152,428100
2013-09-30,14.8243,15.1317,14.6424,14.6879,2734600
2013-10-01,14.6879,14.8243,14.4878,14.5696,949100
2013-10-02,14.4969,14.4969,14.1968,14.3877,1810200
2013-10-03,14.3059,14.3696,14.0512,14.1877,1101900
2013-10-04,14.2240,14.5696,14.0967,14.3696,1156400
2013-10-07,14.2513,14.3605,14.1604,14.1877,1349500
2013-10-08,14.1968,14.3041,13.9967,14.0512,1528000
2013-10-09,14.0694,14.1422,13.7329,13.8421,1511800
2013-10-10,13.9239,14.0058,13.8603,13.9330,851900
2013-10-11,13.9603,14.2059,13.8603,13.9603,783300
2013-10-14,14.3968,14.4059,13.9603,14.0603,940500
2013-10-15,14.0967,14.1422,13.9512,14.0240,444400
2013-10-16,14.1058,14.3232,14.0528,14.2604,949500
2013-10-17,14.2968,14.5487,14.2786,14.3877,408200
2013-10-18,14.5515,14.5969,14.3514,14.4241,415900
2013-10-21,14.4332,14.5787,14.3059,14.5515,1288200
2013-10-22,14.8880,15.0335,14.4605,14.6060,541600
2013-10-23,14.5969,14.6697,14.4423,14.5424,418300
2013-10-24,14.5515,14.5944,14.4423,14.5696,815000
2013-10-25,14.5605,14.6697,14.5333,14.6151,816100
2013-10-28,14.6606,14.7061,14.5060,14.6515,587100
2013-10-29,14.6970,14.7333,14.4241,14.4787,820800
2013-10-30,14.4696,14.4696,14.1877,14.2331,1525800
2013-10-31,14.2786,14.4150,14.0058,14.0785,1767000
2013-11-01,14.0967,14.3059,14.0422,14.2422,678100
2013-11-04,14.2422,14.3696,14.1877,14.3241,997000
2013-11-05,14.3241,14.4332,14.2423,14.3423,1133100
2013-11-06,14.3696,14.6242,14.3150,14.5969,2013800
2013-11-07,14.5515,14.6879,14.4605,14.5787,3063300
2013-11-08,14.3877,14.8516,14.3514,14.7061,2018500
2013-11-11,14.7515,14.7515,14.5242,14.6424,1513100
2013-11-12,14.5787,14.8288,14.5696,14.7697,1330900
2013-11-13,14.8243,15.1608,14.7970,15.1244,1512600
2013-11-14,15.1153,15.1153,14.9425,15.0517,1097400
2013-11-15,15.1335,15.3609,15.0153,15.3336,2546800
2013-11-18,15.3882,15.4154,15.0899,15.2426,2721600
2013-11-19,15.1881,15.2881,15.0062,15.0426,1208500
2013-11-20,15.0971,15.2336,14.8970,14.9334,1030300
2013-11-21,15.0062,15.1517,14.9061,14.9607,1471500
2013-11-22,14.9880,15.0153,14.8880,14.9971,1225400
2013-11-25,15.0517,15.1062,14.8698,14.9334,1391700
2013-11-26,14.9334,15.1972,14.8789,14.9880,5872700
2013-11-27,15.0608,15.1426,14.8607,14.9607,1759900
2013-11-29,14.9516,15.0153,14.8607,14.9152,273100
2013-12-02,14.9425,14.9880,14.7061,14.9698,931000
2013-12-03,14.9243,15.0244,14.8880,14.9607,822800
2013-12-04,14.9061,15.0062,14.7151,14.7243,1002900
2013-12-05,14.6424,14.6879,14.4605,14.5060,819900
2013-12-06,14.6060,15.0335,14.5787,15.0062,794500
2013-12-09,14.9971,15.1608,14.9152,15.0062,997200
2013-12-10,15.0517,15.1608,14.8880,14.9061,528600
2013-12-11,14.8702,14.8702,14.5965,14.7243,1070100
2013-12-12,14.7881,14.8428,14.5874,14.6786,625300
2013-12-13,14.6786,14.7699,14.5874,14.7060,423700
2013-12-16,14.6969,14.8246,14.6057,14.6786,424900
2013-12-17,14.6604,14.7699,14.5053,14.5874,523600
2013-12-18,14.6513,14.9158,14.5965,14.7790,683800
2013-12-19,14.7881,14.8520,14.6513,14.7881,568900
2013-12-20,14.7699,14.9067,14.6878,14.7790,723700
2013-12-23,14.7790,14.8064,14.6330,14.6878,795400
2013-12-24,14.6878,14.7972,14.6695,14.7699,85300
2013-12-26,14.7790,14.7790,14.5965,14.6604,396300
2013-12-27,14.6604,14.7425,14.5874,14.7334,732100
2013-12-30,14.7334,14.8018,14.6786,14.7699,349800
2013-12-31,14.6878,14.8337,14.6786,14.7790,567100
2014-01-02,14.7790,14.9888,14.6604,14.7243,385600
2014-01-03,14.7607,14.8337,14.6969,14.8246,371600
2014-01-06,14.8793,14.9614,14.7881,14.9432,378300
2014-01-07,15.0527,15.2534,14.9523,15.0892,580600
2014-01-08,15.1439,15.2625,14.8702,15.1165,684900
2014-01-09,15.1713,15.2807,15.1257,15.2443,925100
2014-01-10,15.3081,15.4358,15.2716,15.4085,423900
2014-01-13,15.4541,15.4997,15.3446,15.3537,444800
2014-01-14,15.4267,15.5544,15.2716,15.4814,578800
2014-01-15,15.5453,15.6000,15.3583,15.5362,776500
2014-01-16,15.5636,15.6000,15.4541,15.4906,346400
2014-01-17,15.4997,15.5909,15.4267,15.5909,459000
2014-01-21,15.6639,15.6913,15.4541,15.4632,492000
2014-01-22,15.4997,15.5088,15.3628,15.4176,382500
2014-01-23,15.3628,15.4450,15.2908,15.3720,438700
2014-01-24,15.2990,15.3902,15.0800,15.1986,449500
2014-01-27,15.1895,15.2443,14.7790,14.8064,1290200
2014-01-28,14.8885,15.0253,14.8191,14.9706,454000
2014-01-29,14.8793,14.9158,14.6604,14.8246,454700
2014-01-30,14.8976,15.1302,14.8246,15.0709,876600
2014-01-31,14.9706,15.2169,14.9569,15.2169,735900
2014-02-03,15.2443,15.4997,15.0353,15.1074,1217000
2014-02-04,15.1257,15.2351,14.9250,15.0983,715000
2014-02-05,15.0983,15.1986,15.0253,15.1530,467100
2014-02-06,15.1713,15.2260,15.0436,15.1621,773100
2014-02-07,15.3720,15.3720,15.0892,15.3081,347100
2014-02-10,15.3355,15.3993,15.2078,15.2443,429000
2014-02-11,15.1895,15.5453,15.1895,15.5179,770800
2014-02-12,15.4814,15.5453,15.2899,15.2899,242100
2014-02-13,15.2625,15.3264,15.1165,15.2990,743700
2014-02-14,15.3081,15.3902,15.1257,15.2260,411900
2014-02-18,15.2351,15.3628,15.1986,15.2534,264800
2014-02-19,15.2716,15.4358,15.2078,15.3902,463600
2014-02-20,15.3720,15.4085,15.0253,15.1713,1524300
2014-02-21,15.2625,15.2990,15.0709,15.1165,631800
2014-02-24,15.1895,15.2534,14.9797,14.9979,886600
2014-02-25,15.0253,15.1895,14.9888,15.0618,418000
2014-02-26,15.1074,15.1713,14.9797,15.0436,404900
2014-02-27,15.0527,15.1074,14.9250,14.9979,320600
2014-02-28,15.0436,15.0527,14.8885,14.9432,746700
2014-03-03,14.9158,15.0800,14.8520,15.0436,894200
2014-03-04,15.1348,15.2260,15.0162,15.1530,1318400
2014-03-05,15.4450,15.5271,15.2807,15.4632,2355600
2014-03-06,15.5088,15.6274,15.4495,15.5088,680700
2014-03-07,15.5909,16.0562,15.5088,15.8007,1497000
2014-03-10,15.8646,15.9923,15.7825,15.8920,2251400
2014-03-11,15.6548,15.7825,15.3537,15.4176,3148200
2014-03-12,15.4450,15.6548,15.3902,15.5818,1057300
2014-03-13,15.5727,15.7004,15.3172,15.5088,1684800
2014-03-14,15.4176,15.7734,15.2899,15.3537,2226500
2014-03-17,15.3537,15.3537,14.9067,15.0527,2785600
2014-03-18,14.9888,15.0709,14.9204,15.0162,2695700
2014-03-19,14.9706,15.0436,14.8702,14.9706,2009400
2014-03-20,15.2169,15.4358,14.9888,15.4085,2984800
2014-03-21,15.4369,15.7160,14.9702,15.0800,9472100
2014-03-24,15.1807,15.4278,15.0892,15.3637,1733600
2014-03-25,15.4003,15.4918,15.3180,15.4278,1109400
2014-03-26,15.5467,15.6199,15.2905,15.3271,779000
2014-03-27,15.3088,15.4003,15.1807,15.2905,415900
2014-03-28,15.3180,15.3912,15.1258,15.2722,610000
2014-03-31,15.2264,15.2997,14.9885,15.2905,1692900
2014-04-01,15.3271,15.3729,15.1990,15.3271,838100
2014-04-02,15.2997,15.3820,15.0434,15.0983,744600
2014-04-03,15.1166,15.1349,14.9062,15.0526,409500
2014-04-04,15.1166,15.1258,14.8604,14.9885,458400
2014-04-07,14.9336,15.0068,14.8238,14.8696,758700
2014-04-08,14.9062,14.9336,14.6966,14.7781,992700
