"MacroTrends Data Download"
"AOMR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-06-17,16.6661,16.6661,16.2217,16.5772,1490650
2021-06-18,16.8350,16.8350,15.2084,16.1684,595000
2021-06-21,16.1772,16.1772,15.9995,16.1328,131667
2021-06-22,16.0439,16.1260,15.9995,16.0173,269586
2021-06-23,15.9995,16.1286,15.8661,15.9995,291950
2021-06-24,16.1328,16.1328,15.6564,15.7773,181042
2021-06-25,15.7773,16.1950,15.5550,16.1772,252762
2021-06-28,16.0884,16.1230,15.5550,15.5550,233594
2021-06-29,15.6439,16.0884,15.2884,16.0617,132856
2021-06-30,15.7328,16.0884,15.5550,15.8839,131111
2021-07-01,15.8484,15.8485,15.4662,15.5550,163526
2021-07-02,15.5550,15.6617,15.4662,15.6617,59344
2021-07-06,15.4395,15.5550,15.2617,15.3595,130148
2021-07-07,15.2706,15.2884,14.6662,14.8440,111952
2021-07-08,14.4440,14.8440,14.3106,14.7640,115959
2021-07-09,14.7551,15.5195,14.7106,15.1906,160804
2021-07-12,15.4662,15.9284,15.4217,15.9106,227556
2021-07-13,15.8128,15.8128,15.4039,15.4039,161353
2021-07-14,15.3328,15.8661,15.3328,15.7062,126084
2021-07-15,15.5550,16.0350,15.5550,15.6884,95933
2021-07-16,15.5728,15.7684,15.5106,15.6084,137378
2021-07-19,15.5106,15.8661,15.3239,15.3239,72464
2021-07-20,15.3062,15.5106,15.2084,15.3417,84363
2021-07-21,15.3328,15.7506,15.2084,15.5906,121190
2021-07-22,15.7328,15.7328,15.5550,15.6884,111326
2021-07-23,15.7328,15.7595,15.6084,15.6706,43202
2021-07-26,15.6706,15.8661,15.5995,15.7773,36345
2021-07-27,15.7506,15.7506,15.5017,15.5817,50447
2021-07-28,15.6439,16.1328,15.5462,16.1328,76750
2021-07-29,16.0617,16.5683,16.0617,16.5506,96000
2021-07-30,16.5328,16.7283,16.3593,16.7283,60831
2021-08-02,16.6750,16.8794,16.4972,16.7994,109752
2021-08-03,16.7106,16.7106,16.2306,16.4350,62238
2021-08-04,16.4083,16.5861,16.1854,16.5861,31834
2021-08-05,16.4795,16.7461,16.2928,16.7106,53503
2021-08-06,16.7106,16.8883,16.5950,16.6306,97138
2021-08-09,16.7283,16.8083,16.4554,16.5950,86061
2021-08-10,16.7550,16.8439,16.4215,16.5150,45414
2021-08-11,16.4439,16.6661,16.4439,16.6306,28132
2021-08-12,16.6128,16.7550,16.1861,16.7106,54322
2021-08-13,16.7106,16.7106,16.2217,16.3195,37225
2021-08-16,16.2661,16.2661,15.9461,16.2039,41009
2021-08-17,16.1328,16.3639,15.6617,16.2928,35834
2021-08-18,16.2217,16.6483,16.1743,16.3550,41611
2021-08-19,16.2217,16.6350,16.2217,16.4883,39535
2021-08-20,16.5332,16.6316,16.3274,16.4706,22359
