"MacroTrends Data Download"
"BRT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1973-05-03,4.1021,4.3066,4.0375,4.0375,400
1973-05-04,4.0375,4.2366,3.9675,3.9675,300
1973-05-07,3.9675,4.1720,3.9029,3.9029,300
1973-05-08,3.9029,4.1720,3.9029,3.9029,600
1973-05-09,3.9029,4.1720,3.9029,3.9029,0
1973-05-10,3.9029,4.1720,3.9029,3.9029,100
1973-05-11,3.9029,4.1720,3.9029,3.9029,0
1973-05-14,3.9029,4.1720,3.9029,3.9029,0
1973-05-15,3.9029,4.1720,3.9029,3.9029,300
1973-05-16,3.9029,4.1720,3.9029,3.9029,100
1973-05-17,3.9029,4.1720,3.9029,3.9029,100
1973-05-18,3.9029,4.1720,3.9029,3.9029,400
1973-05-21,3.9029,4.1720,3.7683,3.7683,200
1973-05-22,3.7683,4.3066,3.7683,3.7683,300
1973-05-23,3.7683,3.7683,3.4991,3.5637,1000
1973-05-24,3.5637,3.5637,3.4991,3.5637,200
1973-05-25,3.5637,3.6337,3.5637,3.5637,600
1973-05-29,3.5637,3.7683,3.5637,3.7683,500
1973-05-30,3.7683,3.7683,3.6983,3.7683,100
1973-05-31,3.7683,3.7683,3.7683,3.7683,200
1973-06-01,3.7683,3.7683,3.7683,3.7683,200
1973-06-04,3.6983,3.6983,3.3646,3.3646,900
1973-06-05,3.2946,3.2946,3.2300,3.2946,600
1973-06-06,3.4292,3.4292,3.4292,3.4292,200
