"MacroTrends Data Download"
"BXP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1997-06-18,8.3415,8.5809,8.3415,8.5394,7918300
1997-06-19,8.5809,8.6192,8.4596,8.5011,1472400
1997-06-20,8.3798,8.5394,8.3798,8.4213,1030200
1997-06-23,8.4213,8.4213,8.3415,8.3415,628900
1997-06-24,8.3607,8.3798,8.3192,8.3192,541800
1997-06-25,8.3990,8.4788,8.3798,8.4405,570500
1997-06-26,8.5394,8.6192,8.4788,8.6192,488700
1997-06-27,8.6192,8.6607,8.5394,8.5809,586400
1997-06-30,8.5394,8.7789,8.3798,8.6990,629800
1997-07-01,8.6607,8.6607,8.5011,8.5011,269700
1997-07-02,8.4213,8.5011,8.4213,8.4213,350800
1997-07-03,8.4405,8.5394,8.4405,8.5011,173000
1997-07-07,8.5809,8.6001,8.4596,8.5394,449500
1997-07-08,8.5203,8.5809,8.5011,8.5203,239400
1997-07-09,8.5011,8.5203,8.4596,8.4596,226000
1997-07-10,8.4405,8.4596,8.4405,8.4405,425100
1997-07-11,8.4405,8.4596,8.4213,8.4596,326300
1997-07-14,8.5203,8.6799,8.5011,8.6001,311000
1997-07-15,8.5394,8.6001,8.4788,8.5203,534400
1997-07-16,8.5203,8.5809,8.5011,8.5809,443700
1997-07-17,8.6192,8.6384,8.6001,8.6384,443800
1997-07-18,8.6192,8.6384,8.4213,8.5011,359600
1997-07-21,8.4213,8.5011,8.3798,8.5011,422700
