"MacroTrends Data Download"
"CBL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1993-10-28,1.2839,1.2918,1.2839,1.2918,6017400
1993-10-29,1.2918,1.3169,1.2918,1.3090,1347400
1993-11-01,1.3090,1.3090,1.3004,1.3004,1285600
1993-11-02,1.2918,1.3004,1.2839,1.2839,634000
1993-11-03,1.2839,1.3004,1.2839,1.2839,932200
1993-11-04,1.2839,1.2918,1.2839,1.2839,1488400
1993-11-05,1.2839,1.2918,1.2839,1.2839,333000
1993-11-08,1.2839,1.2918,1.2839,1.2839,360200
1993-11-09,1.2918,1.2918,1.2839,1.2839,443800
1993-11-10,1.2839,1.2839,1.2760,1.2760,467400
1993-11-11,1.2760,1.2760,1.2760,1.2760,231000
1993-11-12,1.2760,1.2760,1.2510,1.2510,484800
1993-11-15,1.2589,1.2675,1.2510,1.2675,575600
1993-11-16,1.2589,1.2589,1.2510,1.2510,201400
1993-11-17,1.2510,1.2510,1.2345,1.2345,371400
1993-11-18,1.2431,1.2431,1.2345,1.2345,249400
1993-11-19,1.2431,1.2431,1.2102,1.2102,397800
1993-11-22,1.2181,1.2181,1.1773,1.1773,355000
1993-11-23,1.1852,1.2016,1.1852,1.1931,233600
1993-11-24,1.2102,1.2260,1.2102,1.2181,82400
1993-11-26,1.2181,1.2181,1.2181,1.2181,7400
1993-11-29,1.2181,1.2181,1.1852,1.1931,82200
1993-11-30,1.2102,1.2102,1.1931,1.1931,53200
1993-12-01,1.1931,1.2260,1.1931,1.2016,163000
1993-12-02,1.2016,1.2260,1.2016,1.2102,183400
1993-12-03,1.2016,1.2102,1.1931,1.2016,84800
1993-12-06,1.2102,1.2260,1.2102,1.2181,284600
1993-12-07,1.2260,1.2260,1.2102,1.2181,71200
1993-12-08,1.2181,1.2181,1.1931,1.1931,66600
1993-12-09,1.1931,1.1931,1.1852,1.1931,60000
1993-12-10,1.1931,1.2016,1.1931,1.1931,47200
1993-12-13,1.2102,1.2345,1.2102,1.2345,64200
1993-12-14,1.2345,1.2345,1.2016,1.2181,66200
1993-12-15,1.2260,1.2260,1.2181,1.2260,32600
1993-12-16,1.2260,1.2260,1.2016,1.2102,33200
1993-12-17,1.2181,1.2181,1.2016,1.2102,51400
1993-12-20,1.2102,1.2181,1.2016,1.2102,127200
1993-12-21,1.2102,1.2181,1.2016,1.2102,133600
1993-12-22,1.2263,1.2263,1.2010,1.2010,79000
1993-12-23,1.2090,1.2090,1.1930,1.1930,64200
1993-12-27,1.2010,1.2010,1.1930,1.1930,73400
1993-12-28,1.2010,1.2010,1.1930,1.1930,72400
1993-12-29,1.2010,1.2090,1.1930,1.2010,80600
1993-12-30,1.1930,1.2090,1.1930,1.2010,75200
1993-12-31,1.2010,1.2090,1.1843,1.2090,113400
1994-01-03,1.2090,1.2090,1.2010,1.2010,49600
1994-01-04,1.2090,1.2176,1.2090,1.2176,17000
1994-01-05,1.2176,1.2343,1.2090,1.2343,132000
1994-01-06,1.2343,1.2597,1.2343,1.2597,102800
1994-01-07,1.2510,1.2597,1.2010,1.2176,93400
1994-01-10,1.2343,1.2343,1.2010,1.2090,127800
1994-01-11,1.2090,1.2176,1.1756,1.1843,149200
1994-01-12,1.1930,1.1930,1.1843,1.1843,164200
1994-01-13,1.1930,1.1930,1.1843,1.1843,78600
1994-01-14,1.1930,1.2010,1.1756,1.1756,76000
1994-01-17,1.1843,1.1930,1.1756,1.1843,106600
1994-01-18,1.1930,1.2176,1.1930,1.2176,33400
1994-01-19,1.2176,1.2263,1.2010,1.2263,23800
1994-01-20,1.2090,1.2176,1.2090,1.2176,30600
1994-01-21,1.2176,1.2263,1.2090,1.2176,28000
1994-01-24,1.2090,1.2677,1.2090,1.2677,128800
1994-01-25,1.2677,1.2677,1.2423,1.2423,32400
1994-01-26,1.2423,1.2597,1.2423,1.2597,101800
1994-01-27,1.2510,1.2510,1.2423,1.2423,53200
1994-01-28,1.2510,1.2510,1.2090,1.2176,70800
1994-01-31,1.2090,1.2844,1.2090,1.2844,223800
1994-02-01,1.2677,1.2757,1.2677,1.2677,58000
1994-02-02,1.2844,1.2930,1.2757,1.2930,297600
1994-02-03,1.2930,1.3010,1.2930,1.2930,185600
1994-02-04,1.3010,1.3010,1.2844,1.2930,148000
1994-02-07,1.2757,1.2844,1.2597,1.2844,54400
1994-02-08,1.2844,1.2844,1.2597,1.2677,38800
1994-02-09,1.2677,1.2757,1.2510,1.2677,35000
1994-02-10,1.2677,1.2844,1.2677,1.2757,95800
1994-02-11,1.2677,1.2757,1.2597,1.2677,28600
1994-02-14,1.2757,1.2844,1.2597,1.2757,165600
1994-02-15,1.2677,1.2757,1.2677,1.2757,950800
1994-02-16,1.2757,1.3010,1.2757,1.3010,283600
1994-02-17,1.3010,1.3344,1.2930,1.3264,715200
1994-02-18,1.3177,1.3264,1.3010,1.3010,111400
1994-02-22,1.3010,1.3344,1.3010,1.3091,181600
1994-02-23,1.3091,1.3177,1.3091,1.3177,12800
1994-02-24,1.3264,1.3264,1.3091,1.3177,55600
1994-02-25,1.3091,1.3264,1.3091,1.3177,34800
1994-02-28,1.3177,1.3177,1.3010,1.3177,246000
1994-03-01,1.3177,1.3177,1.3010,1.3177,184000
1994-03-02,1.3091,1.3091,1.2930,1.2930,11800
1994-03-03,1.2844,1.3010,1.2757,1.3010,70800
1994-03-04,1.3010,1.3091,1.3010,1.3010,104200
1994-03-07,1.3010,1.3010,1.2844,1.3010,21600
1994-03-08,1.3010,1.3010,1.2930,1.2930,15200
1994-03-09,1.3010,1.3010,1.2844,1.2930,26600
1994-03-10,1.3010,1.3010,1.2930,1.3010,10800
1994-03-11,1.3010,1.3010,1.2844,1.2844,8600
1994-03-14,1.2930,1.2930,1.2844,1.2930,29200
1994-03-15,1.2930,1.2930,1.2844,1.2930,15400
1994-03-16,1.3010,1.3010,1.2930,1.2930,34000
1994-03-17,1.3010,1.3091,1.2930,1.3091,70600
1994-03-18,1.2930,1.3010,1.2930,1.3010,21600
1994-03-21,1.3010,1.3010,1.2930,1.2930,23800
1994-03-22,1.3010,1.3010,1.2844,1.2844,16800
1994-03-23,1.2844,1.3010,1.2844,1.3010,95200
1994-03-24,1.2930,1.3010,1.2757,1.2930,31000
1994-03-25,1.2844,1.2930,1.2757,1.2930,9200
1994-03-28,1.2844,1.3010,1.2757,1.3010,183800
1994-03-29,1.3010,1.3010,1.3010,1.3010,36600
1994-03-30,1.3010,1.3091,1.2930,1.3010,93800
1994-03-31,1.3091,1.3091,1.2930,1.3010,91000
1994-04-04,1.2844,1.2844,1.2757,1.2757,30200
1994-04-05,1.2757,1.2930,1.2757,1.2757,28600
1994-04-06,1.2757,1.2930,1.2677,1.2844,122400
1994-04-07,1.2757,1.2930,1.2757,1.2844,35200
1994-04-08,1.2844,1.2844,1.2757,1.2757,48000
1994-04-11,1.2757,1.2844,1.2677,1.2677,19600
1994-04-12,1.2757,1.2757,1.2510,1.2510,18600
1994-04-13,1.2597,1.2677,1.2510,1.2677,73600
1994-04-14,1.2597,1.2844,1.2423,1.2844,49800
1994-04-15,1.2677,1.2930,1.2677,1.2844,86000
1994-04-18,1.2930,1.2930,1.2844,1.2930,61000
1994-04-19,1.2930,1.2930,1.2597,1.2757,39800
1994-04-20,1.2757,1.2757,1.2510,1.2510,28200
1994-04-21,1.2510,1.2677,1.2510,1.2510,21200
1994-04-22,1.2597,1.2597,1.2343,1.2423,8800
1994-04-25,1.2423,1.2510,1.2423,1.2510,17600
1994-04-26,1.2423,1.2757,1.2423,1.2677,69400
1994-04-28,1.2844,1.2930,1.2677,1.2930,28600
1994-04-29,1.2930,1.3010,1.2930,1.2930,8400
1994-05-02,1.2844,1.3010,1.2844,1.2930,49400
1994-05-03,1.3091,1.3091,1.3010,1.3091,23400
1994-05-04,1.3186,1.3267,1.3097,1.3097,26200
1994-05-05,1.2927,1.3097,1.2757,1.3097,9800
1994-05-06,1.3186,1.3186,1.3009,1.3097,59600
1994-05-09,1.3009,1.3097,1.2927,1.3097,10200
1994-05-10,1.3186,1.3437,1.3186,1.3267,69600
1994-05-11,1.3437,1.3437,1.3097,1.3186,25400
1994-05-12,1.3097,1.3267,1.3097,1.3097,5800
1994-05-13,1.3186,1.3186,1.3186,1.3186,3400
1994-05-16,1.3186,1.3186,1.2927,1.3009,23600
1994-05-17,1.2927,1.3009,1.2927,1.2927,13200
1994-05-18,1.2927,1.3186,1.2927,1.3186,15800
1994-05-19,1.3186,1.3186,1.2927,1.2927,29200
1994-05-20,1.2927,1.3186,1.2927,1.2927,26600
1994-05-23,1.2927,1.3186,1.2927,1.2927,21800
1994-05-24,1.3097,1.3097,1.3009,1.3097,7600
1994-05-25,1.2927,1.3009,1.2845,1.2845,114000
1994-05-26,1.2757,1.2927,1.2757,1.2927,67400
1994-05-27,1.2845,1.3009,1.2845,1.3009,14600
1994-05-31,1.2845,1.3097,1.2845,1.3097,43800
1994-06-01,1.3097,1.3608,1.3097,1.3608,212200
1994-06-02,1.3608,1.3689,1.3608,1.3608,316400
1994-06-03,1.3608,1.3689,1.3526,1.3608,65000
1994-06-06,1.3526,1.3948,1.3526,1.3866,126600
1994-06-07,1.3778,1.3778,1.3689,1.3689,39000
1994-06-08,1.3608,1.3689,1.3349,1.3437,120000
1994-06-09,1.3526,1.3778,1.3437,1.3778,47000
1994-06-10,1.3689,1.3866,1.3608,1.3689,61600
1994-06-13,1.3608,1.3866,1.3608,1.3689,50000
1994-06-14,1.3689,1.3948,1.3689,1.3948,49000
1994-06-15,1.3866,1.4029,1.3778,1.4029,58800
1994-06-16,1.4029,1.4206,1.4029,1.4206,131800
1994-06-17,1.4288,1.4288,1.4029,1.4118,42000
1994-06-20,1.4029,1.4029,1.3608,1.3689,212600
1994-06-21,1.3608,1.3866,1.3608,1.3778,85000
1994-06-22,1.3778,1.4029,1.3778,1.3948,78600
1994-06-23,1.4118,1.4206,1.4029,1.4206,141800
1994-06-24,1.4118,1.4118,1.3948,1.4029,56200
1994-06-27,1.4029,1.4029,1.3866,1.3866,52400
1994-06-28,1.3866,1.4029,1.3866,1.3948,125200
1994-06-29,1.4029,1.4029,1.3866,1.3866,63200
1994-06-30,1.3866,1.4118,1.3866,1.4118,96200
1994-07-01,1.4206,1.4206,1.4118,1.4206,39400
1994-07-05,1.4206,1.4206,1.3778,1.3778,44000
1994-07-06,1.3778,1.4206,1.3778,1.4206,29800
1994-07-07,1.4118,1.4118,1.3778,1.4118,440600
1994-07-08,1.4118,1.4206,1.4118,1.4206,44600
1994-07-11,1.4118,1.4118,1.3866,1.4118,54400
1994-07-12,1.4029,1.4118,1.3866,1.4118,126200
1994-07-13,1.4206,1.4206,1.3948,1.4118,31600
1994-07-14,1.4029,1.4118,1.3948,1.4118,26600
1994-07-15,1.4118,1.4118,1.3778,1.4118,40800
1994-07-18,1.4118,1.4118,1.4029,1.4118,38200
1994-07-19,1.4029,1.4118,1.4029,1.4029,25200
1994-07-20,1.4118,1.4206,1.4029,1.4206,52600
1994-07-21,1.4288,1.4288,1.4029,1.4206,78800
1994-07-22,1.4206,1.4206,1.4029,1.4118,13400
1994-07-25,1.4118,1.4118,1.4029,1.4029,15600
1994-07-26,1.4118,1.4118,1.3608,1.3778,268200
1994-07-27,1.3778,1.3778,1.3689,1.3778,8400
1994-07-28,1.3778,1.3778,1.3608,1.3778,26000
1994-07-29,1.3778,1.3778,1.3608,1.3689,13400
1994-08-01,1.3689,1.3778,1.3689,1.3689,23400
1994-08-02,1.3689,1.3778,1.3689,1.3778,88600
1994-08-03,1.3866,1.3866,1.3689,1.3866,66200
1994-08-04,1.3946,1.4126,1.3946,1.4036,36800
1994-08-05,1.4036,1.4126,1.3863,1.3863,18600
1994-08-08,1.3863,1.3946,1.3863,1.3946,93000
1994-08-09,1.3946,1.3946,1.3863,1.3863,61000
1994-08-10,1.3863,1.4126,1.3863,1.4126,27200
1994-08-11,1.4036,1.4036,1.3863,1.3946,18400
1994-08-12,1.3863,1.3863,1.3780,1.3863,13200
1994-08-15,1.3946,1.4209,1.3946,1.4209,36000
1994-08-16,1.4209,1.4209,1.4036,1.4126,16800
1994-08-17,1.4126,1.4126,1.3690,1.4036,23400
1994-08-18,1.3946,1.4126,1.3516,1.3516,25200
1994-08-19,1.3516,1.3690,1.3516,1.3690,83600
1994-08-22,1.3690,1.3780,1.3690,1.3690,7800
1994-08-23,1.3690,1.4126,1.3690,1.4036,25600
1994-08-24,1.3946,1.3946,1.3343,1.3516,99800
1994-08-25,1.3516,1.3780,1.3516,1.3780,35800
1994-08-26,1.3780,1.3780,1.3599,1.3599,21200
1994-08-29,1.3599,1.3690,1.3599,1.3599,29800
1994-08-30,1.3690,1.3780,1.3690,1.3690,26000
1994-08-31,1.3690,1.3863,1.3516,1.3516,19800
1994-09-01,1.3516,1.3863,1.3516,1.3780,13800
1994-09-02,1.3780,1.3863,1.3690,1.3690,8000
1994-09-06,1.3780,1.3780,1.3690,1.3690,14400
1994-09-07,1.3690,1.3863,1.3690,1.3780,244800
1994-09-08,1.3863,1.3863,1.3780,1.3863,6200
1994-09-09,1.3863,1.3863,1.3690,1.3690,44400
1994-09-12,1.3690,1.3690,1.3516,1.3599,13200
1994-09-13,1.3780,1.3863,1.3690,1.3780,10000
1994-09-14,1.3690,1.3863,1.3690,1.3690,11800
1994-09-15,1.3780,1.3946,1.3780,1.3946,9400
1994-09-16,1.4036,1.4036,1.3863,1.3946,20200
1994-09-19,1.3946,1.3946,1.3780,1.3780,33000
1994-09-20,1.3780,1.3780,1.3690,1.3690,10800
1994-09-21,1.3780,1.3780,1.3516,1.3516,11000
1994-09-22,1.3516,1.3690,1.3253,1.3343,10200
1994-09-23,1.3343,1.3516,1.3343,1.3433,8000
1994-09-26,1.3433,1.3516,1.3343,1.3516,21400
1994-09-27,1.3599,1.3863,1.3599,1.3863,30000
1994-09-28,1.3780,1.4209,1.3780,1.4126,21000
1994-09-29,1.4126,1.4126,1.3863,1.3863,64200
1994-09-30,1.3863,1.3863,1.3433,1.3433,90200
1994-10-03,1.3433,1.3516,1.3253,1.3516,173800
1994-10-04,1.3516,1.3516,1.3343,1.3343,215400
1994-10-05,1.3343,1.3343,1.3087,1.3087,12800
1994-10-06,1.3087,1.3087,1.2740,1.2823,228600
1994-10-07,1.2823,1.2906,1.2650,1.2740,22600
1994-10-10,1.2740,1.2740,1.2560,1.2650,40000
1994-10-11,1.2650,1.2996,1.2650,1.2906,97000
1994-10-12,1.2906,1.2996,1.2823,1.2996,38600
1994-10-13,1.2996,1.2996,1.2906,1.2996,13000
1994-10-14,1.2906,1.3343,1.2906,1.3253,54800
