"MacroTrends Data Download"
"CLDT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2010-04-16,11.7944,12.0215,11.7303,11.9400,2368400
2010-04-19,12.0565,12.0565,11.7362,11.7653,247600
2010-04-20,11.7653,11.8468,11.6488,11.6488,108600
2010-04-21,11.6488,11.6721,11.3576,11.5556,233800
2010-04-22,11.5323,11.6663,11.3517,11.6371,55800
2010-04-23,11.8293,11.8293,11.4915,11.4915,56100
2010-04-26,11.4333,11.6837,11.4158,11.6430,90200
2010-04-27,11.6534,11.8060,11.5498,11.6138,46700
2010-04-28,11.7944,11.7944,11.6197,11.6197,3600
2010-04-29,11.6779,11.7362,11.5381,11.6546,7600
2010-04-30,11.6430,11.6488,11.3343,11.5614,55900
2010-05-03,11.5498,11.6138,11.4216,11.4741,27300
2010-05-04,11.4449,11.6488,11.4449,11.5847,57200
2010-05-05,11.5439,11.6896,11.4391,11.6371,46500
2010-05-06,11.6896,11.6896,11.3343,11.4449,5900
2010-05-07,11.3168,11.5032,11.3168,11.4624,42300
2010-05-10,11.6488,11.9866,11.6255,11.6488,15900
2010-05-11,11.5439,11.7653,11.4799,11.5614,9200
2010-05-12,11.5032,11.8585,11.2353,11.6488,19200
2010-05-13,11.7070,11.7594,11.6488,11.6837,8300
2010-05-14,11.6197,11.7594,11.5905,11.5905,5500
2010-05-17,11.6488,11.6663,11.2410,11.3226,23400
2010-05-18,11.4158,11.4158,10.7169,11.0256,113100
2010-05-19,11.0955,11.2935,10.9848,10.9848,13800
2010-05-20,10.8334,10.9033,10.5014,10.5946,4600
2010-05-21,10.5829,10.6848,10.2276,10.2801,66500
2010-05-24,10.3383,10.6528,10.3383,10.3907,10600
2010-05-25,10.1810,10.4198,10.1752,10.2568,41700
2010-05-26,10.4781,10.5946,10.1927,10.5247,65200
2010-05-27,10.5130,10.5305,10.2568,10.4606,6800
2010-05-28,10.4839,10.4839,10.4373,10.4839,5200
2010-06-01,10.3965,10.5305,10.2509,10.4548,9000
2010-06-02,10.4257,10.5305,10.4257,10.5305,1000
2010-06-03,10.4373,10.5727,10.4373,10.5130,6600
2010-06-04,10.4839,10.5189,10.4431,10.4548,6600
2010-06-07,10.4839,10.5480,10.4664,10.5130,5000
2010-06-08,10.3965,10.5130,10.2917,10.3441,7400
2010-06-09,10.2509,10.4839,10.2509,10.3208,5400
2010-06-10,10.2568,10.5124,10.2568,10.2801,5200
2010-06-11,10.3383,10.4024,10.2218,10.2859,6400
2010-06-14,10.3383,10.5130,10.3092,10.4839,15600
2010-06-15,10.4373,10.5363,10.4024,10.4956,9200
2010-06-16,10.5480,10.6004,10.4373,10.4606,5600
2010-06-17,10.4257,10.5189,10.3558,10.4606,5000
2010-06-18,10.5130,10.5654,10.1636,10.2393,101900
2010-06-21,10.3791,10.5713,10.3791,10.4490,66700
2010-06-22,10.4490,10.6412,10.4024,10.6120,14600
2010-06-23,10.6004,10.6004,10.3965,10.5014,22200
