"MacroTrends Data Download"
"CSGP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1998-07-01,0.9000,0.9500,0.9000,0.9190,7524000
1998-07-02,0.9310,0.9750,0.9190,0.9750,369000
1998-07-06,0.9750,1.0630,0.9750,1.0060,1881000
1998-07-07,1.0380,1.0500,1.0250,1.0250,201000
1998-07-08,1.0130,1.0500,1.0000,1.0130,864000
1998-07-09,1.0250,1.0500,1.0130,1.0500,158000
1998-07-10,1.0690,1.0690,0.9750,0.9750,962000
1998-07-13,1.0250,1.0250,0.9880,1.0000,935000
1998-07-14,0.9880,1.0000,0.9630,0.9750,605000
1998-07-15,0.9630,0.9880,0.9500,0.9750,619000
1998-07-16,0.9630,0.9750,0.9630,0.9630,137000
1998-07-17,0.9750,0.9750,0.9750,0.9750,42000
1998-07-20,0.9880,1.0190,0.9880,1.0130,388000
1998-07-21,1.0130,1.0250,1.0000,1.0000,304000
1998-07-22,0.9630,1.0250,0.9630,1.0190,223000
1998-07-23,1.0060,1.0630,1.0000,1.0130,475000
1998-07-24,1.0380,1.0380,1.0000,1.0250,227000
1998-07-27,1.0250,1.0250,0.9630,0.9750,93000
1998-07-28,1.0130,1.0130,0.9380,0.9500,259000
1998-07-29,0.9880,0.9880,0.9500,0.9750,1119000
1998-07-30,0.9880,1.0880,0.9880,1.0880,273000
1998-07-31,1.0880,1.0880,1.0750,1.0750,46000
1998-08-03,1.0500,1.0500,1.0380,1.0380,62000
1998-08-04,1.0250,1.0250,0.9880,0.9880,257000
1998-08-05,1.0000,1.0000,0.9750,0.9750,187000
1998-08-06,0.9750,1.0130,0.9500,0.9500,1599000
1998-08-07,0.9630,0.9630,0.9500,0.9630,972000
1998-08-10,0.9750,0.9750,0.9630,0.9630,818000
1998-08-11,0.9440,0.9440,0.9000,0.9000,447000
1998-08-12,0.9000,0.9190,0.9000,0.9190,110000
1998-08-13,0.9190,0.9190,0.9000,0.9000,61000
1998-08-14,0.9190,0.9190,0.9000,0.9000,225000
1998-08-17,0.8880,0.9000,0.8750,0.9000,345000
1998-08-18,0.8750,0.8880,0.8630,0.8630,207000
1998-08-19,0.8630,0.8750,0.8630,0.8750,35000
1998-08-20,0.8630,0.8630,0.8380,0.8380,127000
1998-08-21,0.8380,0.8380,0.8000,0.8000,295000
1998-08-24,0.8000,0.8130,0.8000,0.8130,22000
