"MacroTrends Data Download"
"DBRG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2014-06-27,45.6256,50.1239,45.6256,48.3246,2557025
2014-06-30,48.4788,48.4788,45.3172,45.4971,1306000
2014-07-01,46.2682,49.3528,46.0112,49.3528,2098750
2014-07-02,49.3528,49.6355,47.3221,47.3221,3022125
2014-07-03,47.8619,49.1472,47.4249,48.9415,540150
2014-07-07,49.2243,49.2243,47.5535,48.5817,678075
2014-07-08,48.5817,51.4092,46.5510,50.0211,2916350
2014-07-09,49.3528,51.4092,48.7102,50.8951,910100
2014-07-10,50.3296,51.5634,49.3528,51.4092,1439375
2014-07-11,51.0493,51.4349,50.2782,51.2806,896350
2014-07-14,51.8204,51.8204,49.3014,51.2549,1054325
2014-07-15,50.6123,50.9465,48.7102,49.4813,1124375
2014-07-16,49.0957,49.3528,47.8619,48.3760,899900
2014-07-17,48.0676,49.1729,47.7591,48.6331,533425
2014-07-18,48.9929,49.6612,48.4274,49.6612,349025
2014-07-21,49.3271,49.5584,48.1704,48.7359,152875
2014-07-22,48.4017,49.1986,48.3246,48.5560,330800
2014-07-23,48.8387,48.8387,48.2218,48.6331,164025
2014-07-24,48.3246,48.9415,48.0419,48.5045,161125
2014-07-25,48.4017,48.8387,47.3992,48.5302,192050
2014-07-28,47.9647,48.5302,47.9647,48.2218,254900
2014-07-29,48.0419,48.5302,47.9905,48.1961,161975
2014-07-30,48.1961,48.4274,47.3221,47.3992,280925
2014-07-31,46.9109,47.0394,45.9341,46.0369,511500
2014-08-01,45.8827,47.1165,45.6513,45.7027,387225
2014-08-04,46.0112,46.1911,45.2915,45.5485,340275
2014-08-05,48.4788,48.7102,46.3454,46.4225,2306325
2014-08-06,46.2425,46.4996,45.6256,46.0626,606725
2014-08-07,46.2168,47.6563,46.0883,46.7823,524225
2014-08-08,46.6024,47.1679,46.5253,47.1165,493725
2014-08-11,47.1165,48.4531,46.8594,48.3503,554000
2014-08-12,48.3503,48.6588,47.3478,47.4507,197800
2014-08-13,47.1936,47.6049,46.6795,47.2193,328550
2014-08-14,46.9880,47.3735,46.8594,47.3478,125275
2014-08-15,46.6024,47.7077,46.6024,47.4249,189350
2014-08-18,47.4764,48.0419,47.3735,47.6563,177550
2014-08-19,47.4507,47.7077,47.0651,47.1936,300125
2014-08-20,46.9109,47.4507,46.5253,47.3478,307150
2014-08-21,47.6820,48.1961,47.3478,48.0933,377275
2014-08-22,48.0676,48.1704,47.4764,47.8105,224800
2014-08-25,47.8105,48.1704,47.5792,48.0676,120000
2014-08-26,48.1961,48.4788,47.8105,48.3760,237425
2014-08-27,48.2732,48.3503,47.5535,48.1190,270350
2014-08-28,48.1190,48.1961,47.5792,47.6820,217150
2014-08-29,47.5792,48.0419,47.4249,47.5278,247125
2014-09-02,47.7591,48.3246,47.4507,48.1961,324775
2014-09-03,47.8876,48.7873,47.8362,48.1190,372125
2014-09-04,49.4813,49.7127,48.7616,49.0700,631750
2014-09-05,48.8901,50.8180,48.8387,50.6637,473050
2014-09-08,50.3039,50.5866,49.6612,49.9183,197225
2014-09-09,49.6355,50.8437,49.5070,50.5352,467075
2014-09-10,50.7922,50.9979,49.7384,49.8926,230300
2014-09-11,49.4813,49.9697,49.3271,49.9183,388650
