"MacroTrends Data Download"
"DLR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2004-10-29,5.7836,5.7884,5.7836,5.7836,5951800
2004-11-01,5.7836,5.7884,5.7836,5.7836,764400
2004-11-02,5.7836,5.7884,5.7836,5.7836,950100
2004-11-03,5.7933,5.8800,5.7884,5.8559,433600
2004-11-04,5.8704,5.8704,5.8077,5.8125,311200
2004-11-05,5.8077,5.8318,5.7836,5.8222,391800
2004-11-08,5.8463,5.8463,5.7836,5.7884,91100
2004-11-09,5.7836,5.8125,5.7836,5.7884,97600
2004-11-10,5.7836,5.8029,5.7836,5.7884,177500
2004-11-11,5.7836,5.7933,5.7836,5.7933,92700
2004-11-12,5.7884,5.9668,5.7884,5.9234,354900
2004-11-15,5.9378,6.0005,5.8800,5.9716,268100
2004-11-16,6.0198,6.0969,5.9330,6.0246,252500
2004-11-17,6.0487,6.0728,5.9523,6.0294,425000
2004-11-18,6.0246,6.1403,6.0246,6.1306,179700
2004-11-19,6.1306,6.1403,6.0246,6.1258,202600
2004-11-22,6.0776,6.1354,6.0294,6.0873,105200
2004-11-23,6.0487,6.2415,6.0342,6.1692,204200
2004-11-24,6.1451,6.2415,6.1210,6.1644,141700
2004-11-26,5.9764,6.1595,5.9764,6.0969,42900
2004-11-29,6.0969,6.1451,6.0487,6.1113,174200
2004-11-30,6.1017,6.1933,6.0969,6.1499,148800
2004-12-01,6.1017,6.3475,6.1017,6.3379,162500
2004-12-02,6.2897,6.2993,6.1595,6.2415,212800
2004-12-03,6.2174,6.3620,6.2174,6.3379,138300
2004-12-06,6.3427,6.3572,6.2897,6.3234,126600
2004-12-07,6.2945,6.3620,6.2656,6.2656,116200
2004-12-08,6.1692,6.2656,6.1210,6.1981,112300
2004-12-09,6.1981,6.2415,6.0246,6.1933,139200
2004-12-10,6.1451,6.2897,6.0487,6.2511,186000
2004-12-13,6.2029,6.2849,6.1210,6.2222,215700
2004-12-14,6.1740,6.3138,6.1644,6.2174,169400
2004-12-15,6.2656,6.3331,6.2126,6.2897,200300
2004-12-16,6.2800,6.3090,6.2318,6.2897,230000
2004-12-17,6.2897,6.5307,6.2367,6.4584,887700
2004-12-20,6.5066,6.5066,6.2656,6.4294,222800
2004-12-21,6.4584,6.5066,6.4053,6.4825,82700
2004-12-22,6.4584,6.6030,6.3668,6.6030,194000
2004-12-23,6.6030,6.7957,6.5789,6.7186,107900
2004-12-27,6.7475,6.7668,6.5162,6.5548,112500
2004-12-28,6.5933,6.6367,6.4921,6.5210,111100
2004-12-29,6.3167,6.5703,6.3167,6.4776,109400
2004-12-30,6.5020,6.6191,6.4386,6.4874,48900
2004-12-31,6.4825,6.6776,6.4825,6.5703,55500
2005-01-03,6.6045,6.6337,6.5313,6.6289,189100
2005-01-04,6.6386,6.7167,6.6093,6.6581,154400
2005-01-05,6.6337,6.6630,6.0972,6.4386,302600
2005-01-06,6.3898,6.6581,6.3411,6.5313,93300
2005-01-07,6.5459,6.5459,6.3801,6.4679,124300
2005-01-10,6.4386,6.7020,6.3898,6.4874,79800
2005-01-11,6.4874,6.5996,6.3655,6.4679,136400
2005-01-12,6.4728,6.5362,6.4386,6.4874,111600
2005-01-13,6.4874,6.6337,6.4776,6.5215,77500
2005-01-14,6.5264,6.7167,6.5264,6.6289,28100
2005-01-18,6.5801,6.7313,6.4533,6.6825,185900
2005-01-19,6.6825,6.7654,6.5850,6.6581,233600
2005-01-20,6.6337,6.6581,6.5362,6.6142,42100
2005-01-21,6.6337,6.6532,6.5654,6.6337,51400
2005-01-24,6.6825,6.7069,6.5606,6.5947,48000
2005-01-25,6.5850,6.6630,6.5850,6.5850,61100
2005-01-26,6.6093,6.7508,6.6093,6.6874,105300
2005-01-27,6.6484,6.7313,6.6191,6.6825,106000
2005-01-28,6.6825,6.7459,6.6581,6.7313,48100
2005-01-31,6.7557,6.8288,6.7264,6.7313,64800
2005-02-01,6.7069,6.7459,6.6337,6.7313,102900
2005-02-02,6.7557,6.8435,6.7508,6.8045,118100
2005-02-03,6.8142,6.8532,6.7557,6.8191,51200
2005-02-04,6.8191,6.8532,6.7947,6.8093,122900
2005-02-07,6.7801,6.9020,6.7801,6.8532,48300
2005-02-08,6.8045,6.8727,6.7947,6.8288,251800
