"MacroTrends Data Download"
"EXR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2004-08-16,5.8788,5.8929,5.8788,5.8788,188800
2004-08-17,5.8788,5.8976,5.8788,5.8835,153600
2004-08-18,5.8788,5.9493,5.8788,5.8835,149800
2004-08-19,5.8788,5.9023,5.8788,5.8929,126900
2004-08-20,5.8929,5.9211,5.8788,5.9023,144900
2004-08-23,5.9023,5.9211,5.8788,5.9023,64400
2004-08-24,5.9023,6.1092,5.9023,6.1045,382900
2004-08-25,5.9964,6.1563,5.9964,6.1139,500200
2004-08-26,6.1374,6.3256,6.0904,6.2926,435200
2004-08-27,6.3021,6.4102,6.2127,6.3256,694300
2004-08-30,6.3256,6.3914,6.2785,6.3397,119100
2004-08-31,6.3679,6.4902,6.1139,6.4902,261900
2004-09-01,6.7253,6.7630,6.3115,6.4196,170900
2004-09-02,6.4196,6.5278,6.1610,6.4855,149200
2004-09-03,6.3726,6.5090,6.3491,6.4196,88600
2004-09-07,6.3726,6.5137,6.3303,6.4902,101100
2004-09-08,6.4902,6.5043,6.4008,6.4196,93800
2004-09-09,6.4196,6.4478,6.3068,6.3444,113900
2004-09-10,6.3021,6.4573,6.2315,6.3961,139900
2004-09-13,6.2110,6.5192,6.1351,6.5002,223700
2004-09-14,6.4717,6.4717,6.3058,6.4054,130000
2004-09-15,6.3058,6.4243,6.2062,6.3295,138800
2004-09-16,6.3295,6.3911,6.2110,6.3200,126300
2004-09-17,5.9502,6.4670,5.9502,6.4670,400200
