"MacroTrends Data Download"
"INVH - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2017-02-01,17.9236,18.2089,17.6561,17.8344,30832753
2017-02-02,17.8701,18.2000,17.8701,18.0395,4901231
2017-02-03,18.1465,18.5478,18.1019,18.3962,2631545
2017-02-06,18.8510,18.8510,18.3249,18.4854,1836800
2017-02-07,18.5032,18.6013,18.3873,18.5478,3521570
2017-02-08,18.5478,18.6548,18.4854,18.5835,973618
2017-02-09,18.6281,18.6994,18.5746,18.6191,1798591
2017-02-10,18.6548,19.5019,18.5300,18.7440,1560824
2017-02-13,18.8510,18.8956,18.6860,18.7261,896041
2017-02-14,18.6281,18.7707,18.5032,18.7529,1143094
2017-02-15,18.8688,18.8688,18.6013,18.6459,1065698
2017-02-16,18.5478,18.7707,18.5300,18.6905,740470
2017-02-17,18.6637,18.9179,18.5121,18.8599,664029
2017-02-21,18.9937,19.1720,18.9758,19.1453,793309
2017-02-22,19.1274,19.3058,19.0828,19.2344,675062
2017-02-23,19.3325,19.4484,19.0561,19.2433,641434
2017-02-24,19.1898,19.3593,19.1720,19.2612,763716
2017-02-27,19.2433,19.6089,19.2166,19.4484,1159288
2017-02-28,19.5376,19.7516,19.4083,19.4306,1583632
2017-03-01,19.7427,19.7481,18.8777,19.1988,1415061
2017-03-02,19.2612,19.4217,19.0204,19.3682,1123486
2017-03-03,19.2255,19.5733,18.9580,19.4484,1077753
2017-03-06,19.4217,19.6179,19.2790,19.5465,1333155
2017-03-07,19.4395,19.6000,19.1720,19.4484,709011
2017-03-08,19.4217,19.4574,19.1898,19.2166,797640
2017-03-09,19.2612,19.3860,18.7618,18.9402,1303081
2017-03-10,18.9758,19.2077,18.9758,19.0828,1193724
2017-03-13,19.0739,19.4752,18.7796,19.0650,1841007
2017-03-14,19.0650,19.1274,18.7707,18.9491,778245
2017-03-15,19.0739,19.2612,18.9446,19.1898,1520784
2017-03-16,19.2612,19.3325,18.9491,19.1542,1181759
2017-03-17,19.2166,19.4306,19.1453,19.2612,8630179
2017-03-20,19.1720,19.3058,19.0382,19.2077,1357769
2017-03-21,19.2433,19.2433,19.0070,19.0739,1762859
2017-03-22,19.0917,19.1988,18.9500,19.1720,1419148
2017-03-23,19.0382,19.2166,18.9669,19.1631,1571324
2017-03-24,19.1988,19.3503,19.1720,19.2433,1069116
2017-03-27,19.1363,19.2612,19.0828,19.1988,894619
2017-03-28,19.1274,19.3325,19.1274,19.2968,988367
2017-03-29,19.3593,19.4306,19.2790,19.3414,878483
2017-03-30,19.4217,19.4930,19.2523,19.3949,551682
