"MacroTrends Data Download"
"JOE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1992-03-10,7.3966,7.4189,7.3039,7.3484,19200
1992-03-11,7.3725,7.4189,7.3262,7.3725,42600
1992-03-12,7.3484,7.5821,7.3484,7.5821,53400
1992-03-13,7.5821,7.5821,7.4875,7.5357,28800
1992-03-16,7.4875,7.7657,7.4875,7.7194,50400
1992-03-17,7.6044,7.6044,7.4189,7.4875,106500
1992-03-18,7.4246,7.4710,7.2148,7.2854,71100
1992-03-19,7.2390,7.2390,7.2148,7.2390,68700
1992-03-20,7.2854,7.4246,7.2854,7.3782,57300
1992-03-23,7.3540,7.4023,7.3540,7.4023,16800
1992-03-24,7.4023,7.4023,7.1926,7.2854,31800
1992-03-25,7.2854,7.2854,7.2390,7.2390,2700
1992-03-26,7.2631,7.3095,7.1461,7.1461,55500
1992-03-27,7.1239,7.1239,6.9141,6.9141,38100
1992-03-30,6.7285,6.8677,6.7285,6.8455,131400
1992-03-31,6.8455,6.9141,6.8455,6.9141,4800
1992-04-01,6.8677,7.0533,6.8677,7.0533,38400
1992-04-02,7.0069,7.0533,6.9847,6.9847,6300
1992-04-03,7.0069,7.0069,6.9364,6.9605,44100
1992-04-06,6.9847,7.0069,6.9847,7.0069,3600
1992-04-07,7.0069,7.0069,6.8677,6.8677,8700
1992-04-08,6.8677,6.9141,6.8213,6.8213,25200
1992-04-09,6.8213,6.9364,6.8213,6.9364,12900
1992-04-10,6.9847,6.9847,6.9605,6.9847,12900
1992-04-13,7.0069,7.0311,6.9847,6.9847,6600
1992-04-14,6.9847,7.0311,6.9605,6.9605,25800
1992-04-15,7.0069,7.0756,6.9847,7.0069,23700
1992-04-16,7.0756,7.0756,7.0069,7.0069,20400
1992-04-20,7.0533,7.0533,6.9605,7.0311,14400
1992-04-21,6.9847,7.0311,6.9847,7.0311,4800
1992-04-22,7.0533,7.0533,6.9847,7.0069,11100
1992-04-23,6.9847,7.0069,6.9605,7.0069,25800
1992-04-24,6.9605,7.0311,6.9605,6.9605,9000
1992-04-27,6.9605,7.0311,6.9605,7.0311,9000
1992-04-28,7.0311,7.0311,6.9605,6.9605,5700
1992-04-29,7.0069,7.0069,6.9364,6.9605,78900
1992-04-30,6.9605,7.0069,6.9605,7.0069,26400
1992-05-01,7.0533,7.0533,7.0533,7.0533,3300
1992-05-04,7.0069,7.0311,7.0069,7.0311,2100
1992-05-05,7.0069,7.0069,7.0069,7.0069,5700
1992-05-06,7.0069,7.0533,6.9847,6.9847,18600
1992-05-07,7.0069,7.0533,7.0069,7.0533,12900
1992-05-08,7.0311,7.0997,7.0311,7.0533,41400
1992-05-11,7.0533,7.0533,7.0069,7.0069,16200
1992-05-12,7.0311,7.0311,6.9847,6.9847,5100
1992-05-13,6.9605,6.9847,6.9364,6.9364,14400
1992-05-14,6.9847,7.0069,6.9605,6.9605,3000
1992-05-15,7.0069,7.0069,6.9364,6.9364,5700
1992-05-18,6.9141,7.0069,6.9141,7.0069,17400
1992-05-19,7.0533,7.0997,7.0069,7.0311,28200
1992-05-20,7.0533,7.0756,7.0069,7.0069,34800
1992-05-21,7.0069,7.0311,6.9847,7.0069,13500
1992-05-22,7.0533,7.0756,7.0311,7.0533,12300
1992-05-26,7.0997,7.1684,7.0756,7.1684,67200
1992-05-27,7.2148,7.4710,7.2148,7.4468,66300
1992-05-28,7.4710,7.5638,7.3318,7.3782,46800
1992-05-29,7.3782,7.3782,7.2854,7.2854,21900
1992-06-01,7.3095,7.3095,7.2390,7.3095,15900
1992-06-02,7.3095,7.3095,7.2390,7.2631,18300
1992-06-03,7.2631,7.2631,7.2148,7.2631,5400
1992-06-04,7.2390,7.2631,7.1926,7.1926,9300
1992-06-05,7.2148,7.2148,7.1684,7.1684,6300
1992-06-08,7.1239,7.1461,7.0533,7.0997,14100
1992-06-09,7.0756,7.1461,7.0311,7.0533,7500
1992-06-10,7.0533,7.0997,7.0533,7.0997,6000
1992-06-11,7.1239,7.1239,7.0533,7.0756,18000
1992-06-12,7.0997,7.0997,7.0756,7.0756,8100
1992-06-15,7.0756,7.0997,7.0311,7.0311,19500
1992-06-16,7.0533,7.0533,7.0311,7.0311,10800
1992-06-17,7.0533,7.0533,7.0069,7.0069,13200
1992-06-18,6.9902,7.0367,6.9902,7.0125,2400
1992-06-19,7.0125,7.0367,7.0125,7.0367,1500
1992-06-22,6.9902,6.9902,6.9902,6.9902,5100
1992-06-23,7.0125,7.0125,6.9419,6.9661,8700
1992-06-24,6.9661,6.9661,6.8955,6.8955,24900
1992-06-25,6.8955,6.8955,6.8955,6.8955,5100
1992-06-26,6.8732,6.9196,6.8732,6.8732,32100
1992-06-29,6.8732,6.9419,6.8732,6.9419,23700
