"MacroTrends Data Download"
"LMNR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2003-10-07,4.9010,4.9010,4.9010,4.9010,0
2003-10-08,4.9010,4.9010,4.9010,4.9010,0
2003-10-09,4.9010,4.9010,4.9010,4.9010,0
2003-10-10,4.9010,4.9010,4.9010,4.9010,0
2003-10-13,4.9010,4.9010,4.9010,4.9010,0
2003-10-14,4.9010,4.9010,4.9010,4.9010,0
2003-10-15,4.9010,4.9010,4.9010,4.9010,0
2003-10-16,4.9010,4.9010,4.9010,4.9010,2000
2003-10-17,4.9010,4.9010,4.9010,4.9010,2000
2003-10-20,5.0714,5.0714,5.0714,5.0714,2000
2003-10-21,5.0714,5.0714,5.0714,5.0714,0
2003-10-22,5.1140,5.1140,5.1140,5.1140,1000
2003-10-23,5.1140,5.1140,5.1140,5.1140,0
2003-10-24,5.1140,5.1140,5.1140,5.1140,0
2003-10-27,5.1140,5.1140,5.1140,5.1140,0
2003-10-28,5.1140,5.1140,5.1140,5.1140,0
2003-10-29,5.1140,5.1140,5.1140,5.1140,0
2003-10-30,5.1140,5.1140,5.1140,5.1140,0
2003-10-31,5.1140,5.1140,5.1140,5.1140,0
2003-11-03,5.1140,5.1140,5.1140,5.1140,0
2003-11-04,5.1140,5.1140,5.1140,5.1140,0
2003-11-05,5.1140,5.1140,5.1140,5.1140,0
2003-11-06,5.1140,5.1140,5.1140,5.1140,0
2003-11-07,5.1140,5.1140,5.1140,5.1140,0
2003-11-10,5.1140,5.1140,5.1140,5.1140,0
2003-11-11,5.1140,5.1140,5.1140,5.1140,0
2003-11-12,4.9010,4.9010,4.9010,4.9010,4000
2003-11-13,4.9010,4.9010,4.9010,4.9010,0
2003-11-14,4.9010,4.9010,4.9010,4.9010,0
2003-11-17,4.9010,4.9010,4.9010,4.9010,0
2003-11-18,4.6879,4.6879,4.6879,4.6879,4000
2003-11-19,4.6879,4.6879,4.6879,4.6879,0
2003-11-20,4.6879,4.6879,4.6879,4.6879,0
2003-11-21,4.6879,4.6879,4.6879,4.6879,0
2003-11-24,4.6879,4.6879,4.6879,4.6879,0
2003-11-25,4.6879,4.6879,4.6879,4.6879,0
2003-11-26,4.6879,4.6879,4.6879,4.6879,0
2003-11-28,4.6879,4.6879,4.6879,4.6879,0
2003-12-01,4.6879,4.6879,4.6879,4.6879,0
2003-12-02,4.6879,4.6879,4.6879,4.6879,0
2003-12-03,4.6879,4.6879,4.6879,4.6879,0
2003-12-04,4.6879,4.6879,4.6879,4.6879,0
2003-12-05,4.6879,4.6879,4.6879,4.6879,0
2003-12-08,4.6879,4.6879,4.6879,4.6879,0
2003-12-09,4.6879,4.6879,4.6879,4.6879,0
2003-12-10,4.6879,4.6879,4.6879,4.6879,0
2003-12-11,4.9436,4.9436,4.9436,4.9436,1000
2003-12-12,4.9436,4.9436,4.9436,4.9436,0
2003-12-15,4.9436,4.9436,4.9436,4.9436,0
2003-12-16,4.9436,4.9436,4.9436,4.9436,0
2003-12-17,4.8583,4.8583,4.8583,4.8583,10000
2003-12-18,4.9862,4.9862,4.9862,4.9862,1000
2003-12-19,4.8157,4.8157,4.8157,4.8157,4000
2003-12-22,4.8157,4.8157,4.8157,4.8157,0
2003-12-23,4.8157,4.8157,4.8157,4.8157,0
2003-12-24,4.8157,4.8157,4.8157,4.8157,0
2003-12-26,4.8157,4.8157,4.8157,4.8157,0
2003-12-29,4.8157,4.8157,4.8157,4.8157,0
2003-12-30,4.8157,4.8157,4.8157,4.8157,0
2003-12-31,4.8157,4.8157,4.8157,4.8157,0
2004-01-02,4.8157,4.8157,4.8157,4.8157,0
2004-01-05,4.8157,4.8157,4.8157,4.8157,0
2004-01-06,4.8157,4.8157,4.8157,4.8157,0
2004-01-07,4.8157,4.8157,4.8157,4.8157,0
2004-01-08,4.8157,4.8157,4.8157,4.8157,0
2004-01-09,4.8157,4.8157,4.8157,4.8157,0
2004-01-12,4.8157,4.8157,4.8157,4.8157,0
2004-01-13,4.8157,4.8157,4.8157,4.8157,0
2004-01-14,4.8157,4.8157,4.8157,4.8157,0
2004-01-15,4.8157,4.8157,4.8157,4.8157,0
2004-01-16,4.8157,4.8157,4.8157,4.8157,0
2004-01-20,4.8157,4.8157,4.8157,4.8157,0
2004-01-21,4.8157,4.8157,4.8157,4.8157,0
2004-01-22,5.0288,5.0288,5.0288,5.0288,1000
2004-01-23,5.0288,5.0288,5.0288,5.0288,0
2004-01-26,5.0288,5.0288,5.0288,5.0288,0
2004-01-27,5.0288,5.0288,5.0288,5.0288,0
2004-01-28,5.0288,5.0288,5.0288,5.0288,0
2004-01-29,5.0288,5.0288,5.0288,5.0288,0
2004-01-30,5.0288,5.0288,5.0288,5.0288,0
2004-02-02,5.0288,5.0288,5.0288,5.0288,0
2004-02-03,5.0288,5.0288,5.0288,5.0288,0
2004-02-04,5.0288,5.0288,5.0288,5.0288,0
2004-02-05,5.0288,5.0288,5.0288,5.0288,0
2004-02-06,5.0288,5.0288,5.0288,5.0288,0
2004-02-09,5.0288,5.0288,5.0288,5.0288,0
2004-02-10,5.0288,5.0288,5.0288,5.0288,0
2004-02-11,5.0288,5.0288,5.0288,5.0288,0
2004-02-12,5.0288,5.0288,5.0288,5.0288,0
2004-02-13,5.0288,5.0288,5.0288,5.0288,0
2004-02-17,5.0288,5.0288,5.0288,5.0288,0
2004-02-18,5.0288,5.0288,5.0288,5.0288,0
2004-02-19,5.0288,5.0288,5.0288,5.0288,0
2004-02-20,5.0288,5.0288,5.0288,5.0288,0
2004-02-23,5.0288,5.0288,5.0288,5.0288,0
2004-02-24,5.0288,5.0288,5.0288,5.0288,0
2004-02-25,5.0288,5.0288,5.0288,5.0288,0
2004-02-26,5.0288,5.0288,5.0288,5.0288,0
2004-02-27,5.0288,5.0288,5.0288,5.0288,0
2004-03-01,5.0288,5.0288,5.0288,5.0288,0
2004-03-02,5.0288,5.0288,5.0288,5.0288,0
2004-03-03,5.0288,5.0288,5.0288,5.0288,0
2004-03-04,5.0288,5.0288,5.0288,5.0288,0
2004-03-05,5.0288,5.0288,5.0288,5.0288,0
2004-03-08,5.0288,5.0288,5.0288,5.0288,0
2004-03-09,5.0288,5.0288,5.0288,5.0288,0
2004-03-10,5.0288,5.0288,5.0288,5.0288,0
2004-03-11,5.0288,5.0288,5.0288,5.0288,0
2004-03-12,5.0288,5.0288,5.0288,5.0288,0
2004-03-15,5.0288,5.0288,5.0288,5.0288,0
2004-03-16,5.4550,5.4550,5.2845,5.2845,2000
2004-03-17,5.2845,5.2845,5.2845,5.2845,0
2004-03-18,5.4507,5.4507,5.4124,5.4124,12000
2004-03-19,5.4124,5.4124,5.4124,5.4124,0
2004-03-22,5.0288,5.1140,5.0288,5.1140,6000
2004-03-23,5.1140,5.1140,5.1140,5.1140,0
2004-03-24,5.1140,5.1140,5.1140,5.1140,0
2004-03-25,5.1140,5.1140,5.1140,5.1140,0
2004-03-26,5.1140,5.1140,5.1140,5.1140,0
2004-03-29,5.1140,5.1140,5.1140,5.1140,0
2004-03-30,5.1140,5.1140,5.1140,5.1140,0
2004-03-31,5.1140,5.1140,5.1140,5.1140,0
2004-04-01,5.1140,5.1140,5.1140,5.1140,0
2004-04-02,5.1140,5.1140,5.1140,5.1140,0
2004-04-05,5.1140,5.1140,5.1140,5.1140,0
2004-04-06,5.1140,5.1140,5.1140,5.1140,0
2004-04-07,5.1140,5.1140,5.1140,5.1140,0
2004-04-08,5.1140,5.1140,5.1140,5.1140,0
2004-04-12,5.1140,5.1140,5.1140,5.1140,0
2004-04-13,5.1140,5.1140,5.1140,5.1140,0
2004-04-14,5.1140,5.1140,5.1140,5.1140,0
2004-04-15,5.1140,5.1140,5.1140,5.1140,0
2004-04-16,5.1140,5.1140,5.1140,5.1140,0
2004-04-19,5.1140,5.1140,5.1140,5.1140,0
2004-04-20,5.1140,5.1140,5.1140,5.1140,0
2004-04-21,5.1140,5.1140,5.1140,5.1140,0
2004-04-22,5.4550,5.4550,5.2845,5.2845,4000
2004-04-23,5.2845,5.2845,5.2845,5.2845,0
2004-04-26,5.2845,5.2845,5.2845,5.2845,0
2004-04-27,5.2845,5.2845,5.2845,5.2845,0
2004-04-28,5.1140,5.1140,5.1140,5.1140,1000
2004-04-29,5.3697,5.3697,5.3697,5.3697,3000
2004-04-30,5.3697,5.3697,5.3697,5.3697,0
2004-05-03,5.4550,5.4550,5.4550,5.4550,3000
2004-05-04,5.5402,5.6254,5.5402,5.6254,7000
2004-05-05,5.6254,5.6254,5.6254,5.6254,0
2004-05-06,5.6254,5.6254,5.6254,5.6254,0
2004-05-07,5.6254,5.6254,5.6254,5.6254,0
2004-05-10,5.6254,5.6254,5.6254,5.6254,0
2004-05-11,5.6254,5.6254,5.6254,5.6254,0
2004-05-12,5.6254,5.6254,5.6254,5.6254,0
2004-05-13,5.6254,5.6254,5.6254,5.6254,0
2004-05-14,5.6254,5.6254,5.6254,5.6254,0
2004-05-17,5.6254,5.6254,5.6254,5.6254,0
2004-05-18,5.6254,5.6254,5.6254,5.6254,0
2004-05-19,5.6254,5.6254,5.6254,5.6254,0
2004-05-20,5.6254,5.6254,5.6254,5.6254,0
2004-05-21,5.6254,5.6254,5.6254,5.6254,0
2004-05-24,5.6254,5.6254,5.6254,5.6254,0
2004-05-25,5.6254,5.6254,5.6254,5.6254,0
2004-05-26,5.6254,5.6254,5.6254,5.6254,0
2004-05-27,5.6254,5.6254,5.6254,5.6254,0
2004-05-28,5.6254,5.6254,5.6254,5.6254,0
2004-06-01,5.6254,5.6254,5.6254,5.6254,0
2004-06-02,5.6254,5.6254,5.6254,5.6254,0
2004-06-03,5.6254,5.6254,5.6254,5.6254,0
2004-06-04,5.6254,5.6254,5.6254,5.6254,0
2004-06-07,5.6254,5.6254,5.6254,5.6254,0
2004-06-08,5.6254,5.6254,5.6254,5.6254,0
2004-06-09,5.6254,5.6254,5.6254,5.6254,0
2004-06-10,5.6254,5.6254,5.6254,5.6254,0
2004-06-14,5.6254,5.6254,5.6254,5.6254,0
2004-06-15,5.6254,5.6254,5.6254,5.6254,0
2004-06-16,5.6254,5.6254,5.6254,5.6254,0
2004-06-17,5.6254,5.6254,5.6254,5.6254,0
2004-06-18,5.6254,5.6254,5.6254,5.6254,0
2004-06-21,5.6254,5.6254,5.6254,5.6254,0
2004-06-22,5.6254,5.6254,5.6254,5.6254,0
2004-06-23,5.6254,5.6254,5.6254,5.6254,0
2004-06-24,5.6254,5.6254,5.6254,5.6254,0
2004-06-25,5.6254,5.6254,5.6254,5.6254,0
2004-06-28,5.6254,5.6254,5.6254,5.6254,0
2004-06-29,5.6254,5.6254,5.6254,5.6254,0
2004-06-30,5.6254,5.6254,5.6254,5.6254,0
2004-07-01,5.6254,5.6254,5.6254,5.6254,0
2004-07-02,5.6254,5.6254,5.6254,5.6254,0
2004-07-06,5.6254,5.6254,5.6254,5.6254,0
2004-07-07,5.6254,5.6254,5.6254,5.6254,0
2004-07-08,5.6254,5.6254,5.6254,5.6254,0
2004-07-09,5.6254,5.6254,5.6254,5.6254,0
2004-07-12,5.6254,5.6254,5.6254,5.6254,0
2004-07-13,5.6254,5.6254,5.6254,5.6254,0
2004-07-14,5.6254,5.6254,5.6254,5.6254,0
2004-07-15,5.6254,5.6254,5.6254,5.6254,0
2004-07-16,5.6254,5.6254,5.6254,5.6254,0
2004-07-19,5.6254,5.6254,5.6254,5.6254,0
2004-07-20,5.6254,5.6254,5.6254,5.6254,0
2004-07-21,5.6254,5.6254,5.6254,5.6254,0
2004-07-22,5.6254,5.6254,5.6254,5.6254,0
2004-07-23,5.6254,5.6254,5.6254,5.6254,0
2004-07-26,5.6681,5.6681,5.6681,5.6681,10000
2004-07-27,5.9238,5.9238,5.9238,5.9238,5000
2004-07-28,5.9238,5.9238,5.9238,5.9238,0
2004-07-29,5.9238,5.9238,5.9238,5.9238,0
2004-07-30,5.9238,5.9238,5.9238,5.9238,0
2004-08-02,5.9238,5.9238,5.9238,5.9238,0
2004-08-03,5.9238,5.9238,5.9238,5.9238,0
2004-08-04,5.9238,5.9238,5.9238,5.9238,0
2004-08-05,5.9238,5.9238,5.9238,5.9238,0
2004-08-06,5.9238,5.9238,5.9238,5.9238,0
2004-08-09,5.9238,5.9238,5.9238,5.9238,0
2004-08-10,5.9238,5.9238,5.9238,5.9238,0
2004-08-11,5.9238,5.9238,5.9238,5.9238,0
2004-08-12,6.2647,6.2647,6.2647,6.2647,1000
2004-08-13,6.2647,6.2647,6.2647,6.2647,0
2004-08-16,6.2647,6.2647,6.2647,6.2647,0
2004-08-17,6.2647,6.2647,6.2647,6.2647,0
2004-08-18,6.2647,6.2647,6.2647,6.2647,0
2004-08-19,6.2647,6.2647,6.2647,6.2647,0
2004-08-20,6.2647,6.2647,6.2647,6.2647,0
2004-08-23,6.2647,6.2647,6.2647,6.2647,0
2004-08-24,6.2647,6.2647,6.2647,6.2647,0
2004-08-25,6.2647,6.2647,6.2647,6.2647,0
2004-08-26,6.2647,6.2647,6.2647,6.2647,0
2004-08-27,6.2647,6.2647,6.2647,6.2647,0
2004-08-30,6.2647,6.2647,6.2647,6.2647,0
2004-08-31,6.2647,6.2647,6.2647,6.2647,0
2004-09-01,6.7335,6.7335,6.7335,6.7335,1000
2004-09-02,6.7335,6.7335,6.7335,6.7335,0
2004-09-03,6.7335,6.7335,6.7335,6.7335,0
2004-09-07,6.7335,6.7335,6.7335,6.7335,0
2004-09-08,6.7335,6.7335,6.7335,6.7335,0
2004-09-09,6.7335,6.7335,6.7335,6.7335,0
2004-09-10,6.7335,6.7335,6.7335,6.7335,0
2004-09-13,6.7335,6.7335,6.7335,6.7335,0
2004-09-14,6.9466,7.2449,6.9466,7.2449,9000
2004-09-15,7.5006,7.5006,7.5006,7.5006,2000
2004-09-16,7.5006,7.5006,7.5006,7.5006,0
2004-09-17,7.5006,7.5006,7.5006,7.5006,0
2004-09-20,7.5006,7.5006,7.5006,7.5006,0
2004-09-21,7.5006,7.5006,7.5006,7.5006,0
2004-09-22,7.5006,7.5006,7.5006,7.5006,0
2004-09-23,7.5006,7.5006,7.5006,7.5006,0
2004-09-24,7.5006,7.5006,7.5006,7.5006,0
2004-09-27,7.5006,7.5006,7.5006,7.5006,4000
2004-09-28,7.5006,7.5006,7.5006,7.5006,0
2004-09-29,7.5006,7.5006,7.5006,7.5006,0
2004-09-30,7.5006,7.5006,7.5006,7.5006,0
2004-10-01,8.5234,8.5234,7.7137,7.8415,10000
2004-10-04,7.8415,7.8415,7.8415,7.8415,0
2004-10-05,7.9268,7.9268,7.9268,7.9268,12000
2004-10-06,7.9268,7.9268,7.9268,7.9268,0
2004-10-07,7.9268,7.9268,7.9268,7.9268,0
2004-10-08,7.9268,7.9268,7.9268,7.9268,12000
2004-10-11,7.9268,7.9268,7.9268,7.9268,0
2004-10-12,7.9268,7.9268,7.9268,7.9268,0
2004-10-13,7.9268,7.9268,7.9268,7.9268,0
2004-10-14,7.9268,7.9268,7.9268,7.9268,0
2004-10-15,7.9268,8.0972,7.9268,8.0972,6000
2004-10-18,8.0972,8.0972,8.0972,8.0972,0
2004-10-19,8.0972,8.0972,8.0972,8.0972,0
2004-10-20,8.0972,8.0972,8.0972,8.0972,0
2004-10-21,8.0972,8.0972,8.0972,8.0972,0
2004-10-22,8.0972,8.0972,8.0972,8.0972,0
2004-10-25,8.0972,8.0972,8.0972,8.0972,0
2004-10-26,8.0972,8.0972,8.0972,8.0972,0
2004-10-27,8.0972,8.0972,8.0972,8.0972,0
2004-10-28,8.0972,8.0972,8.0972,8.0972,0
2004-10-29,8.0972,8.0972,8.0972,8.0972,0
2004-11-01,8.0972,8.0972,8.0972,8.0972,0
2004-11-02,8.0972,8.0972,8.0972,8.0972,0
2004-11-03,8.0972,8.0972,8.0972,8.0972,0
