"MacroTrends Data Download"
"MAC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1994-03-10,3.0677,3.1072,3.0677,3.0867,2952400
1994-03-11,3.0867,3.1262,3.0867,3.1262,294600
1994-03-14,3.1262,3.1262,3.0867,3.1262,346400
1994-03-15,3.1262,3.1262,3.0867,3.1072,274100
1994-03-16,3.1072,3.1262,3.0867,3.1072,218500
1994-03-17,3.1072,3.1262,3.0867,3.1072,171500
1994-03-18,3.1072,3.1658,3.1072,3.1468,187500
1994-03-21,3.1468,3.1658,3.1262,3.1658,135600
1994-03-22,3.1468,3.1658,3.1468,3.1658,97600
1994-03-23,3.1658,3.2054,3.1468,3.2054,213000
1994-03-24,3.2054,3.2450,3.2054,3.2260,253000
1994-03-25,3.2054,3.2450,3.2054,3.2260,127000
1994-03-28,3.2054,3.2450,3.2054,3.2450,162500
1994-03-29,3.2260,3.2450,3.1072,3.1072,113100
1994-03-30,3.0867,3.1072,3.0471,3.0867,223200
1994-03-31,3.0677,3.0867,3.0075,3.0867,231400
1994-04-04,2.9284,3.0075,2.8698,3.0075,86800
1994-04-05,3.0281,3.0867,3.0281,3.0867,98900
1994-04-06,3.0867,3.1072,3.0677,3.1072,121700
1994-04-07,3.1262,3.1262,3.0677,3.0677,41600
1994-04-08,3.0867,3.0867,3.0677,3.0677,9800
1994-04-11,3.0677,3.0867,3.0471,3.0867,35300
1994-04-12,3.0867,3.1072,3.0677,3.0867,71400
1994-04-13,3.1072,3.1468,3.0677,3.0867,77900
1994-04-14,3.0867,3.1072,3.0471,3.1072,27300
1994-04-15,3.1072,3.1072,3.0281,3.0471,72300
1994-04-18,3.0677,3.0677,3.0281,3.0281,48700
1994-04-19,3.0281,3.0471,3.0281,3.0281,20000
1994-04-20,3.0281,3.0281,2.9885,3.0281,25700
1994-04-21,3.0471,3.0471,3.0075,3.0281,65100
1994-04-22,3.0471,3.0867,3.0471,3.0867,30700
1994-04-25,3.0677,3.0867,3.0677,3.0867,13300
1994-04-26,3.0867,3.1072,3.0867,3.1072,13700
