"MacroTrends Data Download"
"NREF - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-02-07,14.6209,14.7364,14.3901,14.4670,1150996
2020-02-10,14.4670,14.7364,14.3978,14.5055,128094
2020-02-11,14.5132,14.7748,14.4901,14.5901,93294
2020-02-12,14.6209,14.8672,14.5209,14.5978,106325
2020-02-13,14.5825,14.6670,14.5594,14.5901,87539
2020-02-14,14.6055,14.7364,14.5055,14.7364,70108
2020-02-18,14.6979,14.6979,14.4670,14.5440,45941
2020-02-19,14.5440,14.6979,14.5440,14.6209,27672
2020-02-20,14.6209,14.6902,14.6209,14.6363,24861
2020-02-21,14.5978,15.0057,14.5978,14.7825,42645
2020-02-24,14.7364,14.7364,14.5055,14.5901,46283
2020-02-25,14.6209,14.6979,14.5517,14.6132,44038
2020-02-26,14.6209,14.6979,14.5594,14.6517,8459
2020-02-27,14.4978,14.6209,14.2362,14.2746,143747
2020-02-28,14.2362,14.4670,14.2362,14.3516,29967
2020-03-02,14.3901,14.3905,14.2362,14.2362,32665
2020-03-03,14.3131,14.6055,14.2362,14.6055,123914
2020-03-04,14.6055,14.6979,14.3593,14.6979,13672
2020-03-05,14.5286,14.5286,14.1207,14.1669,23809
2020-03-06,13.8514,14.0515,13.7052,13.7745,65317
2020-03-09,13.3897,13.3897,10.2962,12.7510,180421
2020-03-10,12.7356,13.2666,12.4509,13.2666,95693
2020-03-11,13.1434,13.3127,12.3662,12.6971,116316
2020-03-12,11.7352,12.9357,10.7733,11.5659,72494
2020-03-13,11.6275,11.9276,10.0192,11.5351,95655
2020-03-16,11.1504,11.9813,9.7114,10.0038,169287
2020-03-17,9.9268,9.9268,9.1265,9.1650,84582
2020-03-18,8.6571,8.8495,5.0096,6.5409,62693
2020-03-19,6.4948,6.6795,5.4559,6.3255,78174
2020-03-20,6.4909,8.0094,6.0110,7.7105,72017
2020-03-23,7.7577,7.7577,5.2714,5.9559,86229
2020-03-24,5.9481,6.2313,4.9882,4.9882,107933
2020-03-25,5.4839,6.0478,5.1770,5.3737,175811
2020-03-26,5.3501,5.9087,5.0039,5.5547,146815
2020-03-27,5.5783,7.8678,5.5468,7.4351,53209
2020-03-30,7.4351,7.4744,6.8293,6.8293,72160
2020-03-31,6.8450,7.6318,6.5304,7.5924,67889
