"MacroTrends Data Download"
"NXRT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2015-03-19,11.8469,11.8469,11.0826,11.0826,300
2015-03-20,10.9297,11.0826,10.9297,11.0826,700
2015-03-23,10.7081,10.7921,10.5093,10.5093,11100
2015-03-24,10.4329,10.4864,9.8597,9.9972,9400
2015-03-25,10.0507,10.4711,9.9972,10.2800,31200
2015-03-26,10.3183,11.0826,10.3183,10.8915,42900
2015-03-27,10.8151,11.0826,10.7768,10.8915,14600
2015-03-30,10.9679,11.2354,10.8915,11.0444,10800
2015-03-31,11.0444,11.0444,10.5858,10.7081,27100
2015-04-01,10.7004,10.7004,10.4352,10.5858,77747
2015-04-02,10.3183,10.7692,10.1119,10.6316,174092
2015-04-06,10.4176,11.1284,10.4176,11.1284,239080
2015-04-07,11.0444,11.1972,10.9480,11.1208,84532
2015-04-08,11.0061,11.1284,10.9908,11.0367,76541
2015-04-09,10.9144,11.0826,10.8609,10.8838,133749
2015-04-10,10.8915,10.9526,10.7081,10.7233,266007
2015-04-13,10.7081,10.8151,10.5475,10.5934,288540
2015-04-14,10.6240,10.6622,10.5475,10.6010,104481
2015-04-15,10.5858,10.7310,10.5819,10.6546,155354
2015-04-16,10.6546,10.7233,10.5552,10.6622,177353
2015-04-17,10.6010,10.7386,10.5934,10.6698,212771
2015-04-20,10.6622,10.7692,10.6622,10.7081,119709
2015-04-21,10.6698,10.7998,10.6010,10.6546,403713
2015-04-22,10.7004,10.7157,10.6010,10.6622,377705
2015-04-23,10.6622,10.7004,10.5858,10.6010,581968
2015-04-24,10.7004,10.7921,10.6481,10.6775,538405
2015-04-27,10.6698,10.7081,10.6698,10.6698,222025
2015-04-28,10.6622,10.7004,10.6240,10.6698,131078
2015-04-29,10.7004,10.7004,10.5934,10.6469,152989
2015-04-30,10.5858,10.8533,10.5858,10.8074,127869
2015-05-01,10.7768,10.9603,10.6393,10.9297,339184
2015-05-04,10.7386,10.9144,10.7386,10.9068,87152
2015-05-05,10.9221,10.9221,10.8151,10.8762,78050
2015-05-06,10.8151,10.8838,10.7616,10.7998,80174
2015-05-07,10.7692,10.7860,10.7004,10.7463,168093
2015-05-08,10.7616,10.9450,10.7157,10.9221,149932
2015-05-11,10.8151,11.0444,10.8151,11.0367,111301
2015-05-12,10.8533,11.0444,10.8533,11.0214,108004
2015-05-13,10.8456,11.1208,10.8456,11.1131,149938
2015-05-14,10.8380,11.2506,10.8380,11.0061,372874
2015-05-15,10.9832,11.2049,10.9832,11.1361,68115
2015-05-18,11.0826,11.1781,11.0826,11.1666,155905
2015-05-19,11.1208,11.2660,11.1208,11.2507,159163
2015-05-20,11.2125,11.2736,11.2125,11.2354,118585
2015-05-21,11.2813,11.4265,11.2201,11.3271,236596
2015-05-22,11.2736,11.4265,11.2736,11.3883,96960
2015-05-26,11.4036,11.4112,11.3501,11.3959,70648
2015-05-27,11.4494,11.5869,11.3730,11.4953,155224
2015-05-28,11.4418,11.6252,11.4418,11.6099,109077
2015-05-29,11.6252,11.6482,11.5641,11.5717,89532
2015-06-01,11.5717,11.7093,11.5182,11.6940,94394
2015-06-02,11.6252,11.6558,11.4953,11.5717,89569
2015-06-03,11.5029,11.6176,11.3730,11.4953,92298
2015-06-04,11.4036,11.5106,11.2354,11.3654,131109
2015-06-05,11.2507,11.3577,11.1284,11.3195,269588
2015-06-08,11.3119,11.4418,11.3119,11.4189,126284
2015-06-09,11.4647,11.6023,11.4342,11.5106,158550
2015-06-10,11.5794,11.5794,11.4418,11.4647,152363
2015-06-11,11.5155,11.5852,11.2288,11.4922,144121
2015-06-12,11.4380,11.4922,11.2443,11.3605,118934
2015-06-15,11.2985,11.4535,11.2365,11.2830,127679
2015-06-16,11.2365,11.3915,11.2365,11.3528,122225
2015-06-17,11.3373,11.4535,11.3295,11.3992,134234
2015-06-18,11.3605,11.4302,11.2365,11.2598,361465
2015-06-19,11.2598,11.5387,11.2598,11.4302,784275
2015-06-22,11.4070,11.4922,11.2288,11.2443,131947
2015-06-23,11.2985,11.3683,11.2365,11.2675,147280
2015-06-24,11.2443,11.3140,11.0676,11.2133,142717
2015-06-25,11.1590,11.2365,10.7328,10.8413,294551
2015-06-26,10.7483,11.0428,10.5856,10.8645,1485416
2015-06-29,10.8645,10.8878,10.2911,10.3686,246006
2015-06-30,10.5003,10.5003,10.2214,10.4073,142570
2015-07-01,10.4693,10.6631,10.2059,10.6398,154760
2015-07-02,10.6088,10.7096,10.2795,10.3298,113295
2015-07-06,10.3298,10.4073,10.1904,10.3608,109730
2015-07-07,10.3841,10.4150,10.2291,10.3918,106264
2015-07-08,10.3066,10.3530,10.0974,10.3143,83490
2015-07-09,10.3298,10.3608,10.0586,10.3221,129608
