"MacroTrends Data Download"
"ORC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-02-14,14.9225,15.1269,14.7590,15.1269,48860
2013-02-15,15.0247,15.1576,14.9225,15.1269,4760
2013-02-19,15.2189,15.7402,15.0145,15.0758,2200
2013-02-20,15.1269,15.2291,14.9225,15.1269,5680
2013-02-21,15.0247,15.0656,14.9225,15.0656,520
2013-02-22,14.9838,15.0758,14.9327,15.0656,1000
2013-02-25,15.0247,15.0350,14.9225,14.9941,1400
2013-02-26,14.9327,15.0350,14.9225,15.0145,3220
2013-02-27,15.0656,15.0656,14.9225,14.9225,1360
2013-02-28,15.0247,15.0247,14.7181,14.8101,3240
2013-03-01,14.8714,14.8714,14.7181,14.7181,11940
2013-03-04,14.7079,14.8101,14.5239,14.8101,2220
2013-03-05,14.6159,14.7181,14.5137,14.7181,2460
2013-03-06,14.6772,14.7692,14.6160,14.7692,3260
2013-03-07,14.6671,14.7283,14.6671,14.7181,860
2013-03-08,14.7999,15.0145,14.7999,15.0145,220
2013-03-11,15.0145,15.0145,14.3195,14.8714,3260
2013-03-12,14.7692,14.8203,14.3093,14.7181,3780
2013-03-13,14.8203,14.9225,14.6670,14.8203,2540
2013-03-14,14.8203,14.9225,14.7692,14.8714,1140
2013-03-15,14.7283,14.8714,14.4115,14.4115,4340
2013-03-18,14.4626,14.6466,14.3604,14.5648,2740
2013-03-19,14.6670,14.6670,14.4319,14.5137,3860
2013-03-20,14.6159,14.7079,14.4217,14.6670,1780
2013-03-21,14.7549,14.7549,14.4454,14.6414,1580
2013-03-22,14.6724,14.7034,14.0533,14.2596,11580
2013-03-25,14.6827,14.6827,14.1565,14.1565,360
2013-03-26,14.5899,14.5899,13.9295,14.4351,4200
2013-03-27,14.4454,14.4454,14.1874,14.2906,3940
2013-03-28,14.1565,14.4351,13.9398,14.4238,2500
2013-04-01,14.3938,14.4144,14.2906,14.3835,740
2013-04-02,14.3422,14.4454,13.9501,14.2184,2100
2013-04-03,14.2287,14.3938,14.1978,14.1978,1060
2013-04-04,14.2401,14.4351,14.2401,14.2494,760
2013-04-05,14.2390,14.4151,14.1979,14.4151,920
2013-04-08,14.4144,14.4144,14.0327,14.0843,1520
2013-04-09,14.0843,14.2184,13.5993,14.1668,2640
2013-04-10,14.1668,14.4454,14.1668,14.4144,5600
2013-04-11,14.3525,14.4083,14.2803,14.3990,3860
