"MacroTrends Data Download"
"OZ - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-10-18,107.1100,107.1100,95.0200,100.1750,36542
2021-10-19,100.1500,100.2000,99.8600,99.8600,29004
2021-10-20,100.0500,100.0500,99.4781,99.8100,18978
2021-10-21,99.9349,100.0500,99.8704,100.0500,3673
2021-10-22,100.0500,100.1500,100.0000,100.1000,1955
2021-10-25,100.0500,100.0500,99.9450,99.9450,7005
2021-10-26,100.0500,100.0600,99.9500,99.9525,14201
2021-10-27,100.0310,100.0500,100.0250,100.0500,1486
2021-10-28,100.0500,100.1250,100.0500,100.0500,4936
2021-10-29,100.0406,100.0500,100.0254,100.0254,1825
2021-11-01,100.0500,100.0500,100.0000,100.0350,4955
2021-11-02,107.5500,114.8850,100.7350,100.8326,16290
2021-11-03,104.7000,104.9489,100.5000,102.3000,10810
2021-11-04,101.1000,101.9600,100.0500,100.1850,43574
2021-11-05,100.0500,100.6000,100.0500,100.0600,24421
2021-11-08,100.0000,100.4000,99.9500,100.4000,18302
2021-11-09,100.0500,100.1500,100.0000,100.0500,26236
2021-11-10,100.0440,100.0600,100.0400,100.0400,3467
2021-11-11,100.0500,100.0500,100.0100,100.0100,5126
2021-11-12,100.3700,100.3700,100.0000,100.0100,15798
2021-11-15,100.5100,100.5100,100.0200,100.0500,10145
2021-11-16,100.0500,100.1200,100.0499,100.0499,3268
2021-11-17,100.0500,100.1000,100.0100,100.0366,10174
2021-11-18,100.0500,100.2900,100.0300,100.0700,7337
2021-11-19,105.0000,105.0000,100.0100,100.0500,23877
2021-11-22,100.1500,100.1500,100.0000,100.0000,14799
2021-11-23,100.1500,100.1500,100.0150,100.0500,18166
2021-11-24,99.9500,100.0500,99.9500,100.0087,2402
2021-11-26,100.0257,100.0500,100.0000,100.0500,4100
2021-11-29,100.0600,100.3500,100.0400,100.0500,21638
2021-11-30,100.0500,100.0500,100.0300,100.0448,34793
2021-12-01,101.8900,102.0000,100.0000,100.0499,69710
2021-12-02,100.0500,100.1250,100.0150,100.0200,52110
2021-12-03,100.0200,100.1200,100.0200,100.0340,13507
2021-12-06,99.9500,100.1800,99.9500,100.0040,7747
2021-12-07,100.0900,100.1400,100.0500,100.0700,33525
2021-12-08,100.0700,100.0800,100.0000,100.0500,31419
2021-12-09,100.0200,100.0770,100.0200,100.0500,23010
2021-12-10,100.0550,100.1000,100.0200,100.0500,42186
2021-12-13,100.0000,100.0800,100.0000,100.0500,21077
2021-12-14,100.0300,100.0700,100.0200,100.0200,53171
2021-12-15,100.0499,100.0700,100.0300,100.0550,19837
2021-12-16,101.0000,101.0000,100.0300,100.0400,29450
2021-12-17,100.0500,100.0800,100.0300,100.0400,56891
2021-12-20,100.0700,100.0800,100.0400,100.0500,46341
2021-12-21,100.0700,100.2400,100.0300,100.0400,84751
2021-12-22,100.0500,100.4700,100.0200,100.0500,103139
2021-12-23,100.1600,100.1600,100.0000,100.0500,157128
2021-12-27,100.1500,100.2550,100.0300,100.0300,163571
2021-12-28,100.0700,100.4100,100.0300,100.0500,169467
2021-12-29,100.0700,103.1400,100.0300,100.4000,221949
2021-12-30,100.1800,100.3100,100.0400,100.0400,303983
2021-12-31,100.0700,103.9500,100.0600,100.0700,513316
2022-01-03,100.0000,100.0000,98.0800,99.9900,90304
2022-01-04,99.9000,100.0500,99.2700,99.6500,32170
2022-01-05,99.9900,99.9900,98.5100,98.5200,20602
2022-01-06,99.7000,99.7000,95.1000,95.1100,40993
2022-01-07,96.0000,96.0000,91.2500,93.5600,80234
2022-01-10,92.7879,92.7879,85.1000,88.7300,69228
2022-01-11,89.4000,92.2400,88.0500,90.8200,28286
2022-01-12,91.3300,91.3300,90.0050,91.0100,6328
2022-01-13,91.5800,93.9800,90.7900,91.0900,14121
2022-01-14,91.0900,92.3500,90.9700,92.0100,8702
2022-01-18,91.8200,95.9800,91.8200,95.2700,38455
2022-01-19,95.8899,96.1000,94.4000,94.4000,17273
2022-01-20,94.9900,94.9900,94.2100,94.2100,4116
2022-01-21,94.0600,94.3540,93.5000,93.7700,5668
2022-01-24,92.0300,92.7500,90.0400,91.7300,29589
