"MacroTrends Data Download"
"PDM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2010-02-10,7.6517,8.1653,7.4546,8.0926,4343100
2010-02-11,8.0771,8.2560,7.9289,8.1705,889900
2010-02-12,8.2120,10.9002,8.0812,8.3001,805500
2010-02-16,8.6892,8.8085,8.1808,8.5076,392500
2010-02-17,8.5647,8.5803,8.2898,8.5803,644100
2010-02-18,8.4558,8.9486,8.4558,8.9486,819200
2010-02-19,8.9486,9.3377,8.7152,9.2702,2028600
2010-02-22,9.2495,9.3325,8.7255,8.8189,1016600
2010-02-23,8.7048,8.9901,8.6892,8.8033,258100
2010-02-24,8.7670,8.8033,8.2846,8.7567,614400
2010-02-25,8.6633,8.9642,8.5076,8.7878,282900
2010-02-26,8.8189,8.8189,8.6114,8.6892,260100
2010-03-01,8.7152,8.9175,8.6736,8.8189,225500
2010-03-02,8.7982,9.4414,8.6114,9.2443,465800
2010-03-03,9.0835,9.1561,8.8293,8.8448,305800
2010-03-04,8.8345,8.9486,8.7670,8.9227,217500
2010-03-05,8.9175,9.0783,8.8760,9.0264,278200
2010-03-08,8.9486,9.0783,8.9245,8.9953,214700
2010-03-09,8.8708,9.1561,8.8708,9.1302,455900
2010-03-10,8.9849,9.3584,8.9849,9.1717,222100
2010-03-11,9.1884,9.3799,9.1250,9.2676,377100
2010-03-12,9.1620,9.4630,9.1620,9.3204,314500
2010-03-15,9.3468,9.4789,9.2676,9.4260,349100
2010-03-16,9.4208,9.9383,9.4102,9.8168,758000
2010-03-17,9.7746,10.0597,9.7693,10.0597,340400
2010-03-18,10.0175,10.1653,9.9911,10.1284,306500
2010-03-19,10.1548,10.2710,9.8063,10.2393,1700000
2010-03-22,10.2815,10.3871,10.0333,10.3290,251600
2010-03-23,10.2446,10.3238,10.0333,10.2182,204700
2010-03-24,10.1653,10.3916,10.1653,10.2129,405800
2010-03-25,10.1918,10.3396,10.1653,10.2129,450200
2010-03-26,10.2182,10.4980,10.1812,10.4875,429600
2010-03-29,10.4241,10.8149,10.3924,10.6670,733000
2010-03-30,10.6036,10.6934,10.1970,10.3079,311900
2010-03-31,10.2551,10.5614,10.1548,10.4822,2044300
2010-04-01,10.4294,10.5456,10.2868,10.3713,290400
2010-04-05,10.4399,10.5086,10.3502,10.4294,685300
2010-04-06,10.3766,10.5614,10.3766,10.4558,668900
2010-04-07,10.4928,10.6142,10.2340,10.3449,218000
2010-04-08,10.2974,10.6142,10.2815,10.4452,157900
2010-04-09,10.5033,10.6670,10.3502,10.6353,154700
2010-04-12,10.5614,10.6829,10.4189,10.6353,126000
2010-04-13,10.5667,10.7093,10.4294,10.5720,275200
2010-04-14,10.5667,10.6248,10.4399,10.6142,282900
2010-04-15,10.5297,10.6142,10.1284,10.4611,285100
2010-04-16,10.3871,10.5456,10.2604,10.2921,146400
2010-04-19,10.2234,10.5508,10.2234,10.2815,163800
