"MacroTrends Data Download"
"RC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-02-08,7.1204,7.1551,6.8807,6.9293,4990100
2013-02-11,6.9432,6.9467,6.7730,6.8425,260300
2013-02-12,6.7557,6.8946,6.7557,6.8251,343400
2013-02-13,6.8286,6.9779,6.8286,6.9606,189200
2013-02-14,6.9328,6.9467,6.8633,6.9224,264000
2013-02-15,6.9258,6.9467,6.8981,6.9120,155100
2013-02-19,6.9467,7.0057,6.8946,6.9884,309700
2013-02-20,6.9814,7.0231,6.9467,7.0057,105400
2013-02-21,6.9745,6.9988,6.9085,6.9571,108400
2013-02-22,6.9467,7.0335,6.9467,7.0335,70300
2013-02-25,7.0162,7.0683,6.9814,6.9814,101300
2013-02-26,6.9814,6.9988,6.8981,6.9467,81100
2013-02-27,6.9258,6.9536,6.9120,6.9502,50300
2013-02-28,6.9571,6.9849,6.9502,6.9710,77100
2013-03-01,6.9536,6.9814,6.9467,6.9641,43100
2013-03-04,6.9502,6.9502,6.9293,6.9293,34900
2013-03-05,6.9641,7.0231,6.9189,7.0057,175700
2013-03-06,6.9988,6.9988,6.9536,6.9606,85500
2013-03-07,6.9467,6.9988,6.9363,6.9536,37900
2013-03-08,6.9779,7.0300,6.9571,7.0127,68300
2013-03-11,7.0127,7.0648,7.0127,7.0544,56600
2013-03-12,7.0023,7.1551,7.0023,7.1481,46800
2013-03-13,7.1898,7.1898,7.0926,7.1030,112200
2013-03-14,7.0995,7.1204,7.0787,7.1204,39300
2013-03-15,7.0891,7.1725,7.0370,7.1690,63400
2013-03-18,7.0474,7.1759,7.0370,7.1759,48200
2013-03-19,7.1655,7.1759,7.1065,7.1655,71100
2013-03-20,7.1655,7.2037,7.1308,7.2037,109100
2013-03-21,7.1863,7.2593,7.1412,7.2141,128100
2013-03-22,7.1968,7.2141,7.1620,7.2072,173700
2013-03-25,7.1968,7.2384,7.1377,7.1725,122200
2013-03-26,7.1551,7.2072,7.1238,7.2072,107600
