"MacroTrends Data Download"
"SBAC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-06-16,8.8310,9.0746,7.9170,8.6478,5718100
1999-06-17,8.5260,8.6478,7.5516,8.4656,542200
1999-06-18,8.3438,8.8914,8.3438,8.7696,557600
1999-06-21,8.8310,9.5004,8.7696,9.0132,218000
1999-06-22,8.8310,9.2568,8.7696,8.8310,281400
1999-06-23,8.7696,9.2568,8.7696,9.1350,395200
1999-06-24,9.1350,9.3786,8.7696,8.8914,238100
1999-06-25,8.8914,8.9830,8.7696,8.9528,172400
1999-06-28,8.7696,9.1350,8.7696,9.0132,81400
1999-06-29,9.1350,9.9876,9.0132,9.1350,321500
1999-06-30,9.1350,9.8707,9.1350,9.4400,429900
1999-07-01,9.5618,10.1143,9.2568,9.6836,363500
1999-07-02,9.8707,10.6015,9.8707,10.6015,460800
1999-07-06,10.6015,10.7184,10.2312,10.4163,565900
1999-07-07,10.4163,10.8451,10.1143,10.6015,270500
1999-07-08,11.4492,12.6672,11.0887,11.9364,1793800
1999-07-09,11.9364,13.3980,11.8779,13.1544,1738400
1999-07-12,13.6416,14.9863,13.2811,14.4309,5465000
1999-07-13,14.9181,14.9181,12.3067,13.0375,2568600
1999-07-14,13.3980,13.3980,11.5759,13.0375,970700
1999-07-15,13.4565,13.6416,12.4236,12.7939,572700
1999-07-16,13.0375,13.8852,12.8523,13.6416,793100
1999-07-19,13.8852,14.0119,13.1544,13.6416,336500
1999-07-20,13.6416,13.7001,12.1800,12.6087,324300
1999-07-21,12.6672,12.9693,12.1800,12.1800,237600
1999-07-22,12.4236,12.4236,11.5759,11.6928,165100
1999-07-23,11.8195,11.9364,10.7184,11.2056,178500
1999-07-26,11.2056,11.2056,9.5004,10.1143,363400
1999-07-27,10.1435,10.6015,9.6222,10.1143,312600
1999-07-28,10.2897,11.5759,9.9876,10.9620,176700
1999-07-29,10.7184,11.4492,10.2897,11.0887,165400
1999-07-30,11.0887,11.7513,10.2312,10.8451,237500
1999-08-02,11.2056,12.9108,10.6015,10.9620,503900
1999-08-03,11.4492,12.1800,11.3323,11.8195,265300
1999-08-04,11.6928,11.7513,10.9620,11.2056,186900
1999-08-05,11.0887,11.3323,9.9876,11.3323,188600
1999-08-06,11.2056,11.2056,10.2312,10.7184,77400
1999-08-09,10.4163,11.2641,9.6222,9.7440,105900
1999-08-10,9.6222,9.9876,8.8310,8.9216,369700
1999-08-11,9.2568,9.7440,8.8914,9.6222,351000
1999-08-12,10.1727,11.2056,9.7440,10.6599,413900
1999-08-13,11.0887,11.3323,10.3579,10.7184,275600
1999-08-16,10.9620,10.9620,10.4748,10.6015,98900
1999-08-17,10.7184,11.2056,10.6015,11.2056,149100
1999-08-18,11.2056,11.3323,10.6599,10.6599,100300
1999-08-19,10.6892,11.0205,10.4748,10.4748,39200
1999-08-20,10.9620,11.0887,10.7184,10.9620,42400
1999-08-23,11.1471,11.2056,10.6015,10.6599,65000
1999-08-24,10.9620,10.9620,10.3579,10.6015,108000
1999-08-25,10.6015,10.9620,10.6015,10.7184,112800
1999-08-26,10.8061,10.8061,10.4748,10.6599,135500
1999-08-27,10.6599,10.7769,10.3579,10.6599,434800
1999-08-30,10.7184,10.9620,10.6015,10.7184,88500
1999-08-31,10.7184,11.1471,10.5333,11.1471,153000
1999-09-01,11.1471,11.6343,10.8451,10.9620,87000
1999-09-02,10.9620,11.0887,10.5333,10.7769,80800
1999-09-03,10.9328,11.4492,10.7184,11.4492,91900
1999-09-07,11.6928,11.7513,10.9620,11.0205,58300
1999-09-08,11.0887,11.1471,10.9620,11.0887,96100
1999-09-09,11.1179,12.3067,11.0205,12.1800,179900
1999-09-10,12.1800,13.1544,11.9949,12.2385,249300
1999-09-13,12.4821,12.6087,11.5077,12.1215,363900
1999-09-14,12.1800,12.6672,11.9364,12.6672,238300
1999-09-15,12.6087,13.1544,12.5503,13.0375,271500
1999-09-16,13.3688,13.3980,12.7939,12.8523,159600
1999-09-17,12.9693,13.3980,12.7939,13.3980,199700
1999-09-20,13.3395,13.3395,12.1800,12.6087,90500
1999-09-21,12.5113,12.8523,12.0631,12.3067,129200
1999-09-22,12.3944,13.2129,12.3651,13.0959,92200
1999-09-23,12.7257,13.1544,12.3067,12.4821,146000
1999-09-24,12.5503,12.6672,11.9364,12.0631,148000
1999-09-27,12.3944,12.9108,11.6928,12.3651,127500
1999-09-28,11.7805,12.3651,11.4492,11.9364,85200
1999-09-29,11.6928,11.8195,10.9620,10.9620,160200
1999-09-30,11.2056,11.3323,9.7440,10.6015,134900
1999-10-01,10.2312,10.7769,10.2312,10.6599,113100
1999-10-04,10.6892,10.8451,10.6015,10.7184,146400
1999-10-05,10.7476,11.2056,9.9876,10.0461,64900
1999-10-06,10.7184,11.0887,10.3579,10.6599,90800
1999-10-07,10.7184,10.7769,10.2897,10.3579,69800
1999-10-08,10.4163,10.8451,10.3579,10.7184,54200
1999-10-11,10.6599,10.7184,10.3579,10.4748,25400
1999-10-12,10.4748,10.6599,9.8025,9.9876,54600
1999-10-13,10.3189,10.3189,9.7440,9.7440,37900
1999-10-14,9.9291,10.1727,9.7440,10.1143,204700
1999-10-15,9.9291,10.2312,9.1964,9.7440,140700
1999-10-18,9.5306,10.7184,9.3182,10.7184,98700
1999-10-19,10.4456,10.7769,9.9876,10.1727,121200
1999-10-20,10.2897,10.6015,9.4400,9.4400,47400
1999-10-21,9.4088,10.4748,9.2568,9.8707,52100
1999-10-22,10.1727,10.3579,9.5004,9.7440,17800
1999-10-25,9.7440,9.9291,9.5004,9.5004,26400
1999-10-26,9.7440,9.9876,9.6222,9.8025,39700
1999-10-27,9.8707,9.8707,9.6836,9.7440,27800
1999-10-28,9.7440,9.7440,9.2568,9.6836,109400
1999-10-29,9.7440,10.2312,9.3182,9.5004,47900
1999-11-01,9.6378,9.7440,9.2568,9.3786,58100
1999-11-02,9.4400,9.9876,9.3786,9.3786,68900
1999-11-03,9.5004,9.7440,9.2568,9.2568,191200
1999-11-04,9.7440,9.8707,9.2568,9.6222,123900
1999-11-05,9.6222,9.7440,9.3786,9.6222,184800
1999-11-08,9.6836,10.3579,9.6222,10.3579,218000
1999-11-09,10.1435,11.6928,9.9876,11.6928,170600
1999-11-10,11.4492,13.0959,11.2056,12.9108,439400
1999-11-11,12.7939,17.2956,12.7939,14.4991,2641000
1999-11-12,14.6160,14.6745,11.2056,11.9364,883700
1999-11-15,12.4236,12.6672,11.8779,11.9364,203400
1999-11-16,12.0631,12.1800,11.4492,11.5759,186100
1999-11-17,11.1179,12.1215,10.6015,11.7513,273100
1999-11-18,11.5369,11.9949,11.0887,11.6928,353300
1999-11-19,11.9949,12.3067,11.6343,11.6928,425600
1999-11-22,11.9656,12.0631,11.3907,11.7513,241800
1999-11-23,11.6051,11.6928,11.0205,11.2056,120600
1999-11-24,10.5625,11.0887,10.4748,10.9035,254300
1999-11-26,10.9035,12.2385,10.7184,10.9620,138800
1999-11-29,10.9620,11.0887,10.4748,10.9620,398300
1999-11-30,11.1471,11.6928,10.9035,11.2056,123500
1999-12-01,11.5759,11.5759,10.7769,11.1471,117900
1999-12-02,11.1471,11.5759,11.0205,11.4492,83400
1999-12-03,13.0959,13.5247,11.9364,12.6087,388900
1999-12-06,13.1252,13.6416,12.6672,12.7257,441000
1999-12-07,12.9108,13.5247,12.6672,13.2811,433700
1999-12-08,13.6416,13.8852,13.0375,13.6416,281000
1999-12-09,13.7683,13.8852,13.6416,13.7683,196600
1999-12-10,13.7975,14.2555,13.7001,13.8852,425900
1999-12-13,14.0703,15.1617,13.7001,13.8267,351600
1999-12-14,14.0119,14.3724,13.5247,14.0703,233000
1999-12-15,14.1288,14.7427,13.3980,13.3980,230000
1999-12-16,13.3980,14.7427,13.3980,14.6160,379800
1999-12-17,14.6745,16.3212,14.3724,15.4735,549200
1999-12-20,15.5319,17.5392,15.4735,16.6915,697000
1999-12-21,17.1787,17.9095,14.9863,15.8340,455200
1999-12-22,15.4735,16.5648,15.1032,16.5648,281800
1999-12-23,16.3797,16.8084,16.2043,16.4479,86800
1999-12-27,16.6915,16.7499,15.8340,16.5648,172800
1999-12-28,16.3212,17.0520,16.2043,17.0520,248800
1999-12-29,16.4771,17.1787,16.1361,17.0520,79000
1999-12-30,16.9351,17.8413,16.8084,17.5392,118100
1999-12-31,17.5392,18.2700,17.1787,18.2700,161000
2000-01-03,18.0849,18.6987,17.5392,17.5392,233800
2000-01-04,17.4807,17.6659,16.0776,17.2956,195500
2000-01-05,16.2043,16.5648,16.0776,16.2627,166700
2000-01-06,16.4479,16.5648,16.2627,16.5063,410900
2000-01-07,16.3797,18.0849,16.3212,17.9095,508600
2000-01-10,21.3199,22.0507,20.4624,21.4368,1448400
2000-01-11,22.1384,26.4355,21.6804,25.2175,713300
2000-01-12,26.7960,27.0981,21.9240,22.1676,433600
