"MacroTrends Data Download"
"SOND - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-03-15,10.0500,10.1100,9.8100,9.8200,18840
2021-03-16,9.9467,10.0100,9.9000,10.0100,99896
2021-03-17,10.0000,10.3050,9.9400,10.1300,17449
2021-03-18,10.2500,10.2500,10.0000,10.0000,598
2021-03-19,10.0000,10.0000,9.9956,9.9956,280
2021-03-22,9.9990,9.9990,9.8000,9.8600,76297
2021-03-23,9.8600,9.9500,9.7501,9.8150,77712
2021-03-24,9.7900,9.8500,9.7800,9.8062,1174680
2021-03-25,9.7500,9.8520,9.6900,9.7850,31926
2021-03-26,9.8500,9.8500,9.8050,9.8050,6070
2021-03-29,10.4900,10.4900,9.8100,9.8100,21690
2021-03-30,9.8500,9.9817,9.8500,9.8500,47935
2021-03-31,9.8700,9.9000,9.8100,9.9000,38343
2021-04-01,9.9900,9.9900,9.8500,9.8800,15486
2021-04-05,9.9199,9.9500,9.8500,9.9000,14881
2021-04-06,9.8700,9.9500,9.8700,9.8800,18024
2021-04-07,9.8800,11.0000,9.8800,10.0950,558709
2021-04-08,10.1100,10.1999,9.9100,10.1400,464674
2021-04-09,10.1000,10.1200,10.0000,10.0400,490416
2021-04-12,10.0400,10.0450,9.9300,10.0300,278484
2021-04-13,10.0500,10.1300,10.0000,10.0400,28513
2021-04-14,10.0400,10.0400,10.0000,10.0100,60941
2021-04-15,10.0100,10.0284,10.0000,10.0000,13818
