"MacroTrends Data Download"
"VRE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1994-08-25,3.6609,3.6609,3.6609,3.6609,1656900
1994-08-26,3.6609,3.6609,3.6609,3.6609,277300
1994-08-29,3.6609,3.6609,3.6609,3.6609,42100
1994-08-30,3.6609,3.6609,3.6609,3.6609,170100
1994-08-31,3.6609,3.6885,3.6609,3.6609,29000
1994-09-01,3.6609,3.6885,3.6609,3.6609,21500
1994-09-02,3.6609,3.6885,3.6609,3.6885,40600
1994-09-06,3.6609,3.6609,3.6609,3.6609,17600
1994-09-07,3.6609,3.6885,3.6609,3.6609,30300
1994-09-08,3.6609,3.6609,3.6609,3.6609,37800
1994-09-09,3.6609,3.6609,3.6609,3.6609,138000
1994-09-12,3.6609,3.6885,3.6609,3.6609,21200
1994-09-13,3.6609,3.6885,3.6609,3.6609,74700
1994-09-14,3.6609,3.6609,3.5548,3.6078,156600
1994-09-15,3.6078,3.6354,3.6078,3.6078,17100
1994-09-16,3.6078,3.6078,3.5823,3.6078,47200
1994-09-19,3.5823,3.6354,3.5823,3.5823,36500
1994-09-20,3.5823,3.5823,3.5293,3.5293,18500
1994-09-21,3.5548,3.5548,3.4762,3.5293,35800
1994-09-22,3.5293,3.5293,3.4486,3.4486,25800
1994-09-23,3.4486,3.5293,3.4486,3.4762,19600
1994-09-26,3.4772,3.5050,3.4515,3.4772,42900
1994-09-27,3.4772,3.5585,3.4772,3.5307,85600
1994-09-28,3.5307,3.5585,3.5050,3.5307,30500
1994-09-29,3.5585,3.5585,3.4515,3.5050,37100
1994-09-30,3.5307,3.5307,3.4772,3.5050,6900
1994-10-03,3.5050,3.5050,3.4772,3.5050,50000
1994-10-04,3.5050,3.5050,3.3702,3.3980,38100
1994-10-05,3.3702,3.3980,3.3167,3.3980,15500
1994-10-06,3.3445,3.3702,3.2376,3.2910,81000
1994-10-07,3.3445,3.4237,3.3167,3.3167,148000
1994-10-10,3.3167,3.3167,3.2632,3.2910,45700
1994-10-11,3.2632,3.2910,3.2097,3.2632,67300
1994-10-12,3.2376,3.2632,3.1841,3.1841,71300
1994-10-13,3.2097,3.3702,3.2097,3.3167,50600
1994-10-14,3.3167,3.4237,3.3167,3.4237,44400
1994-10-17,3.3702,3.4237,3.3445,3.3702,25600
1994-10-18,3.3702,3.4515,3.3702,3.4237,181400
1994-10-19,3.4515,3.4515,3.3980,3.4237,54500
1994-10-20,3.3702,3.3702,3.3167,3.3445,25100
1994-10-21,3.3445,3.3445,3.3167,3.3167,40900
1994-10-24,3.2910,3.3702,3.2910,3.3702,44800
1994-10-25,3.3167,3.3445,3.2910,3.3167,28100
1994-10-26,3.3167,3.3702,3.2910,3.3167,18700
1994-10-27,3.3167,3.3980,3.3167,3.3445,23500
1994-10-28,3.3702,3.3980,3.3702,3.3702,12200
1994-10-31,3.4237,3.4237,3.3445,3.3980,43700
1994-11-01,3.3702,3.3702,3.3167,3.3702,19100
1994-11-02,3.3445,3.3445,3.2910,3.3167,21300
1994-11-03,3.3167,3.3445,3.2910,3.3167,11200
1994-11-04,3.3167,3.3445,3.2632,3.3167,30600
1994-11-07,3.2910,3.2910,3.2376,3.2632,17100
1994-11-08,3.2910,3.3167,3.2632,3.2910,10000
1994-11-09,3.3167,3.3167,3.2632,3.2632,22500
1994-11-10,3.2910,3.2910,3.2376,3.2376,18300
1994-11-11,3.2376,3.2376,3.2097,3.2097,19600
1994-11-14,3.2097,3.2632,3.1841,3.2376,42400
1994-11-15,3.2632,3.3445,3.2376,3.3445,51200
1994-11-16,3.3445,3.3445,3.2632,3.2632,30300
1994-11-17,3.2910,3.3167,3.2632,3.2910,15400
1994-11-18,3.2910,3.3167,3.2632,3.3167,30900
1994-11-21,3.2910,3.3167,3.2632,3.2910,16800
1994-11-22,3.3167,3.3167,3.1841,3.1841,64100
1994-11-23,3.1841,3.2376,3.1841,3.2376,39100
1994-11-25,3.2376,3.3167,3.2376,3.2910,9800
1994-11-28,3.3167,3.3167,3.2632,3.3167,8400
1994-11-29,3.3167,3.3445,3.3167,3.3445,51100
1994-11-30,3.3167,3.3445,3.2910,3.3445,16500
1994-12-01,3.3167,3.3445,3.2910,3.2910,12500
1994-12-02,3.2910,3.3702,3.2632,3.3702,56700
1994-12-05,3.3702,3.3702,3.3167,3.3167,20500
1994-12-06,3.3167,3.3702,3.2910,3.3445,89500
1994-12-07,3.3167,3.3445,3.2910,3.2910,35100
1994-12-08,3.2910,3.2910,3.2097,3.2376,41400
1994-12-09,3.2632,3.2910,3.2632,3.2632,57000
1994-12-12,3.2910,3.2910,3.2376,3.2632,16300
1994-12-13,3.2376,3.3167,3.2376,3.2632,140400
1994-12-14,3.2632,3.2910,3.2376,3.2376,26500
1994-12-15,3.2632,3.2910,3.2632,3.2910,74200
1994-12-16,3.2632,3.4772,3.2632,3.3980,74400
1994-12-19,3.3980,3.4237,3.3445,3.3702,37900
1994-12-20,3.3702,3.3980,3.3445,3.3445,60200
1994-12-21,3.3445,3.3445,3.3167,3.3445,24600
1994-12-22,3.3445,3.3702,3.3445,3.3702,45600
1994-12-23,3.4038,3.4038,3.3775,3.3775,56700
1994-12-27,3.4038,3.4038,3.3226,3.3489,192100
1994-12-28,3.3489,3.3489,3.2940,3.3226,52800
1994-12-29,3.3489,3.4038,3.3226,3.3226,36600
1994-12-30,3.3489,3.5136,3.3489,3.5136,63400
1995-01-03,3.4587,3.4873,3.4038,3.4587,11600
1995-01-04,3.4038,3.4587,3.4038,3.4587,18300
1995-01-05,3.4587,3.4873,3.4324,3.4324,41700
1995-01-06,3.4038,3.4873,3.4038,3.4324,27700
1995-01-09,3.4587,3.5136,3.4587,3.4873,40600
1995-01-10,3.5136,3.5136,3.4587,3.4873,13200
1995-01-11,3.4873,3.5136,3.4587,3.4873,16000
1995-01-12,3.5136,3.5136,3.4587,3.4873,15000
1995-01-13,3.5136,3.5422,3.4873,3.5422,35100
1995-01-16,3.5685,3.6783,3.5136,3.6783,52000
1995-01-17,3.6520,3.7332,3.6234,3.6520,27200
1995-01-18,3.6520,3.6783,3.6234,3.6783,13900
1995-01-19,3.6520,3.6783,3.6234,3.6234,9200
1995-01-20,3.6520,3.6520,3.6234,3.6520,18500
1995-01-23,3.6520,3.6520,3.6234,3.6234,40600
1995-01-24,3.5971,3.5971,3.5685,3.5685,30800
1995-01-25,3.5685,3.5971,3.5685,3.5685,9600
1995-01-26,3.5971,3.5971,3.5685,3.5685,10400
1995-01-27,3.5971,3.5971,3.5422,3.5971,17400
1995-01-30,3.5422,3.5685,3.5136,3.5422,21700
1995-01-31,3.5685,3.5971,3.5136,3.5136,16800
1995-02-01,3.5422,3.5422,3.4873,3.5422,15300
1995-02-02,3.5136,3.5422,3.5136,3.5422,7900
1995-02-03,3.5685,3.5971,3.5136,3.5971,35500
1995-02-06,3.5422,3.5971,3.5136,3.5136,54600
1995-02-07,3.5422,3.5971,3.5422,3.5422,6100
1995-02-08,3.5685,3.5685,3.5422,3.5685,15200
1995-02-09,3.5685,3.5685,3.5136,3.5136,25100
1995-02-10,3.5422,3.5422,3.5136,3.5136,11000
1995-02-13,3.5422,3.5685,3.5136,3.5422,9700
1995-02-14,3.5422,3.5422,3.5136,3.5136,8700
1995-02-15,3.5422,3.6234,3.5136,3.5685,33800
1995-02-16,3.5136,3.5685,3.5136,3.5422,10200
1995-02-17,3.5422,3.5685,3.4873,3.5136,24800
1995-02-21,3.4873,3.5422,3.4873,3.5136,10300
1995-02-22,3.5422,3.5422,3.4587,3.4873,28200
1995-02-23,3.4873,3.5685,3.4873,3.5422,10700
1995-02-24,3.5422,3.5685,3.5136,3.5685,10300
1995-02-27,3.5136,3.5685,3.5136,3.5136,52300
1995-02-28,3.4873,3.5136,3.4587,3.5136,58700
1995-03-01,3.4587,3.5422,3.4038,3.5422,56200
1995-03-02,3.5136,3.5422,3.4587,3.4587,18100
1995-03-03,3.4873,3.4873,3.4038,3.4587,39000
1995-03-06,3.4324,3.4873,3.4324,3.4587,47000
1995-03-07,3.4873,3.4873,3.4038,3.4038,8700
1995-03-08,3.4324,3.5136,3.3775,3.4324,207600
1995-03-09,3.4587,3.5422,3.4587,3.5136,56800
1995-03-10,3.5422,3.6520,3.5422,3.6234,106500
1995-03-13,3.6520,3.7618,3.5971,3.7069,88600
1995-03-14,3.7332,3.7618,3.7332,3.7332,69400
1995-03-15,3.7069,3.7332,3.6234,3.6520,51900
1995-03-16,3.6520,3.7069,3.6520,3.6520,23300
1995-03-17,3.7069,3.7332,3.7069,3.7332,44400
1995-03-20,3.7332,3.8167,3.7069,3.7332,51600
1995-03-21,3.7618,3.8167,3.7332,3.7332,83800
1995-03-22,3.7618,3.7881,3.7332,3.7332,58600
1995-03-23,3.7618,3.7881,3.7069,3.7881,79400
1995-03-24,3.8167,3.8167,3.7618,3.7881,54600
1995-03-27,3.8167,3.8167,3.7881,3.7881,23100
1995-03-28,3.8167,3.8430,3.7881,3.7881,127700
1995-03-29,3.8167,3.8167,3.7881,3.8167,32400
1995-03-30,3.7881,3.8167,3.7881,3.8167,20000
1995-03-31,3.7881,3.8167,3.7881,3.8167,35000
1995-04-03,3.8219,3.8511,3.7949,3.8219,9700
1995-04-04,3.8219,3.8511,3.7657,3.7657,179500
1995-04-05,3.7657,3.7949,3.7657,3.7657,11500
1995-04-06,3.7387,3.7949,3.7387,3.7657,18000
1995-04-07,3.7949,3.7949,3.7657,3.7949,9300
1995-04-10,3.7949,3.7949,3.7657,3.7949,10900
1995-04-11,3.7657,3.8219,3.7657,3.7657,14100
1995-04-12,3.8219,3.8219,3.7949,3.7949,13000
1995-04-13,3.7949,3.7949,3.7387,3.7657,19600
1995-04-17,3.7387,3.8219,3.7387,3.8219,22900
1995-04-18,3.8511,3.8511,3.8219,3.8219,18500
1995-04-19,3.8511,3.8511,3.7949,3.7949,27400
1995-04-20,3.7949,3.7949,3.7095,3.7095,35500
1995-04-21,3.7387,3.7387,3.7095,3.7095,1500
1995-04-24,3.7657,3.7949,3.7387,3.7387,8500
1995-04-25,3.7657,3.7949,3.7387,3.7949,7100
1995-04-26,3.7657,3.7657,3.7387,3.7387,4800
1995-04-27,3.7387,3.7949,3.7095,3.7949,20900
1995-04-28,3.7657,3.7657,3.6825,3.7657,18100
1995-05-01,3.7949,3.8219,3.7657,3.7949,35500
1995-05-02,3.7949,3.8781,3.7949,3.8511,60500
1995-05-03,3.8511,3.9073,3.8219,3.8781,50500
1995-05-04,3.8781,3.9073,3.8511,3.8781,79900
1995-05-05,3.9073,3.9635,3.9073,3.9343,55800
1995-05-08,3.9905,4.0197,3.9343,3.9635,99500
1995-05-09,3.9905,4.0197,3.9635,3.9905,102400
1995-05-10,3.9905,4.0197,3.9343,4.0197,128700
1995-05-11,4.0197,4.1029,4.0197,4.0467,86500
