"MacroTrends Data Download"
"BEP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2005-11-15,5.2224,5.3991,5.2106,5.2224,4200
2005-11-16,5.2735,5.2774,5.2185,5.2735,10650
2005-11-17,5.3677,5.3677,5.2577,5.3677,10500
2005-11-18,5.3520,5.3638,5.2852,5.3520,13950
2005-11-21,5.4462,5.4659,5.3873,5.4462,99600
2005-11-22,5.5444,5.5444,5.4109,5.5444,7800
2005-11-23,5.5365,5.5365,5.5130,5.5365,7500
2005-11-25,5.7996,5.7996,5.7996,5.7996,750
2005-11-28,6.0234,6.1255,5.7761,6.0234,10950
2005-11-29,6.0509,6.1530,6.0509,6.0509,8850
2005-11-30,6.4200,6.4200,6.1687,6.4200,4350
2005-12-01,6.2119,6.2119,6.0431,6.2119,7650
2005-12-02,6.1727,6.1727,6.1177,6.1727,3000
2005-12-05,6.0431,6.0431,6.0274,6.0431,2700
2005-12-06,6.0706,6.0706,6.0549,6.0706,600
2005-12-07,6.0706,6.0706,6.0706,6.0706,600
2005-12-08,6.0077,6.0274,5.9999,6.0077,3450
2005-12-09,6.0470,6.0745,5.9999,6.0470,3600
2005-12-12,6.1138,6.1138,6.0941,6.1138,3300
2005-12-13,6.1334,6.2001,6.1138,6.1334,4650
2005-12-14,6.2198,6.2198,6.1805,6.2198,3900
2005-12-15,6.2198,6.2198,6.2198,6.2198,3900
2005-12-16,6.1569,6.1569,6.1530,6.1569,4950
2005-12-19,6.1569,6.1569,6.1569,6.1569,900
2005-12-20,6.0941,6.0941,6.0941,6.0941,150
2005-12-21,6.1452,6.1727,6.0902,6.1452,7500
2005-12-22,6.0863,6.1530,6.0863,6.0863,450
