"MacroTrends Data Download"
"D - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1984-10-03,1.4961,1.5031,1.4961,1.4961,116001
1984-10-04,1.4961,1.5398,1.4961,1.4961,147600
1984-10-05,1.5031,1.5031,1.4961,1.4961,113400
1984-10-08,1.4961,1.5177,1.4885,1.4961,454401
1984-10-09,1.5107,1.5468,1.5031,1.5398,2133801
1984-10-10,1.5398,1.5614,1.5398,1.5398,375801
1984-10-11,1.5468,1.5539,1.5468,1.5539,314601
1984-10-12,1.5539,1.5760,1.5539,1.5684,1234200
1984-10-15,1.5614,1.5836,1.5539,1.5760,366000
1984-10-16,1.5760,1.5906,1.5614,1.5684,261600
1984-10-17,1.5614,1.5982,1.5539,1.5836,435000
1984-10-18,1.5836,1.6198,1.5836,1.6122,545601
1984-10-19,1.6198,1.6490,1.4663,1.6198,639600
1984-10-22,1.6052,1.6198,1.5982,1.5982,336201
1984-10-23,1.5982,1.6122,1.5906,1.5906,231201
1984-10-24,1.6052,1.6052,1.5982,1.6052,197400
1984-10-25,1.6052,1.6052,1.5906,1.5906,336201
1984-10-26,1.5906,1.5906,1.5684,1.5684,239601
1984-10-29,1.5836,1.5906,1.5614,1.5760,250401
1984-10-30,1.5684,1.5906,1.5684,1.5906,198600
1984-10-31,1.5906,1.5982,1.5836,1.5906,165801
1984-11-01,1.6052,1.6560,1.5982,1.6414,657600
1984-11-02,1.6490,1.7074,1.6414,1.6560,3378000
1984-11-05,1.6560,1.6782,1.6560,1.6782,311001
1984-11-06,1.6928,1.7074,1.6858,1.7074,532200
1984-11-07,1.7074,1.7074,1.6636,1.6782,639600
1984-11-08,1.6636,1.6636,1.6414,1.6560,172200
1984-11-09,1.6490,1.6712,1.6490,1.6560,178200
1984-11-12,1.6490,1.6636,1.6490,1.6636,789201
1984-11-13,1.6560,1.6712,1.6560,1.6560,497400
1984-11-14,1.6560,1.6636,1.6560,1.6636,287400
1984-11-15,1.6636,1.6712,1.6560,1.6636,285000
1984-11-16,1.6636,1.6712,1.6490,1.6490,1615200
1984-11-19,1.6490,1.6560,1.6344,1.6344,989400
1984-11-20,1.6414,1.6490,1.6274,1.6414,3180000
1984-11-21,1.6414,1.6560,1.6414,1.6414,2886201
1984-11-23,1.5982,1.6274,1.5982,1.6198,1119801
1984-11-26,1.6414,1.6490,1.6198,1.6344,188601
1984-11-27,1.6344,1.6490,1.6274,1.6414,660201
1984-11-28,1.6414,1.6560,1.6414,1.6490,553401
1984-11-29,1.6414,1.6490,1.6274,1.6274,350001
1984-11-30,1.6274,1.6344,1.6198,1.6344,209601
1984-12-03,1.6490,1.6490,1.6198,1.6490,1299000
1984-12-04,1.6560,1.6636,1.6414,1.6560,230400
1984-12-05,1.6490,1.6490,1.6414,1.6490,98001
1984-12-06,1.6414,1.6858,1.6274,1.6344,345801
1984-12-07,1.6344,1.6344,1.6274,1.6344,228000
1984-12-10,1.6274,1.6344,1.6198,1.6274,583800
1984-12-11,1.6344,1.6344,1.6274,1.6274,206001
1984-12-12,1.6344,1.6414,1.6198,1.6198,343800
1984-12-13,1.6198,1.6274,1.6052,1.6198,228000
1984-12-14,1.6274,1.6560,1.6198,1.6414,513801
1984-12-17,1.6414,1.6490,1.6344,1.6490,332001
1984-12-18,1.6490,1.6858,1.6490,1.6712,376800
1984-12-19,1.6712,1.6928,1.6712,1.6782,409401
1984-12-20,1.6858,1.6928,1.6782,1.6928,169800
1984-12-21,1.6928,1.6928,1.6414,1.6560,329400
1984-12-24,1.6490,1.6636,1.6490,1.6490,84000
1984-12-26,1.6560,1.6636,1.6414,1.6490,154800
1984-12-27,1.6414,1.6560,1.6414,1.6560,729801
1984-12-28,1.6560,1.6712,1.6490,1.6636,283800
1984-12-31,1.6858,1.6858,1.6560,1.6858,336600
1985-01-02,1.6782,1.6858,1.6636,1.6636,155001
1985-01-03,1.6490,1.6712,1.6490,1.6712,567801
1985-01-04,1.6560,1.6712,1.6560,1.6636,192000
1985-01-07,1.6712,1.7074,1.6636,1.6998,464001
1985-01-08,1.6928,1.6998,1.6858,1.6858,614001
1985-01-09,1.6858,1.6998,1.6858,1.6928,325200
1985-01-10,1.6928,1.7150,1.6928,1.7150,392400
1985-01-11,1.7150,1.7220,1.7074,1.7150,623400
1985-01-14,1.7074,1.7366,1.6998,1.7220,413001
1985-01-15,1.7150,1.7290,1.7150,1.7220,265200
1985-01-16,1.7150,1.7290,1.7074,1.7150,239400
1985-01-17,1.7074,1.7150,1.6928,1.7150,220800
1985-01-18,1.6998,1.7366,1.6998,1.7290,357201
1985-01-21,1.7220,1.7366,1.7220,1.7290,243600
1985-01-22,1.7290,1.7587,1.7220,1.7511,535401
1985-01-23,1.7366,1.7436,1.7290,1.7366,229401
1985-01-24,1.7290,1.7290,1.7074,1.7220,243600
1985-01-25,1.7074,1.7220,1.6998,1.7074,1801200
1985-01-28,1.6998,1.7074,1.6712,1.6858,1052001
1985-01-29,1.6782,1.7074,1.6782,1.7074,390600
1985-01-30,1.7074,1.7074,1.6998,1.7074,428400
1985-01-31,1.6928,1.6998,1.6858,1.6928,216600
1985-02-01,1.6782,1.6928,1.6636,1.6782,2178000
1985-02-04,1.6782,1.6928,1.6782,1.6782,243801
1985-02-05,1.6782,1.6928,1.6636,1.6636,228801
1985-02-06,1.6712,1.6782,1.6560,1.6560,214401
1985-02-07,1.6712,1.6782,1.6636,1.6782,357000
1985-02-08,1.6712,1.6858,1.6712,1.6782,394401
1985-02-11,1.6782,1.6928,1.6712,1.6712,486600
1985-02-12,1.6712,1.6782,1.6636,1.6636,459600
1985-02-13,1.6782,1.6858,1.6712,1.6782,287001
1985-02-14,1.6858,1.6858,1.6560,1.6636,571800
1985-02-15,1.6712,1.6782,1.6636,1.6782,203601
1985-02-19,1.6858,1.6928,1.6782,1.6858,672000
1985-02-20,1.6782,1.6858,1.6636,1.6858,1083000
1985-02-21,1.6636,1.6782,1.6636,1.6712,153000
1985-02-22,1.6782,1.6782,1.6636,1.6712,828000
1985-02-25,1.6198,1.6274,1.5982,1.5982,863001
1985-02-26,1.6052,1.6122,1.5836,1.5982,295401
1985-02-27,1.6052,1.6198,1.5982,1.6052,999801
1985-02-28,1.6052,1.6122,1.5982,1.6052,937200
1985-03-01,1.5982,1.6198,1.5982,1.6052,1131600
1985-03-04,1.5982,1.6052,1.5836,1.5906,806601
1985-03-05,1.5906,1.5982,1.5760,1.5760,375801
1985-03-06,1.5906,1.5982,1.5760,1.5906,131601
1985-03-07,1.5836,1.5906,1.5684,1.5836,5439000
1985-03-08,1.5906,1.5982,1.5836,1.5906,656601
1985-03-11,1.5836,1.6052,1.5836,1.5982,351000
1985-03-12,1.5982,1.6052,1.5906,1.5906,171600
1985-03-13,1.5906,1.5982,1.5836,1.5906,396201
1985-03-14,1.5906,1.5982,1.5836,1.5906,711201
1985-03-15,1.5906,1.6052,1.5906,1.5906,819801
1985-03-18,1.5982,1.6052,1.5982,1.6052,204600
1985-03-19,1.6122,1.6274,1.6052,1.6198,302601
1985-03-20,1.6198,1.6490,1.6198,1.6344,630000
1985-03-21,1.6490,1.6636,1.6344,1.6636,254601
