"MacroTrends Data Download"
"DUK - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1983-04-06,1.9069,1.9168,1.9069,1.9069,155700
1983-04-07,1.9275,1.9275,1.8962,1.9168,418700
1983-04-08,1.9168,1.9275,1.9168,1.9168,198700
1983-04-11,1.9168,1.9481,1.9168,1.9374,350500
1983-04-12,1.9481,1.9481,1.9275,1.9481,240400
1983-04-13,1.9374,1.9580,1.9275,1.9481,936300
1983-04-14,1.9374,1.9481,1.9168,1.9481,119500
1983-04-15,1.9481,1.9481,1.9275,1.9481,422800
1983-04-18,1.9481,1.9580,1.9374,1.9481,292500
1983-04-19,1.9481,1.9580,1.9374,1.9374,179200
1983-04-20,1.9580,1.9786,1.9481,1.9687,609100
1983-04-21,1.9687,1.9786,1.9374,1.9374,387000
1983-04-22,1.9374,1.9481,1.9168,1.9481,1195800
1983-04-25,1.9481,1.9580,1.9275,1.9481,131700
1983-04-26,1.9481,1.9580,1.9275,1.9580,474500
1983-04-27,1.9580,1.9687,1.9374,1.9374,729600
1983-04-28,1.9374,1.9481,1.9168,1.9275,1434200
1983-04-29,1.9275,1.9374,1.9069,1.9069,867000
1983-05-02,1.9069,1.9168,1.8962,1.9168,482300
1983-05-03,1.9168,1.9374,1.9069,1.9275,1038900
1983-05-04,1.9374,1.9481,1.9275,1.9481,174100
1983-05-05,1.9481,1.9580,1.9275,1.9481,915700
1983-05-06,1.9687,1.9786,1.9481,1.9786,331700
1983-05-09,1.9580,1.9687,1.8549,1.9481,707100
1983-05-10,1.9481,1.9580,1.9374,1.9580,1036600
1983-05-11,1.9580,1.9687,1.9481,1.9481,1592600
1983-05-12,1.9580,1.9687,1.9374,1.9481,551300
1983-05-13,1.9481,1.9580,1.9374,1.9374,2176300
1983-05-16,1.8863,1.8863,1.8756,1.8756,1662500
1983-05-17,1.8756,1.8863,1.8657,1.8756,368900
1983-05-18,1.8756,1.8863,1.8756,1.8863,382200
1983-05-19,1.8756,1.8863,1.8756,1.8863,232200
1983-05-20,1.8863,1.8863,1.8756,1.8863,293200
1983-05-23,1.8756,1.8863,1.8657,1.8863,460200
1983-05-24,1.8962,1.9275,1.8962,1.9168,422400
1983-05-25,1.9168,1.9168,1.8863,1.8863,630000
1983-05-26,1.8863,1.9168,1.8863,1.8962,320300
1983-05-27,1.8962,1.9069,1.8962,1.9069,113100
1983-05-31,1.8962,1.9069,1.8756,1.8962,963400
1983-06-01,1.8962,1.8962,1.8756,1.8863,569400
1983-06-02,1.8962,1.8962,1.8863,1.8962,673200
1983-06-03,1.9069,1.9069,1.8863,1.8962,370500
1983-06-06,1.8962,1.8962,1.8756,1.8863,388900
1983-06-07,1.8962,1.8962,1.8756,1.8863,307400
1983-06-08,1.8863,1.8863,1.8657,1.8657,780100
1983-06-09,1.8756,1.8756,1.8451,1.8549,670200
1983-06-10,1.8549,1.8657,1.8549,1.8657,187900
1983-06-13,1.8756,1.8863,1.8549,1.8863,67200
1983-06-14,1.8657,1.8863,1.8549,1.8657,276900
1983-06-15,1.8756,1.8756,1.8451,1.8756,143100
1983-06-16,1.8756,1.8863,1.8657,1.8756,349200
1983-06-17,1.8756,1.8962,1.8657,1.8863,301000
1983-06-20,1.8756,1.8863,1.8549,1.8657,307200
1983-06-21,1.8657,1.8756,1.7832,1.8657,757800
1983-06-22,1.8756,1.8756,1.8657,1.8756,616700
1983-06-23,1.8657,1.8756,1.8549,1.8657,216100
1983-06-24,1.8657,1.8756,1.8549,1.8549,130500
1983-06-27,1.8549,1.8657,1.8451,1.8657,175200
1983-06-28,1.8451,1.8657,1.8451,1.8657,537100
1983-06-29,1.8657,1.8756,1.8549,1.8657,428600
1983-06-30,1.8657,1.8756,1.8657,1.8756,176600
1983-07-01,1.8863,1.8863,1.8549,1.8549,241100
1983-07-05,1.8451,1.8657,1.8343,1.8549,1415400
1983-07-06,1.8657,1.8756,1.8549,1.8657,95900
1983-07-07,1.8756,1.8863,1.8657,1.8863,312900
1983-07-08,1.8756,1.8863,1.8756,1.8863,338800
1983-07-11,1.8863,1.9168,1.8756,1.9168,121600
1983-07-12,1.8962,1.9168,1.8863,1.8962,126600
1983-07-13,1.8863,1.9168,1.8863,1.9069,252300
1983-07-14,1.9168,1.9275,1.9069,1.9069,650000
1983-07-15,1.9069,1.9069,1.8962,1.8962,526800
1983-07-18,1.8962,1.9168,1.8962,1.9168,190200
1983-07-19,1.9069,1.9374,1.9069,1.9275,429900
1983-07-20,1.9374,1.9580,1.9374,1.9374,420300
1983-07-21,1.9481,1.9481,1.9275,1.9481,93600
1983-07-22,1.9374,1.9481,1.9275,1.9374,781500
1983-07-25,1.9275,1.9374,1.9168,1.9275,172300
1983-07-26,1.9275,1.9275,1.9168,1.9275,484100
1983-07-27,1.9275,1.9275,1.9069,1.9069,1094200
1983-07-28,1.9168,1.9168,1.8657,1.8657,108000
1983-07-29,1.8756,1.8756,1.8549,1.8756,1906900
1983-08-01,1.8657,1.8756,1.8451,1.8657,237900
1983-08-02,1.8863,1.9168,1.8863,1.8962,1225700
1983-08-03,1.8962,1.9069,1.8863,1.8962,864300
1983-08-04,1.8863,1.9069,1.8863,1.8863,1203600
1983-08-05,1.8962,1.8962,1.8657,1.8863,876700
1983-08-08,1.8657,1.8756,1.8549,1.8657,518500
1983-08-09,1.8549,1.8756,1.8549,1.8657,256000
1983-08-10,1.8549,1.9275,1.8451,1.8549,108700
1983-08-11,1.8549,1.8657,1.8451,1.8549,1037500
1983-08-12,1.8549,1.8756,1.8549,1.8657,1089800
1983-08-15,1.8244,1.8343,1.8137,1.8137,3027800
1983-08-16,1.8244,1.8244,1.8038,1.8137,304400
1983-08-17,1.8038,1.8137,1.7931,1.8137,1887600
1983-08-18,1.8137,1.8137,1.8038,1.8038,399000
1983-08-19,1.8137,1.8137,1.7931,1.8038,388600
1983-08-22,1.8038,1.8244,1.8038,1.8137,482900
1983-08-23,1.8137,1.8137,1.8038,1.8038,159900
1983-08-24,1.8137,1.8137,1.8038,1.8038,169700
1983-08-25,1.8038,1.8137,1.7931,1.8038,819100
1983-08-26,1.8137,1.8137,1.8038,1.8137,137600
1983-08-29,1.8038,1.8137,1.7931,1.8038,650000
1983-08-30,1.8038,1.8137,1.7931,1.8038,539400
1983-08-31,1.8038,1.8137,1.7931,1.8137,310400
1983-09-01,1.8137,1.8137,1.8038,1.8137,254000
1983-09-02,1.8137,1.8244,1.8137,1.8244,323200
1983-09-06,1.8343,1.8343,1.8244,1.8343,195900
1983-09-07,1.8343,1.8549,1.8244,1.8451,593100
1983-09-08,1.8451,1.8549,1.8343,1.8451,78000
1983-09-09,1.8549,1.8756,1.8451,1.8756,417500
1983-09-12,1.8863,1.9069,1.8756,1.8962,1065300
1983-09-13,1.8962,1.9069,1.8962,1.9069,134900
1983-09-14,1.9069,1.9168,1.8549,1.9069,103700
1983-09-15,1.9069,1.9069,1.8962,1.8962,106900
