"MacroTrends Data Download"
"FE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1997-11-10,8.0724,8.0724,7.8780,7.8968,947200
1997-11-11,7.8968,7.9752,7.8780,7.9344,514700
1997-11-12,7.9156,8.1131,7.8780,8.0347,344700
1997-11-13,8.0128,8.1319,8.0128,8.1131,1007700
1997-11-14,8.1131,8.1507,8.0535,8.1507,1394900
1997-11-17,8.1319,8.2291,8.1131,8.1915,706600
1997-11-18,8.1507,8.2699,8.1319,8.1695,625800
1997-11-19,8.1507,8.2291,8.1507,8.2291,342400
1997-11-20,8.2103,8.3482,8.2103,8.3075,558800
1997-11-21,8.3858,8.4266,8.3075,8.4266,640800
1997-11-24,8.3482,8.4642,8.3075,8.4642,330800
1997-11-25,8.4047,8.5426,8.3858,8.5050,1021000
1997-11-26,8.5238,8.5238,8.4266,8.4266,488700
1997-11-28,8.4642,8.4642,8.4266,8.4642,244200
1997-12-01,8.4642,8.5833,8.4454,8.5833,836200
1997-12-02,8.5426,8.5833,8.4830,8.5050,437800
1997-12-03,8.5426,8.5426,8.4266,8.5050,338400
1997-12-04,8.5426,8.6805,8.4830,8.5833,1405800
1997-12-05,8.5050,8.7401,8.5050,8.5614,362500
1997-12-08,8.5833,8.6021,8.5050,8.5614,312900
1997-12-09,8.5238,8.5614,8.4454,8.5238,365300
1997-12-10,8.6021,8.6210,8.5238,8.5614,354100
1997-12-11,8.5426,8.5614,8.4454,8.5050,199600
1997-12-12,8.5426,8.5614,8.4642,8.5238,680500
1997-12-15,8.5238,8.6398,8.5238,8.6210,489500
1997-12-16,8.6210,8.6398,8.5833,8.6021,310200
1997-12-17,8.6398,8.6398,8.5614,8.6021,386100
1997-12-18,8.6021,8.7181,8.5833,8.7181,1640900
1997-12-19,8.7181,8.8749,8.6805,8.8749,2164100
1997-12-22,8.8749,9.0316,8.8749,8.9752,851400
1997-12-23,8.9156,9.0128,8.8749,8.9344,493200
1997-12-24,8.9533,8.9940,8.9156,8.9752,92200
1997-12-26,8.9533,8.9752,8.7965,8.8561,215300
1997-12-29,8.8561,9.0128,8.8185,8.9533,280800
1997-12-30,8.9752,9.0316,8.9344,9.0316,268600
1997-12-31,8.9752,9.0912,8.9533,9.0912,482900
1998-01-02,9.0128,9.0724,8.9344,9.0536,317200
1998-01-05,8.9940,9.0630,8.8373,8.8968,734200
1998-01-06,8.8561,8.9533,8.8561,8.9533,1507800
1998-01-07,8.9156,8.9156,8.7965,8.9156,724000
1998-01-08,8.8749,8.9156,8.7965,8.8968,461600
1998-01-09,8.8749,8.9533,8.8185,8.8749,863900
1998-01-12,8.7401,9.0128,8.7401,9.0128,679200
1998-01-13,9.0128,9.0128,8.8968,8.9156,1065600
1998-01-14,8.9156,8.9156,8.8185,8.9156,348700
1998-01-15,8.8749,8.8968,8.8561,8.8561,638200
1998-01-16,8.9344,8.9344,8.8561,8.8968,488700
1998-01-20,8.8968,8.9344,8.7777,8.9344,344700
1998-01-21,8.9344,9.0128,8.8561,8.9344,464300
1998-01-22,8.9156,8.9344,8.8561,8.9344,421800
1998-01-23,8.9156,8.9344,8.8373,8.8749,320800
1998-01-26,8.8561,8.9752,8.8561,8.9752,1019500
1998-01-27,8.9752,9.0536,8.9533,8.9752,415700
1998-01-28,8.9533,9.0912,8.9344,9.0724,325800
1998-01-29,9.0724,9.2479,9.0128,9.2291,1813100
1998-01-30,9.2103,9.2479,9.0912,9.0912,283500
1998-02-02,9.2479,9.2887,9.0536,9.0912,1120100
1998-02-03,9.0128,9.2291,9.0128,9.2291,2424000
1998-02-04,9.1704,9.2879,9.1704,9.2276,544800
1998-02-05,9.2276,9.3482,9.1895,9.2879,854100
1998-02-06,9.2879,9.4879,9.2879,9.3863,415100
1998-02-09,9.3673,9.3863,9.3069,9.3292,553000
1998-02-10,9.2879,9.3482,9.2498,9.2879,329000
1998-02-11,9.2688,9.3069,9.2498,9.2879,407900
1998-02-12,9.2688,9.3482,9.2085,9.3292,436400
1998-02-13,9.3292,9.4276,9.2688,9.4086,241300
1998-02-17,9.4086,9.4657,9.2276,9.2879,336100
1998-02-18,9.2879,9.3482,9.2688,9.2688,320700
1998-02-19,9.2688,9.2879,9.2085,9.2879,510000
1998-02-20,9.3069,9.3069,9.1704,9.2276,392600
1998-02-23,9.2498,9.2498,9.1291,9.2085,553700
1998-02-24,9.1895,9.2085,9.0497,9.1291,367100
1998-02-25,9.2085,9.2498,9.1101,9.2085,268300
1998-02-26,9.1704,9.2085,9.0910,9.1482,396700
1998-02-27,9.1101,9.1895,9.0910,9.1895,452600
1998-03-02,9.1895,9.2498,9.1482,9.1704,345700
1998-03-03,9.1704,9.2276,9.1101,9.2276,368100
1998-03-04,9.1895,9.3069,9.1482,9.3069,281500
1998-03-05,9.2688,9.2879,9.1895,9.2276,389700
1998-03-06,9.2276,9.4276,9.2276,9.4276,380900
1998-03-09,9.3673,9.4879,9.3292,9.4657,419800
1998-03-10,9.4657,9.6245,9.4467,9.6054,308900
1998-03-11,9.9182,9.9379,9.7969,9.8166,279000
1998-03-12,9.8166,9.8986,9.7969,9.8559,284400
1998-03-13,9.8559,9.8559,9.7543,9.8166,669000
1998-03-16,9.8166,9.9379,9.7346,9.9379,275300
1998-03-17,9.9379,10.0625,9.8986,10.0428,386300
1998-03-18,10.0199,10.0199,9.9182,9.9805,247600
1998-03-19,9.9379,10.0002,9.8559,10.0002,455000
1998-03-20,10.0002,10.1641,9.9379,10.1018,528200
1998-03-23,10.0625,10.1445,10.0428,10.0822,261700
1998-03-24,10.1248,10.1248,9.9805,10.0428,671300
1998-03-25,10.1248,10.1838,10.0002,10.1641,326700
1998-03-26,10.1838,10.2264,10.0625,10.1248,785200
1998-03-27,10.1445,10.1445,10.0002,10.0002,364100
1998-03-30,9.9609,10.0428,9.9182,9.9379,359500
1998-03-31,9.9609,10.3707,9.9609,10.1018,722600
1998-04-01,10.1445,10.1838,10.0428,10.1445,214900
1998-04-02,10.1445,10.2461,10.1248,10.2461,180500
1998-04-03,10.2068,10.3084,10.1641,10.2264,1067300
1998-04-06,10.2887,10.3477,10.1018,10.1445,462900
1998-04-07,10.1248,10.1445,10.0428,10.0822,397400
1998-04-08,10.0428,10.1838,9.9609,10.0199,309800
1998-04-09,10.0002,10.1641,9.9805,10.1641,459800
1998-04-13,10.2264,10.2264,10.0428,10.1018,326800
1998-04-14,10.1248,10.2887,10.1018,10.2461,528400
1998-04-15,10.2461,10.4527,10.2068,10.4297,471500
1998-04-16,10.3707,10.3707,10.1838,10.2264,426300
1998-04-17,10.2461,10.3281,10.1641,10.3281,214900
1998-04-20,10.2461,10.2658,10.0428,10.1445,220100
1998-04-21,10.0625,10.1445,9.9379,10.1248,400900
1998-04-22,10.0822,10.1445,10.0625,10.0822,204000
1998-04-23,10.0002,10.0428,9.8166,9.8559,688400
1998-04-24,9.8363,9.9805,9.7969,9.8363,233800
1998-04-27,9.7543,9.7904,9.6100,9.6920,431200
