"MacroTrends Data Download"
"NEOV - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2022-06-16,4.8500,4.8500,4.1000,4.3900,30237
2022-06-17,4.2000,4.4400,4.0000,4.2400,11464
2022-09-22,4.8500,4.9700,4.6000,4.7500,26855
2022-09-23,4.5948,4.9300,4.5100,4.7200,37589
2022-09-26,4.9200,4.9200,4.6100,4.7800,33803
2022-09-27,4.7800,4.8500,4.6500,4.8300,44155
2022-09-28,4.7900,4.7900,4.5200,4.5200,25565
2022-09-29,4.6400,4.8000,4.5800,4.8000,28792
2022-09-30,4.8000,5.1600,4.8000,5.0300,45277
2022-10-03,5.0000,5.3600,4.7800,4.8600,97522
2022-10-04,4.8000,5.2000,4.8000,5.0800,54862
2022-10-05,5.2000,5.2800,5.1200,5.1200,66951
2022-10-06,5.2500,5.2600,5.0100,5.0800,32268
2022-10-07,5.1700,5.2400,4.4900,4.4900,44133
2022-10-10,4.7700,5.0500,4.6800,4.8000,39569
2022-10-11,4.8000,4.9337,4.6100,4.6100,29834
2022-10-12,4.3300,4.7300,4.3300,4.4500,32322
2022-10-13,4.9400,5.0000,4.5500,4.7300,15002
2022-10-14,4.9900,4.9900,4.5600,4.5600,33515
2022-10-17,4.6000,4.7200,4.5800,4.6300,23178
2022-10-18,4.8500,4.9600,4.7225,4.8100,15920
2022-10-19,4.9000,4.9000,4.5800,4.5800,18951
2022-10-20,4.7000,4.7750,4.5900,4.6000,14715
2022-10-21,4.6000,4.6922,4.6000,4.6500,7139
2022-10-24,4.7400,4.7400,4.5527,4.6200,7608
2022-10-25,4.6500,4.6500,4.2800,4.4100,43941
2022-10-26,4.4800,4.4800,4.2518,4.2800,19100
2022-10-27,4.3000,4.3000,3.8600,4.0300,74568
2022-10-28,3.9000,4.0300,3.9000,3.9300,17717
2022-10-31,3.9500,4.0400,3.7700,3.7700,33491
2022-11-01,3.8000,3.9900,3.8000,3.9000,14917
2022-11-02,4.0400,4.0400,3.8100,3.9000,14334
2022-11-03,3.8100,4.3000,3.8100,4.2700,73427
2022-11-04,4.2700,4.3000,4.1000,4.2500,26988
2022-11-07,4.1500,4.3000,4.1098,4.1800,2645
2022-11-08,4.2000,4.2000,3.8600,3.9900,5385
2022-11-09,4.0000,4.0000,3.6000,3.7200,24161
2022-11-10,3.7200,3.9441,3.7200,3.7800,16880
2022-11-11,3.8500,4.2000,3.6500,4.1200,26799
2022-11-14,4.2000,4.2000,3.9550,4.1500,8982
2022-11-15,4.1400,4.1400,3.9000,3.9000,22583
2022-11-16,3.9000,4.0200,3.9000,3.9000,11687
2022-11-17,3.9000,4.0200,3.9000,3.9450,17283
2022-11-18,4.0200,4.0200,3.9200,3.9200,13546
2022-11-21,4.0200,4.1900,3.8000,3.8000,17358
2022-11-22,3.8600,3.8750,3.7500,3.7500,8295
2022-11-23,3.8700,3.9323,3.7900,3.8200,13031
2022-11-25,3.8500,3.8500,3.6600,3.7650,3542
2022-11-28,3.5800,3.7100,3.5700,3.6500,15121
2022-11-29,3.6400,3.9333,3.5000,3.5400,14365
2022-11-30,3.6100,3.7257,3.5200,3.5550,12973
2022-12-01,3.6000,3.6000,3.5000,3.5001,36184
2022-12-02,3.5300,3.9367,3.5000,3.6500,44653
2022-12-05,3.6400,3.6442,3.5200,3.5600,6268
2022-12-06,3.6200,3.6200,3.5000,3.5500,5215
2022-12-07,3.5500,3.5500,3.2600,3.2601,5423
2022-12-08,3.2700,3.2800,2.8000,2.9200,47449
2022-12-09,2.9400,3.4500,2.4900,3.2000,96548
