"MacroTrends Data Download"
"PCG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1972-06-01,3.7706,3.7786,3.7612,3.7786,40400
1972-06-02,3.7786,3.7960,3.7612,3.7960,25400
1972-06-05,3.7960,3.7960,3.7452,3.7612,142800
1972-06-06,3.7612,3.7612,3.7291,3.7452,63000
1972-06-07,3.7452,3.7452,3.6943,3.7291,48000
1972-06-08,3.7291,3.7452,3.7117,3.7117,17800
1972-06-09,3.7117,3.7291,3.6783,3.6943,71600
1972-06-12,3.6943,3.7117,3.6622,3.6622,30600
1972-06-13,3.6622,3.6783,3.6275,3.6449,47800
1972-06-14,3.6449,3.6449,3.5780,3.5780,49400
1972-06-15,3.6114,3.6622,3.6114,3.6449,42400
1972-06-16,3.6449,3.6943,3.6449,3.6622,33800
1972-06-19,3.6622,3.6622,3.6114,3.6449,11400
1972-06-20,3.6449,3.7291,3.6275,3.6943,27600
1972-06-21,3.6943,3.7291,3.6783,3.6783,36200
1972-06-22,3.6783,3.7291,3.6449,3.6783,48400
1972-06-23,3.6783,3.7291,3.6449,3.6449,37800
1972-06-26,3.6449,3.6622,3.5606,3.6114,43000
1972-06-27,3.6114,3.6275,3.5606,3.5780,37400
1972-06-28,3.5780,3.5954,3.5445,3.5606,62200
1972-06-29,3.5606,3.5954,3.5445,3.5954,36200
1972-06-30,3.5954,3.5954,3.5606,3.5780,27400
1972-07-03,3.5780,3.6449,3.5606,3.6449,97200
1972-07-05,3.6449,3.6783,3.6275,3.6622,111000
1972-07-06,3.6622,3.7117,3.6449,3.6783,99200
1972-07-07,3.6783,3.7291,3.6783,3.7291,23600
1972-07-10,3.7291,3.7786,3.6943,3.7452,41400
1972-07-11,3.7452,3.7786,3.6943,3.6943,28800
1972-07-12,3.6943,3.7117,3.6783,3.7117,34800
1972-07-13,3.6943,3.6943,3.6622,3.6943,39800
1972-07-14,3.6943,3.6943,3.6622,3.6622,15800
1972-07-17,3.6622,3.6783,3.6114,3.6275,24800
1972-07-18,3.6275,3.6449,3.5780,3.5954,27800
1972-07-19,3.5954,3.6622,3.5954,3.6114,24200
1972-07-20,3.5954,3.5954,3.5285,3.5780,33800
1972-07-21,3.5780,3.6114,3.5606,3.5954,80800
1972-07-24,3.5954,3.5954,3.5606,3.5954,33200
1972-07-25,3.5954,3.5954,3.5606,3.5954,46000
1972-07-26,3.5954,3.5954,3.5606,3.5780,65600
1972-07-27,3.5780,3.5954,3.5606,3.5606,26200
1972-07-28,3.5606,3.5780,3.5606,3.5780,28400
1972-07-31,3.5780,3.6275,3.5780,3.6114,37400
1972-08-01,3.6114,3.6275,3.5780,3.6275,49400
1972-08-02,3.6275,3.6783,3.6114,3.6114,48600
1972-08-03,3.6114,3.6622,3.6114,3.6449,27800
1972-08-04,3.6449,3.6449,3.6114,3.6449,36600
1972-08-07,3.6449,3.6622,3.6114,3.6449,19600
1972-08-08,3.6275,3.6275,3.5954,3.6114,23200
1972-08-09,3.6114,3.6275,3.5954,3.6114,24600
1972-08-10,3.6114,3.6275,3.5780,3.5954,31200
1972-08-11,3.5954,3.6449,3.5954,3.6275,67200
1972-08-14,3.6275,3.6449,3.6275,3.6449,17000
1972-08-15,3.6449,3.7291,3.6275,3.6943,46200
1972-08-16,3.6943,3.7117,3.6783,3.7117,17400
1972-08-17,3.7117,3.7960,3.7117,3.7960,10600
1972-08-18,3.8281,4.0127,3.8281,3.9619,44000
1972-08-21,3.9619,4.0287,3.9124,3.9619,37000
1972-08-22,3.9619,4.0127,3.9619,4.0127,37200
1972-08-23,4.0127,4.0287,3.9966,4.0127,39600
1972-08-24,4.0127,4.0635,3.9792,3.9792,53200
1972-08-25,3.9792,3.9792,3.9124,3.9298,268200
1972-08-28,3.9298,3.9458,3.8629,3.8629,21400
1972-08-29,3.8629,3.9124,3.8120,3.9124,42400
1972-08-30,3.9124,3.9298,3.8455,3.8950,94200
1972-08-31,3.8950,3.9458,3.8950,3.9298,13600
1972-09-01,3.9298,3.9298,3.8950,3.9298,20000
1972-09-05,3.9298,3.9619,3.8950,3.9458,46000
1972-09-06,3.9458,3.9458,3.9124,3.9298,20400
1972-09-07,3.9298,3.9458,3.9124,3.9124,12000
1972-09-08,3.9124,3.9298,3.9124,3.9298,8200
1972-09-11,3.9298,3.9298,3.8789,3.9124,17800
1972-09-12,3.8950,3.8950,3.8629,3.8950,41200
1972-09-13,3.8950,3.8950,3.8629,3.8629,82800
1972-09-14,3.8629,3.8629,3.7960,3.7960,127600
1972-09-15,3.7960,3.8281,3.7612,3.8120,13200
1972-09-18,3.8120,3.8120,3.7960,3.8120,15000
1972-09-19,3.8120,3.8120,3.7612,3.7960,122400
1972-09-20,3.7960,3.8629,3.7786,3.8120,34600
1972-09-21,3.8120,3.8789,3.8120,3.8455,134600
1972-09-22,3.8455,3.8950,3.8455,3.8950,51800
1972-09-25,3.8950,3.9619,3.8950,3.9124,19800
1972-09-26,3.9124,3.9619,3.8950,3.9124,20000
1972-09-27,3.9124,3.9966,3.8950,3.9966,41800
1972-09-28,3.9966,3.9966,3.9298,3.9792,10600
1972-09-29,3.9619,3.9619,3.9124,3.9298,123800
1972-10-02,3.9298,3.9619,3.9124,3.9298,11200
1972-10-03,3.9298,3.9458,3.8950,3.9458,15600
1972-10-04,3.9458,3.9458,3.8950,3.9298,15800
1972-10-05,3.9298,3.9619,3.9124,3.9619,14400
1972-10-06,3.9619,3.9619,3.9124,3.9458,16400
1972-10-09,3.9458,3.9619,3.9124,3.9124,10400
1972-10-10,3.9124,3.9298,3.9124,3.9298,11600
1972-10-11,3.9298,3.9966,3.9124,3.9792,19400
1972-10-12,3.9792,3.9966,3.9619,3.9792,50800
1972-10-13,3.9792,3.9966,3.9792,3.9792,12800
1972-10-16,3.9792,3.9966,3.9619,3.9792,14400
1972-10-17,3.9792,4.0127,3.9792,4.0127,128800
1972-10-18,4.0127,4.0127,3.9619,3.9792,26000
1972-10-19,3.9792,3.9966,3.9619,3.9792,143400
1972-10-20,3.9792,3.9966,3.9619,3.9966,10400
1972-10-23,3.9966,4.0635,3.9619,4.0635,63000
1972-10-24,4.0635,4.0635,4.0127,4.0287,46800
1972-10-25,4.0287,4.0461,4.0287,4.0287,15000
1972-10-26,4.0287,4.0796,4.0287,4.0635,37200
1972-10-27,4.1304,4.1799,4.1304,4.1464,43000
1972-10-30,4.1799,4.3136,4.1799,4.2802,78400
1972-10-31,4.2802,4.3136,4.2802,4.2962,56000
1972-11-01,4.2962,4.3136,4.2294,4.2468,65800
1972-11-02,4.2468,4.2641,4.1973,4.2133,26800
1972-11-03,4.2133,4.2133,4.1799,4.1973,54800
1972-11-06,4.1973,4.2294,4.1464,4.1625,23600
1972-11-08,4.1625,4.2133,4.1464,4.1625,55000
1972-11-09,4.1464,4.1464,4.0635,4.0956,14400
1972-11-10,4.0956,4.1130,4.0461,4.0796,50400
1972-11-13,4.0796,4.0956,4.0461,4.0956,71000
1972-11-14,4.0956,4.1130,4.0635,4.1130,52400
1972-11-15,4.1130,4.1464,4.1130,4.1304,50200
1972-11-16,4.1464,4.1973,4.1464,4.1973,55400
1972-11-17,4.1973,4.2641,4.1464,4.2468,54000
1972-11-20,4.2468,4.2962,4.2468,4.2802,50400
1972-11-21,4.2962,4.3471,4.2962,4.3310,63000
1972-11-22,4.3310,4.3631,4.2962,4.3471,23000
1972-11-24,4.3471,4.3631,4.3136,4.3631,31600
1972-11-27,4.3631,4.3631,4.2802,4.2962,42200
1972-11-28,4.2962,4.3310,4.2962,4.2962,29000
1972-11-29,4.2962,4.3310,4.2962,4.3310,12400
1972-11-30,4.3310,4.3310,4.2802,4.3310,29000
1972-12-01,4.3310,4.3631,4.3136,4.3631,39400
1972-12-04,4.3631,4.3631,4.3310,4.3471,17200
1972-12-05,4.3471,4.3631,4.3136,4.3310,31800
1972-12-06,4.3310,4.3310,4.2641,4.3136,35400
1972-12-07,4.3310,4.3979,4.3310,4.3805,47800
1972-12-08,4.3805,4.4140,4.3805,4.3805,28400
1972-12-11,4.3805,4.3979,4.3631,4.3805,40600
1972-12-12,4.3805,4.4300,4.3805,4.4140,32200
1972-12-13,4.4300,4.4648,4.4300,4.4300,41800
1972-12-14,4.4300,4.4300,4.4140,4.4140,35600
1972-12-15,4.4140,4.4300,4.3979,4.4140,37400
1972-12-18,4.3979,4.3979,4.3631,4.3631,11600
1972-12-19,4.3631,4.3805,4.3310,4.3471,26800
1972-12-20,4.3471,4.3631,4.2962,4.3136,19400
1972-12-21,4.3136,4.3310,4.2962,4.2962,40200
1972-12-22,4.2962,4.3136,4.2802,4.2802,10800
1972-12-26,4.2802,4.2962,4.2468,4.2962,26600
1972-12-27,4.2962,4.3471,4.2802,4.2962,27200
1972-12-29,4.3310,4.4140,4.3310,4.3631,83000
1973-01-02,4.3631,4.3631,4.3310,4.3471,45000
1973-01-03,4.3471,4.3631,4.3310,4.3471,18800
1973-01-04,4.3471,4.3471,4.2641,4.3310,65000
1973-01-05,4.3310,4.3310,4.2294,4.2294,22600
1973-01-08,4.2294,4.2294,4.1304,4.1625,29600
1973-01-09,4.1625,4.1973,4.1464,4.1799,39600
1973-01-10,4.1799,4.1973,4.1625,4.1625,71800
1973-01-11,4.1625,4.1973,4.1625,4.1973,33800
1973-01-12,4.1973,4.2294,4.1973,4.2133,27400
1973-01-15,4.2133,4.2294,4.1799,4.1799,31200
1973-01-16,4.1799,4.1973,4.1464,4.1625,80600
1973-01-17,4.1625,4.2133,4.1464,4.1464,25000
1973-01-18,4.1464,4.1973,4.1130,4.1130,63800
1973-01-19,4.1130,4.1464,4.1130,4.1130,13400
1973-01-22,4.1130,4.1304,4.0796,4.0796,26200
1973-01-23,4.0796,4.0796,4.0287,4.0461,35200
1973-01-24,4.0461,4.0635,3.9966,3.9966,26600
1973-01-26,3.9966,3.9966,3.9458,3.9792,32200
1973-01-29,3.9792,3.9966,3.9619,3.9619,23200
1973-01-30,3.9619,3.9792,3.9458,3.9619,13200
1973-01-31,3.9619,3.9966,3.9124,3.9124,48200
1973-02-01,3.9298,4.0127,3.9298,3.9966,88800
1973-02-02,3.9966,4.0127,3.9458,3.9792,72200
1973-02-05,3.9792,3.9966,3.9458,3.9792,11400
1973-02-06,3.9792,3.9792,3.9458,3.9619,38200
1973-02-07,3.9619,4.0127,3.9458,3.9619,14800
1973-02-08,3.9619,3.9619,3.9298,3.9458,14200
1973-02-09,3.9458,3.9792,3.9458,3.9619,19400
1973-02-12,3.9619,3.9966,3.9619,3.9619,25000
1973-02-13,3.9619,3.9966,3.9619,3.9619,32400
1973-02-14,3.9619,3.9619,3.9298,3.9298,32000
1973-02-15,3.9298,3.9458,3.8950,3.9298,21400
1973-02-16,3.9298,3.9298,3.8950,3.8950,10200
1973-02-20,3.8950,3.9124,3.8789,3.8950,70400
1973-02-21,3.8950,3.8950,3.8629,3.8789,37000
1973-02-22,3.8629,3.8629,3.8281,3.8281,18000
1973-02-23,3.8281,3.8455,3.8120,3.8281,19800
1973-02-26,3.8281,3.8281,3.8120,3.8281,14600
1973-02-27,3.8281,3.8281,3.8120,3.8281,24400
1973-02-28,3.7612,3.7612,3.7452,3.7452,36000
1973-03-01,3.7452,3.7612,3.7452,3.7612,86400
1973-03-02,3.7117,3.7117,3.6622,3.6943,97000
1973-03-05,3.6943,3.6943,3.6622,3.6943,36000
1973-03-06,3.6943,3.6943,3.6275,3.6275,35800
1973-03-07,3.6114,3.6114,3.5954,3.6114,31000
1973-03-08,3.6114,3.6114,3.5954,3.6114,31600
1973-03-09,3.6114,3.6114,3.5954,3.6114,29000
1973-03-12,3.6114,3.6449,3.5954,3.6275,119600
1973-03-13,3.6275,3.6449,3.6114,3.6275,68400
1973-03-14,3.6275,3.6783,3.6275,3.6783,90000
1973-03-15,3.6783,3.6783,3.6449,3.6783,102400
1973-03-16,3.6783,3.6783,3.6622,3.6783,34800
1973-03-19,3.6783,3.6783,3.6449,3.6622,51000
1973-03-20,3.6622,3.6622,3.6449,3.6622,50000
1973-03-21,3.6622,3.6622,3.6114,3.6275,77800
1973-03-22,3.6275,3.6275,3.5954,3.6114,74800
1973-03-23,3.6114,3.6275,3.5780,3.5954,83600
1973-03-26,3.5954,3.6114,3.5606,3.6114,89800
1973-03-27,3.6114,3.6783,3.6114,3.6783,121600
1973-03-28,3.6783,3.6943,3.6622,3.6943,79800
1973-03-29,3.6943,3.7117,3.6783,3.7117,46000
1973-03-30,3.7117,3.7117,3.6943,3.7117,24000
1973-04-02,3.7117,3.7117,3.6783,3.7117,109800
1973-04-03,3.7117,3.7117,3.6783,3.6943,25400
1973-04-04,3.6943,3.6943,3.6622,3.6622,46200
1973-04-05,3.6622,3.6783,3.6449,3.6783,19400
1973-04-06,3.6783,3.6943,3.6449,3.6943,16000
1973-04-09,3.6943,3.6943,3.6783,3.6783,24600
1973-04-10,3.6943,3.7291,3.6943,3.7291,50400
1973-04-11,3.7291,3.7786,3.7291,3.7612,102000
1973-04-12,3.7612,3.7960,3.7452,3.7786,37400
1973-04-13,3.7786,3.7960,3.7786,3.7786,30000
1973-04-16,3.7786,3.7960,3.7452,3.7452,23600
1973-04-17,3.7452,3.7612,3.7291,3.7452,23000
1973-04-18,3.7452,3.7612,3.7291,3.7291,31600
1973-04-19,3.7452,3.7786,3.7452,3.7452,24200
1973-04-23,3.7452,3.7960,3.7452,3.7452,20200
1973-04-24,3.7452,3.7786,3.7452,3.7452,11000
1973-04-25,3.7452,3.7452,3.7117,3.7291,10800
1973-04-26,3.7291,3.7452,3.6943,3.6943,28000
1973-04-27,3.6943,3.7291,3.6783,3.6943,30200
1973-04-30,3.6943,3.7117,3.6783,3.7117,41000
1973-05-01,3.7117,3.7291,3.6943,3.7117,24200
1973-05-02,3.7117,3.7612,3.6943,3.7612,22400
1973-05-03,3.7612,3.7960,3.7291,3.7960,15400
1973-05-04,3.7960,3.8281,3.7786,3.8281,28800
1973-05-07,3.8281,3.8455,3.8120,3.8455,20400
1973-05-08,3.8455,3.8629,3.8281,3.8629,15400
1973-05-09,3.8455,3.8455,3.8281,3.8281,47600
1973-05-10,3.8281,3.8281,3.7786,3.8120,57400
1973-05-11,3.8120,3.8120,3.7786,3.7960,11000
1973-05-14,3.7786,3.7786,3.7452,3.7452,37400
1973-05-15,3.7452,3.8120,3.7452,3.7960,28000
1973-05-16,3.7960,3.8281,3.7960,3.8120,25800
1973-05-17,3.7960,3.7960,3.7612,3.7612,43800
1973-05-18,3.7612,3.7786,3.7452,3.7452,21800
