"MacroTrends Data Download"
"PEG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-01-02,0.9739,0.9866,0.9739,0.9739,61800
1980-01-03,0.9739,0.9866,0.9739,0.9805,82401
1980-01-04,0.9805,0.9866,0.9739,0.9866,41001
1980-01-07,0.9866,0.9866,0.9739,0.9866,36600
1980-01-08,0.9866,0.9933,0.9739,0.9805,46200
1980-01-09,0.9805,0.9866,0.9678,0.9739,288201
1980-01-10,0.9739,0.9805,0.9678,0.9739,35001
1980-01-11,0.9739,0.9805,0.9678,0.9678,59400
1980-01-14,0.9678,0.9805,0.9678,0.9678,52401
1980-01-15,0.9678,0.9739,0.9678,0.9678,62001
1980-01-16,0.9678,0.9739,0.9678,0.9739,72801
1980-01-17,0.9739,0.9805,0.9617,0.9678,218601
1980-01-18,0.9678,0.9678,0.9423,0.9484,157200
1980-01-21,0.9484,0.9551,0.9169,0.9235,132801
1980-01-22,0.9235,0.9423,0.9169,0.9296,86001
1980-01-23,0.9296,0.9423,0.9296,0.9296,46200
1980-01-24,0.9296,0.9362,0.9235,0.9235,83400
1980-01-25,0.9235,0.9296,0.9102,0.9169,239601
1980-01-28,0.9169,0.9362,0.9169,0.9169,127200
1980-01-29,0.9169,0.9362,0.9169,0.9296,80001
1980-01-30,0.9296,0.9296,0.8975,0.9041,314601
1980-01-31,0.9041,0.9102,0.9041,0.9102,62001
1980-02-01,0.9102,0.9169,0.9041,0.9102,55401
1980-02-04,0.9102,0.9235,0.9102,0.9235,220200
1980-02-05,0.9169,0.9169,0.8975,0.9041,178401
1980-02-06,0.9041,0.9102,0.8975,0.9102,54801
1980-02-07,0.9102,0.9169,0.9041,0.9102,142200
1980-02-08,0.9102,0.9296,0.9041,0.9169,129600
1980-02-11,0.9169,0.9169,0.8914,0.8975,115401
1980-02-12,0.8975,0.8975,0.8532,0.8659,169401
1980-02-13,0.8659,0.8853,0.8659,0.8720,289200
1980-02-14,0.8720,0.8787,0.8659,0.8720,57600
1980-02-15,0.8720,0.8720,0.8598,0.8659,161601
1980-02-19,0.8659,0.8659,0.8404,0.8404,209001
1980-02-20,0.8404,0.8471,0.8277,0.8404,179601
1980-02-21,0.8404,0.8532,0.8338,0.8471,145401
1980-02-22,0.8471,0.8471,0.8277,0.8471,150801
1980-02-25,0.8211,0.8211,0.8022,0.8211,112200
1980-02-26,0.8211,0.8277,0.8150,0.8211,88800
1980-02-27,0.8211,0.8211,0.8150,0.8150,183801
1980-02-28,0.8150,0.8211,0.8089,0.8089,99801
1980-02-29,0.8089,0.8659,0.8089,0.8659,98601
1980-03-03,0.8659,0.8659,0.8277,0.8471,88401
1980-03-04,0.8277,0.8277,0.8089,0.8277,112200
1980-03-05,0.8277,0.8338,0.8022,0.8089,174600
1980-03-06,0.8089,0.8089,0.7895,0.8022,97800
1980-03-07,0.8022,0.8089,0.7895,0.8022,103800
1980-03-10,0.8150,0.8404,0.8150,0.8338,98001
1980-03-11,0.8338,0.8659,0.8338,0.8598,83400
1980-03-12,0.8598,0.8720,0.8277,0.8404,237000
1980-03-13,0.8338,0.8338,0.8211,0.8277,88800
1980-03-14,0.8277,0.8471,0.8089,0.8277,113400
1980-03-17,0.8277,0.8404,0.8150,0.8277,69201
1980-03-18,0.8277,0.8471,0.8150,0.8277,82200
1980-03-19,0.8277,0.8471,0.8211,0.8404,122601
1980-03-20,0.8404,0.8471,0.8277,0.8277,58800
1980-03-21,0.8277,0.8471,0.8277,0.8404,57801
1980-03-24,0.8338,0.8338,0.8150,0.8211,87801
1980-03-25,0.8211,0.8277,0.8089,0.8089,64200
1980-03-26,0.8089,0.8211,0.8089,0.8150,63000
1980-03-27,0.8150,0.8150,0.7895,0.8022,180600
1980-03-28,0.8089,0.8277,0.8089,0.8089,76401
1980-03-31,0.8211,0.8471,0.8211,0.8471,139401
1980-04-01,0.8471,0.8659,0.8338,0.8659,161400
1980-04-02,0.8659,0.8787,0.8532,0.8720,117000
1980-04-03,0.8720,0.8914,0.8720,0.8914,89001
1980-04-07,0.8914,0.8975,0.8853,0.8914,53601
1980-04-08,0.8914,0.9041,0.8914,0.8914,53001
1980-04-09,0.8914,0.9235,0.8914,0.9169,310401
1980-04-10,0.9235,0.9362,0.9235,0.9296,229401
1980-04-11,0.9296,0.9296,0.9169,0.9296,55800
1980-04-14,0.9296,0.9362,0.8975,0.9169,123201
1980-04-15,0.9169,0.9169,0.9041,0.9041,61200
1980-04-16,0.9169,0.9617,0.9169,0.9551,345000
1980-04-17,0.9551,0.9617,0.9484,0.9617,85401
1980-04-18,0.9617,0.9678,0.9551,0.9678,208800
1980-04-21,0.9678,0.9866,0.9617,0.9617,343200
1980-04-22,0.9617,0.9866,0.9617,0.9866,186201
1980-04-23,0.9933,1.0126,0.9933,1.0060,300801
1980-04-24,1.0060,1.0442,1.0060,1.0248,407001
1980-04-25,1.0187,1.0187,1.0060,1.0126,86001
1980-04-28,1.0126,1.0248,1.0126,1.0126,74001
1980-04-29,1.0126,1.0187,1.0126,1.0126,81801
1980-04-30,1.0126,1.0187,1.0126,1.0187,52200
1980-05-01,1.0187,1.0248,1.0126,1.0126,162801
1980-05-02,1.0126,1.0187,0.9999,1.0060,114000
1980-05-05,1.0060,1.0187,0.9999,1.0126,1952001
1980-05-06,1.0126,1.0126,1.0060,1.0060,441801
1980-05-07,1.0187,1.0381,1.0187,1.0315,80400
1980-05-08,1.0381,1.0442,1.0381,1.0442,588201
1980-05-09,1.0442,1.0503,1.0381,1.0381,627000
1980-05-12,1.0381,1.0442,1.0381,1.0442,220800
1980-05-13,1.0442,1.0569,1.0381,1.0503,253401
1980-05-14,1.0503,1.0630,1.0503,1.0569,383001
1980-05-15,1.0569,1.0569,1.0442,1.0569,186201
1980-05-16,1.0569,1.0630,1.0442,1.0569,137601
1980-05-19,1.0569,1.0569,1.0187,1.0315,416601
1980-05-20,1.0315,1.0381,1.0187,1.0315,113601
1980-05-21,1.0315,1.0315,1.0126,1.0248,144000
1980-05-22,1.0248,1.0248,1.0126,1.0248,75000
1980-05-23,1.0248,1.0248,1.0126,1.0187,158001
1980-05-27,0.9999,0.9999,0.9805,0.9999,93801
1980-05-28,0.9999,1.0187,0.9999,1.0187,725001
1980-05-29,1.0187,1.0248,1.0060,1.0187,121401
1980-05-30,1.0187,1.0315,1.0126,1.0248,213000
1980-06-02,1.0248,1.0248,1.0060,1.0187,110400
1980-06-03,1.0187,1.0187,1.0060,1.0126,58401
1980-06-04,1.0126,1.0187,1.0060,1.0187,163200
1980-06-05,1.0187,1.0187,1.0060,1.0060,81201
1980-06-06,1.0060,1.0126,0.9999,1.0060,129000
1980-06-09,1.0060,1.0126,0.9933,1.0060,69201
1980-06-10,1.0060,1.0060,0.9866,0.9999,123600
1980-06-11,0.9999,1.0126,0.9866,1.0126,66600
1980-06-12,1.0126,1.0187,1.0126,1.0187,81000
1980-06-13,1.0187,1.0442,1.0187,1.0187,356001
1980-06-16,1.0248,1.0381,1.0248,1.0381,208800
1980-06-17,1.0381,1.0569,1.0315,1.0442,417600
1980-06-18,1.0442,1.0569,1.0442,1.0569,447600
1980-06-19,1.0569,1.0569,1.0381,1.0381,138600
1980-06-20,1.0381,1.0503,1.0315,1.0381,172401
1980-06-23,1.0381,1.0503,1.0315,1.0315,505800
1980-06-24,1.0315,1.0503,1.0315,1.0315,239601
1980-06-25,1.0315,1.0503,1.0315,1.0442,97401
1980-06-26,1.0503,1.0630,1.0503,1.0630,860601
1980-06-27,1.0630,1.0697,1.0569,1.0630,109200
1980-06-30,1.0630,1.0630,1.0503,1.0503,133200
1980-07-01,1.0503,1.0569,1.0503,1.0569,95001
1980-07-02,1.0569,1.0569,1.0187,1.0442,67401
1980-07-03,1.0442,1.0630,1.0381,1.0630,115401
1980-07-07,1.0630,1.0697,1.0569,1.0630,109401
1980-07-08,1.0630,1.0630,1.0569,1.0569,94401
1980-07-09,1.0569,1.0630,1.0503,1.0503,114801
1980-07-10,1.0503,1.0569,1.0503,1.0503,70401
1980-07-11,1.0503,1.0630,1.0503,1.0503,91200
1980-07-14,1.0503,1.0630,1.0503,1.0503,69801
1980-07-15,1.0503,1.0630,1.0503,1.0569,98001
1980-07-16,1.0569,1.0697,1.0503,1.0630,183201
1980-07-17,1.0630,1.0630,1.0248,1.0503,2199000
1980-07-18,1.0503,1.0503,1.0187,1.0442,63801
1980-07-21,1.0442,1.0503,1.0315,1.0381,104601
1980-07-22,1.0381,1.0503,1.0381,1.0503,170601
1980-07-23,1.0442,1.0442,1.0187,1.0248,135000
1980-07-24,1.0248,1.0315,1.0187,1.0315,138801
1980-07-25,1.0315,1.0315,1.0187,1.0187,90600
1980-07-28,1.0187,1.0248,1.0187,1.0187,86400
1980-07-29,1.0187,1.0315,1.0187,1.0248,120600
1980-07-30,1.0248,1.0315,1.0187,1.0187,87801
1980-07-31,1.0187,1.0187,0.9999,1.0187,628200
1980-08-01,1.0126,1.0126,0.9933,1.0060,110601
1980-08-04,0.9999,0.9999,0.9866,0.9866,131601
