"MacroTrends Data Download"
"PPL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1985-04-08,0.9475,0.9475,0.9286,0.9381,4340000
1985-04-09,0.9381,0.9521,0.9331,0.9475,2136400
1985-04-10,0.9475,0.9809,0.9475,0.9760,1830000
1985-04-11,0.9760,0.9809,0.9710,0.9760,988800
1985-04-12,0.9760,0.9854,0.9521,0.9570,1182000
1985-04-15,0.9619,0.9665,0.9570,0.9619,535600
1985-04-16,0.9619,0.9710,0.9475,0.9521,690400
1985-04-17,0.9430,0.9570,0.9430,0.9475,1061600
1985-04-18,0.9430,0.9475,0.9381,0.9430,1284400
1985-04-19,0.9430,0.9475,0.9381,0.9430,434400
1985-04-22,0.9381,0.9430,0.9331,0.9331,471200
1985-04-23,0.9331,0.9475,0.9331,0.9475,376800
1985-04-24,0.9430,0.9475,0.9381,0.9430,295600
1985-04-25,0.9430,0.9475,0.9286,0.9381,649600
1985-04-26,0.9142,0.9331,0.9051,0.9240,1395200
1985-04-29,0.9142,0.9191,0.9142,0.9142,513600
1985-04-30,0.9142,0.9191,0.9096,0.9142,687600
1985-05-01,0.9142,0.9191,0.9096,0.9142,392400
1985-05-02,0.9191,0.9240,0.9096,0.9191,449600
1985-05-03,0.9286,0.9286,0.9096,0.9286,341200
1985-05-06,0.9240,0.9570,0.9240,0.9521,608800
1985-05-07,0.9521,0.9665,0.9521,0.9619,454400
1985-05-08,0.9619,0.9665,0.9521,0.9570,136400
1985-05-09,0.9521,0.9619,0.9475,0.9570,420400
1985-05-10,0.9570,0.9854,0.9521,0.9809,268400
1985-05-13,0.9710,0.9760,0.9665,0.9665,274000
1985-05-14,0.9760,0.9760,0.9710,0.9760,189600
1985-05-15,0.9710,0.9760,0.9665,0.9710,595200
1985-05-16,0.9710,0.9760,0.9665,0.9710,290000
1985-05-17,0.9665,0.9809,0.9665,0.9760,492800
1985-05-20,0.9854,1.0044,0.9854,0.9998,586800
1985-05-21,0.9949,1.0089,0.9900,0.9949,572400
1985-05-22,0.9760,0.9900,0.9710,0.9760,413600
1985-05-23,0.9760,0.9760,0.9665,0.9710,254800
1985-05-24,0.9665,0.9854,0.9665,0.9760,186800
1985-05-28,0.9760,0.9949,0.9760,0.9949,192400
1985-05-29,0.9900,1.0044,0.9900,1.0044,282000
1985-05-30,0.9998,1.0044,0.9949,1.0044,181600
1985-05-31,0.9949,1.0139,0.9949,1.0139,3320800
1985-06-03,1.0233,1.0233,1.0139,1.0188,4040000
1985-06-04,0.9949,0.9949,0.9809,0.9949,424000
1985-06-05,0.9900,1.0139,0.9854,0.9900,602000
1985-06-06,0.9900,1.0044,0.9854,0.9998,820400
1985-06-07,0.9998,1.0044,0.9998,0.9998,484400
1985-06-10,0.9998,1.0089,0.9998,1.0044,534400
1985-06-11,1.0044,1.0089,0.9998,1.0044,442400
1985-06-12,1.0044,1.0089,0.9998,1.0089,674000
1985-06-13,1.0044,1.0089,0.9854,0.9949,426000
1985-06-14,0.9949,0.9998,0.9900,0.9998,259600
1985-06-17,0.9998,1.0089,0.9998,1.0089,416400
1985-06-18,1.0044,1.0139,1.0044,1.0139,481200
1985-06-19,1.0139,1.0188,1.0139,1.0139,324800
1985-06-20,1.0089,1.0188,1.0089,1.0188,378800
1985-06-21,1.0044,1.0044,1.0044,1.0044,225200
1985-06-24,1.0044,1.0139,1.0044,1.0139,256000
1985-06-25,1.0089,1.0328,1.0089,1.0233,690000
1985-06-26,1.0233,1.0279,1.0188,1.0279,589600
1985-06-27,1.0233,1.0279,1.0089,1.0188,652000
1985-06-28,1.0188,1.0233,1.0188,1.0188,141600
1985-07-01,1.0139,1.0188,0.9998,1.0089,221200
1985-07-02,1.0044,1.0089,0.9900,0.9998,366400
1985-07-03,0.9998,0.9998,0.9900,0.9998,253200
1985-07-05,1.0044,1.0089,1.0044,1.0044,564800
1985-07-08,1.0044,1.0089,0.9998,1.0089,248000
1985-07-09,1.0089,1.0233,1.0089,1.0233,347600
1985-07-10,1.0188,1.0279,1.0139,1.0233,288400
1985-07-11,1.0233,1.0328,1.0188,1.0328,307200
