"MacroTrends Data Download"
"SMR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2020-12-09,10.0000,10.1500,9.9000,9.9500,12783
2020-12-10,10.2500,10.2500,10.0000,10.0000,3033
2020-12-11,10.1000,10.6350,10.0400,10.1300,170603
2020-12-14,10.1500,10.4016,10.1500,10.1800,134086
2020-12-15,10.2800,10.2800,10.0250,10.0700,129260
2020-12-16,10.1270,10.1900,10.0500,10.0900,129009
2020-12-17,10.1000,10.1451,10.0500,10.0500,25821
2020-12-18,10.1000,10.1200,10.0100,10.0600,42298
2020-12-21,10.1300,10.1400,10.0000,10.0500,144165
2020-12-22,10.1000,10.8200,10.0950,10.4700,185480
2020-12-23,10.4800,10.6500,10.2700,10.3500,234320
2020-12-24,10.4800,10.5200,10.1100,10.2499,173747
2020-12-28,10.4000,10.5900,10.3500,10.4400,387616
2020-12-29,10.4400,10.4400,10.1100,10.2200,225615
2020-12-30,10.2000,10.3200,10.0900,10.1900,124724
2020-12-31,10.1500,10.1500,10.0200,10.1200,183894
2021-01-04,10.1200,10.1500,10.0000,10.0900,135110
2021-01-05,10.1400,10.1900,10.0400,10.1700,105383
2021-01-06,10.1700,10.1700,9.9500,10.0500,273879
2021-01-07,10.1200,10.1400,10.0000,10.1100,228635
2021-01-08,10.1000,10.1700,10.0500,10.1300,227024
2021-01-11,10.1500,10.2100,10.1200,10.2100,185532
2021-01-12,10.2000,10.4600,10.2000,10.4600,429798
2021-01-13,10.5000,10.6800,10.4800,10.5700,320359
2021-01-14,10.7100,10.7100,10.4500,10.5910,253666
2021-01-15,10.6400,10.6900,10.3000,10.4600,250734
2021-01-19,10.5700,10.8100,10.3800,10.8000,474194
2021-01-20,10.8900,11.0700,10.6500,10.9000,499500
2021-01-21,10.9900,11.0800,10.7000,10.7800,448662
2021-01-22,10.8900,11.0900,10.7700,11.0500,559468
2021-01-25,11.3400,11.6500,11.0000,11.0300,586311
2021-01-26,11.2300,11.2900,10.8600,10.8800,499669
2021-01-27,10.7100,10.8532,10.6500,10.7300,536967
2021-01-28,10.7900,11.0000,10.7300,10.7900,366138
2021-01-29,10.7500,10.8000,10.6500,10.7200,218476
2021-02-01,10.7500,10.8400,10.6500,10.7000,182582
2021-02-02,10.8100,10.9000,10.6600,10.7100,450359
2021-02-03,10.7800,11.2500,10.7200,11.1000,844326
2021-02-04,11.0800,11.3200,10.9720,11.2400,344518
2021-02-05,11.3000,11.3700,11.0500,11.0900,208719
2021-02-08,11.2000,12.2699,11.1248,11.7200,1224609
2021-02-09,11.5300,11.9000,11.2600,11.3300,738576
2021-02-10,11.4000,11.5000,11.1000,11.3700,379087
2021-02-11,11.3000,11.5100,11.2501,11.4000,305538
2021-02-12,11.3900,11.3900,11.2000,11.2900,191278
2021-02-16,11.3500,11.4900,11.1501,11.3000,567190
2021-02-17,11.6300,11.7400,11.4000,11.5400,986395
2021-02-18,11.4000,11.6000,11.3150,11.4600,521379
2021-02-19,11.3900,11.7000,11.3400,11.5900,261617
2021-02-22,11.5000,11.5248,11.2000,11.2900,388118
2021-02-23,10.9000,11.0500,10.4006,10.7500,1079763
2021-02-24,10.8500,10.9000,10.7700,10.8000,373217
2021-02-25,10.8000,10.9094,10.3100,10.5500,555838
2021-02-26,10.6000,10.7000,10.3501,10.5900,448933
2021-03-01,10.8200,10.8500,10.5900,10.7000,327467
2021-03-02,10.7050,10.7050,10.3300,10.4100,457676
2021-03-03,10.4100,10.4699,10.2400,10.3000,299128
2021-03-04,10.1000,10.2500,9.7100,10.0500,800483
2021-03-05,10.0500,10.3200,9.8104,10.1100,442851
2021-03-08,10.1000,10.1700,9.9800,10.0800,222482
2021-03-09,10.0900,10.1800,10.0400,10.0800,119903
2021-03-10,10.1000,10.1801,10.0400,10.0700,126275
2021-03-11,10.1600,10.2500,10.0700,10.1900,249779
2021-03-12,10.1500,10.1700,10.0500,10.1448,78268
2021-03-15,10.1500,10.1500,10.0000,10.0400,274102
2021-03-16,10.1400,10.1400,10.0100,10.0500,278916
2021-03-17,9.9700,10.0500,9.9700,10.0300,225964
2021-03-18,10.0800,10.0802,9.9300,9.9700,335400
2021-03-19,9.9500,10.0200,9.8985,9.9200,259116
2021-03-22,9.9600,9.9899,9.9400,9.9400,76320
2021-03-23,9.9200,9.9700,9.8100,9.8800,498726
2021-03-24,9.8800,9.9150,9.7900,9.8000,535499
2021-03-25,9.8000,10.0000,9.8000,9.9100,725707
