"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","T-Mobile US","TMUS","189360046080","151","United States"
"2","Verizon","VZ","158207213568","37.67","United States"
"3","Comcast","CMCSA","141003014144","31.95","United States"
"4","China Mobile","0941.HK","138955373541","6.13","China"
"5","AT&T","T","131688480768","18.48","United States"
"6","NTT (Nippon Telegraph &amp; Telephone)","NPPXF","98220490752","27.95","Japan"
"7","Deutsche Telekom","DTE.DE","95633280638","19.23","Germany"
"8","American Tower","AMT","95310315520","204.71","United States"
"9","KDDI","9433.T","65178622967","29.73","Japan"
"10","SoftBank","9984.T","63353935684","40.88","Japan"
"11","Charter Communications","CHTR","59159597056","368.24","United States"
"12","Bharti Airtel","BHARTIARTL.NS","58851503975","9.93","India"
"13","America Movil","AMX","58820153344","18.51","Mexico"
"14","Crown Castle","CCI","57377669120","132.5","United States"
"15","Saudi Telecom Company","7010.SR","53143906231","10.64","Saudi Arabia"
"16","China Telecom","0728.HK","47152434361","0.35","China"
"17","BCE","BCE","41466732544","45.47","Canada"
"18","Vodafone","VOD","32449421312","11.77","United Kingdom"
"19","Telus","TU","30070290432","21.17","Canada"
"20","SBA Communications","SBAC","29128140800","270.01","United States"
"21","Telstra","TLS.AX","28530297630","2.47","Australia"
"22","Singtel","Z74.SI","28354070722","1.74","Singapore"
"23","Telkom Indonesia","TLK","28020938752","28.13","Indonesia"
"24","Chunghwa Telecom","CHT","26803886080","34.05","Taiwan"
"25","Orange","ORAN","25414316032","9.53","France"
"26","Swisscom","SCMN.SW","25266428916","487.75","Switzerland"
"27","Sirius XM","SIRI","24027338752","6.17","United States"
"28","Cellnex Telecom","CLNX.MC","21902063927","32.63","Spain"
"29","Rogers Communication","RCI","21208494080","41.88","Canada"
"30","Telefónica","TEF","19693570048","3.41","Spain"
"31","CK Hutchison Holdings","0001.HK","19516566695","5.09","Hong Kong"
"32","China Tower","0788.HK","16145260879","0.09","China"
"33","Advanced Info Service (AIS)","ADVANC.BK","14815130044","4.98","Thailand"
"34","BT Group","BT-A.L","14607669901","1.47","United Kingdom"
"35","Vantage Towers","VTWR.DE","13982879203","27.65","Germany"
"36","ZTE","000063.SZ","13096364942","2.95","China"
"37","China Unicom","0762.HK","12942294396","0.42","Hong Kong"
"38","Telefonica Brasil","VIV","12871787520","7.72","Brazil"
"39","MTN Group","MTN.JO","12849716500","7.11","South Africa"
"40","Telenor","TEL.OL","12636903891","9.03","Norway"
"41","Shaw Communications","SJR","12484057088","24.95","Canada"
"42","Vodacom","5VD.F","11514256456","6.78","South Africa"
"43","KPN","KPN.F","11226179151","2.72","Netherlands"
"44","Telia Company","TELIA.ST","10538578487","2.65","Sweden"
"45","Hong Kong Telecom","6823.HK","8807025690","1.16","Hong Kong"
"46","INWIT","INW.MI","8539087423","8.9","Italy"
"47","Liberty Global","LBTYB","8467001344","16.76","United Kingdom"
"48","Taiwan Mobile","3045.TW","8286483772","2.94","Taiwan"
"49","Dish Network","DISH","8166696448","15.4","United States"
"50","SK Telecom","SKM","7830612992","19.68","South Korea"
"51","Elisa","ELISA.HE","7790993375","48.61","Finland"
"52","Etihad Etisalat (Mobily)","7020.SR","7714342965","10.02","Saudi Arabia"
"53","Lumen","LUMN","7599395840","7.34","United States"
"54","Ciena","CIEN","7147851264","48.25","United States"
"55","Far EasTone","4904.TW","7116579293","2.18","Taiwan"
"56","KT Corporation","KT","6729175040","12.94","South Korea"
"57","OTE Group","OTE.F","6725074076","15.44","Greece"
"58","Mobile TeleSystems","MTSS.ME","6496445614","3.18","Russia"
"59","Telefónica Deutschland (O2)","O2D.DE","6400292382","2.15","Germany"
"60","Iridium Communications","IRDM","6360048640","50.62","United States"
"61","Elang Mahkota Teknologi","EMTK.JK","6218260162","0.1","Indonesia"
"62","Indus Towers","INDUSTOWER.NS","6143928378","2.28","India"
"63","PLDT","PHI","6069783040","27.65","Philippines"
"64","TIM S.A.","TIMB","5945189888","12.28","Brazil"
"65","Airtel Africa","AAF.L","5867826987","1.33","United Kingdom"
"66","Frontier Communications","FYBR","5752247296","23.48","United States"
"67","TPG Telecom","TPG.AX","5735906578","3.08","Australia"
"68","Spark New Zealand","NZTCF","5577338368","2.98","New Zealand"
"69","Tele2","TEL2-A.ST","5555684779","8.57","Sweden"
"70","Megacable Holdings","MEGACPO.MX","5390084333","2.1","Mexico"
"71","Cable One","CABO","5150301696","876","United States"
"72","Bezeq","BEZQ.TA","4730515187","1.71","Israel"
"73","Quebecor","QBR-B.TO","4404702052","18.91","Canada"
"74","A1 Telekom Austria","TA1.F","3891588312","5.86","Austria"
"75","Sarana Menara Nusantara","TOWR.JK","3667336156","0.07","Indonesia"
"76","Globalstar","GSAT","3656029696","2.03","United States"
