"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Tesla","TSLA","710925720000","228.52","United States"
"2","Toyota","TM","191406112768","139.52","Japan"
"3","Porsche","P911.DE","90717380000","99.58","Germany"
"4","BYD","002594.SZ","83866039267","33.09","China"
"5","Volkswagen","VOW3.DE","75142707945","127.81","Germany"
"6","Mercedes-Benz","MBG.DE","62053706039","58","Germany"
"7","General Motors","GM","56645242880","38.85","United States"
"8","Ford","F","53308383232","13.26","United States"
"9","BMW","BMW.DE","52149382914","79.29","Germany"
"10","Stellantis","STLA","43602849792","13.57","Netherlands"
"11","Honda","HMC","38894329856","22.83","Japan"
"12","Ferrari","RACE","36468563968","198.65","Italy"
"13","Maruti Suzuki India","MARUTI.NS","34856555135","115.39","India"
"14","Rivian","RIVN","30459631616","34.48","United States"
"15","Great Wall Motors","601633.SS","27845771732","3.99","China"
"16","Hyundai","HYMTF","26509578240","27.32","South Korea"
"17","Lucid Motors","LCID","23875520512","14.23","United States"
"18","SAIC Motor","600104.SS","22626014960","1.94","China"
"19","Mahindra &amp; Mahindra","M&M.NS","19821435377","15.94","India"
"20","Tata Motors","TTM","19347998720","25.26","India"
"21","Kia","000270.KS","18592801796","46.57","South Korea"
"22","NIO","NIO","16767865856","9.69","China"
"23","Suzuki Motor","7269.T","15895039952","32.73","Japan"
"24","Li Auto","LI","14253797376","14.26","China"
"25","GAC (Guangzhou Automobile Group)","601238.SS","13686679565","1.59","China"
"26","Chongqing Changan","000625.SZ","13576185475","1.56","China"
"27","Volvo Car","VOLCAR-B.ST","12927914440","4.12","Sweden"
"28","Nissan","7201.T","12251606392","3.13","Japan"
"29","Subaru","7270.T","11840511355","15.44","Japan"
"30","Geely","0175.HK","10788490673","1.07","China"
"31","Hotai Motor","2207.TW","9835544342","18.01","Taiwan"
"32","Renault","RNO.PA","9104263169","31.19","France"
"33","Isuzu","7202.T","8980670891","11.59","Japan"
"34","Polestar","PSNY","8752475136","4.15","Sweden"
"35","XPeng","XPEV","6237027840","6.89","China"
"36","Polaris","PII","5901334528","101.82","United States"
"37","Mitsubishi Motors","7211.T","4864629497","3.27","Japan"
"38","FAW Car","000800.SZ","4468007523","0.96","China"
"39","Mazda","7261.T","4165780204","6.61","Japan"
"40","Dongfeng Motor","0489.HK","4017658279","0.47","China"
"41","Leapmotor","9863.HK","2731716000","2.34","China"
"42","Tofaş Türk Otomobil Fabrikası","TOASO.IS","2657241198","5.31","Turkey"
"43","Fisker","FSR","2323924992","7.78","United States"
"44","Nikola","NKLA","1457680000","3.2","United States"
"45","Aston Martin","A5SA.F","835667148","1.2","United Kingdom"
"46","Arrival","ARVL","485124736","0.76","United Kingdom"
"47","Canoo","GOEV","390193600","1.38","United States"
"48","Lordstown Motors","RIDE","372072832","1.73","United States"
"49","Mullen Automotive","MULN","296415392","0.52","United States"
"50","Cenntro Electric Group","CENN","260315040","1","United States"
"51","Kandi Technologies Group","KNDI","212915936","2.81","China"
"52","Faraday Future","FFIE","203087136","0.51","United States"
"53","REE Automotive","REE","143886224","0.59","Israel"
"54","Electra Meccanica","SOLO","129587920","1.09","Canada"
"55","Sono","SEV","121258944","1.38","Germany"
"56","Phoenix Motor","PEV","42234172","2.15","United States"
"57","Arcimoto","FUV","32139002","0.71","United States"
