"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Delta Air Lines","DAL","22229985280","34.67","United States"
"2","Southwest Airlines","LUV","21497071616","36.23","United States"
"3","Air China","601111.SS","17404124848","1.41","China"
"4","Ryanair","RYAAY","15433603072","67.86","Ireland"
"5","United Airlines Holdings","UAL","14293293056","43.72","United States"
"6","China Southern Airlines","ZNH","14017780736","27.97","China"
"7","China Eastern Airlines","CEA","11164429312","17.27","China"
"8","Singapore Airlines","C6L.SI","10824316643","3.64","Singapore"
"9","ANA Holdings","9202.T","9129509008","19.41","Japan"
"10","American Airlines","AAL","9098613760","14","United States"
"11","InterGlobe Aviation","INDIGO.NS","8252922785","21.42","India"
"12","Lufthansa","LHA.DE","8124423552","6.8","Germany"
"13","Japan Airlines","9201.T","8116437662","18.57","Japan"
"14","Turkish Airlines","THYAO.IS","7200303064","5.22","Turkey"
"15","Qantas Airways","QAN.AX","6967413689","3.69","Australia"
"16","International Consolidated Airlines","BABWF","6927638016","1.35","Spain"
"17","Hainan Airlines","900945.SS","6909667328","0.22","China"
"18","Spring Airlines","601021.SS","6476006001","7.07","China"
"19","Cathay Pacific","0293.HK","6003275048","0.93","Hong Kong"
"20","Korean Air Lines","003495.KS","5931362899","18.22","South Korea"
"21","GOL Airlines","GOL","5767205376","3.29","Brazil"
"22","Alaska Airlines","ALK","5635234816","44.43","United States"
"23","Air Canada","AC.TO","5239005375","14.64","Canada"
"24","EVA Air","2618.TW","3939257079","0.74","Taiwan"
"25","Air France-KLM","AF.PA","3515736480","1.37","France"
"26","LATAM Airlines","LTMAQ","3478464000","0.32","Chile"
"27","China Airlines","2610.TW","3174572405","0.53","Taiwan"
"28","Copa Holdings","CPA","2989637888","75.29","Panama"
"29","easyJet","EJT1.F","2870639697","3.79","United Kingdom"
"30","Atlas Air Worldwide Holdings","AAWW","2862759936","100.86","United States"
"31","Frontier Airlines","ULCC","2716608768","12.48","United States"
"32","Jetblue Airways","JBLU","2513107200","7.76","United States"
"33","Spirit Airlines","SAVE","2350222592","21.59","United States"
"34","Air Transport Services Group","ATSG","2143997568","28.83","United States"
"35","Jet2","JET2.L","2102598595","9.79","United Kingdom"
"36","Wizz Air","WIZZ.L","1931804017","18.71","Jersey"
"37","Pegasus Airlines","PGSUS.IS","1744153409","17.05","Turkey"
"38","Cargojet","CJT.TO","1648271355","95.57","Canada"
"39","Air New Zealand","ANZFF","1514339072","0.44","New Zealand"
"40","Exchange Income Corporation","EIF.TO","1430060335","33.78","Canada"
"41","Allegiant Air","ALGT","1327234944","73","United States"
"42","Azul","AZUL","970668864","8.37","Brazil"
"43","Volaris","VLRS","966771776","8.2","Mexico"
"44","Sun Country Airlines","SNCY","954141376","16.41","United States"
"45","SkyWest","SKYW","894894656","17.69","United States"
"46","Bangkok Airways","BA.BK","752767575","0.36","Thailand"
"47","Norwegian Air Shuttle","NAS.OL","744561041","0.8","Norway"
"48","Hawaiian Airlines","HA","734818368","14.3","United States"
"49","Finnair","FIA1S.HE","598753231","0.43","Finland"
"50","Asiana Airlines","020560.KS","591467142","7.95","South Korea"
"51","Jin Air","272450.KS","474867146","9.21","South Korea"
"52","Icelandair","ICEAIR.IC","465399890","0.01","Iceland"
"53","Jeju Air","089590.KS","384662466","7.14","South Korea"
"54","SpiceJet","SPICEJET.NS","291532826","0.48","India"
"55","T’way Air","091810.KS","174019516","1.09","South Korea"
"56","Air Busan","298690.KS","167290787","1.43","South Korea"
"57","Nok Air","NOK.BK","102223441","0.03","Thailand"
"58","AirAsia","2630.TW","80802571","0.5","Malaysia"
"59","Mesa Air","MESA","52628040","1.45","United States"
