"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Airports of Thailand","AOT.BK","27675250681","1.94","Thailand"
"2","Shanghai Airport","600009.SS","19304005795","7.76","China"
"3","Aena","AENA.MC","17378412789","115.86","Spain"
"4","Aéroports de Paris","ADP.PA","13252289799","133.94","France"
"5","Grupo Aeroportuario del Pacífico","PAC","7649388544","151.39","Mexico"
"6","Grupo Aeroportuario del Sureste","ASR","6788699648","226.29","Mexico"
"7","Auckland Airport","AIA.AX","6441602299","4.37","New Zealand"
"8","Copenhagen Airport","KLH.F","6092925015","765.4","Denmark"
"9","Zurich Airport","FHZN.SW","4679128418","152.41","Switzerland"
"10","Japan Airport Terminal","9706.T","3904387939","41.92","Japan"
"11","Fraport","FRA.DE","3494368874","37.82","Germany"
"12","Grupo Aeroportuario Centro Norte","OMAB","3076806400","63.74","Mexico"
"13","Vienna Airport","FLW1.F","2737846522","32.34","Austria"
"14","Beijing Airport","0694.HK","2555300540","0.56","China"
"15","TAV Airports Holding","TAVHL.IS","1526097021","4.22","Turkey"
"16","Corporación América Airports","CAAP","1268242816","7.77","Luxembourg"
"17","Aeroporto G. Marconi Bologna","ADB.MI","259223679","7.18","Italy"
