"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","United Parcel Service","UPS","144608231424","167.17","United States"
"2","Deutsche Post","DPW.DE","43229597927","35.49","Germany"
"3","FedEx","FDX","41731481600","160.37","United States"
"4","S.F. Express","002352.SZ","33679442062","6.88","China"
"5","Japan Post Holdings","6178.T","23836052561","6.7","Japan"
"6","ZTO Express","ZTO","14480570368","17.35","China"
"7","Poste Italiane","PST.MI","11352509563","8.74","Italy"
"8","TFI International","TFII","7853601792","88.81","Canada"
"9","Yamato Holdings","9064.T","5232526877","14.78","Japan"
"10","Delhivery","DELHIVERY.NS","3136330331","4.32","India"
"11","Blue Dart Express","BLUEDART.NS","2293047637","96.56","India"
"12","Royal Mail","RMG.L","2291099346","2.4","United Kingdom"
"13","Österreichische Post","POST.VI","1898528427","28.1","Austria"
"14","Bpost","13B.F","960989914","4.76","Belgium"
"15","Singapore Post","S08.SI","853261738","0.38","Singapore"
"16","PostNL","PNL.AS","731454048","1.52","Netherlands"
"17","Pitney Bowes","PBI","525108512","3.02","United States"
"18","Gati","GATI.NS","267489625","2.18","India"
