"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Linde","LIN","150406856704","301.8","United Kingdom"
"2","Merck KGaA","MRK.DE","72816862476","167.48","Germany"
"3","SABIC","2010.SR","71687071540","23.9","Saudi Arabia"
"4","Air Liquide","AI.PA","69429061447","132.97","France"
"5","Air Products and Chemicals","APD","56434540544","254.44","United States"
"6","Bayer","BAYZF","51577257984","52.5","Germany"
"7","Corteva","CTVA","47441969152","66.02","United States"
"8","Shin-Etsu Chemical","4063.T","42359469353","104.16","Japan"
"9","BASF","BAS.DE","41466113582","45.15","Germany"
"10","Wanhua Chemical","600309.SS","35598758092","11.34","China"
"11","Sika","SIKA.SW","34837022843","227.51","Switzerland"
"12","Dow","DOW","33414475776","47.48","United States"
"13","Albemarle","ALB","32814860288","280.16","United States"
"14","Wesfarmers","WES.AX","32034355752","28.25","Australia"
"15","LG Chem","051910.KS","31946653484","432.6","South Korea"
"16","Dupont De Nemours","DD","28831920128","57.56","United States"
"17","Sociedad Química y Minera","SQM","27181314048","95.16","Chile"
"18","PPG Industries","PPG","26830684160","114.16","United States"
"19","Henkel","HEN3.DE","26382132302","63.24","Germany"
"20","LyondellBasell","LYB","25440806912","77.99","United States"
"21","PerkinElmer","PKI","17158890496","135.94","United States"
"22","Nan Ya Plastics","1303.TW","16876188693","2.13","Taiwan"
"23","Formosa Plastics","1301.TW","16441407551","2.58","Taiwan"
"24","PhosAgro","PHOR.ME","15734471527","117.2","Russia"
"25","Ems-Chemie","EMSN.SW","15369578924","657.13","Switzerland"
"26","FMC","FMC","14858123264","117.96","United States"
"27","Avantor","AVTR","12954952704","19.22","United States"
"28","Westlake Chemical","WLK","12552974336","98.1","United States"
"29","Formosa Chemicals &amp; Fibre","1326.TW","12336936079","2.11","Taiwan"
"30","Israel Chemicals","ICL","11537355776","8.95","Israel"
"31","Yara International","YAR.OL","11360775613","44.6","Norway"
"32","Croda International","CRDA.L","11136026464","79.75","United Kingdom"
"33","Sasol","SSL","10976160768","17.44","South Africa"
"34","POSCO Chemical","003670.KS","10889845630","140.68","South Korea"
"35","AkzoNobel","AKZA.AS","10812252103","62.61","Netherlands"
"36","Celanese","CE","10412339200","96.1","United States"
"37","Brenntag","BNR.DE","9414121650","60.93","Germany"
"38","Eastman Chemical","EMN","9356818432","76.19","United States"
"39","Asahi Kasei","3407.T","8927703292","6.44","Japan"
"40","Evonik Industries","EVK.DE","8703248890","18.68","Germany"
"41","OCI","OCI.AS","8031451210","37.79","Netherlands"
"42","Saudi International Petrochemical Company (Sipchem)","2310.SR","7903136085","10.78","Saudi Arabia"
"43","Toray Industries","3402.T","7693055181","4.81","Japan"
"44","Nippon Sanso","4091.T","6842612430","15.81","Japan"
"45","Covestro","1COV.F","6748714148","34.93","Germany"
"46","Yanbu National Petrochemical","2290.SR","6683241997","11.88","Saudi Arabia"
"47","UPL","UPL.NS","6513736847","8.68","India"
"48","Mitsubishi Chemical Holdings","4188.T","6420064819","4.52","Japan"
"49","Nissan Chemical","4021.T","6310069074","44.77","Japan"
"50","Petro Rabigh","2380.SR","5967222395","3.57","Saudi Arabia"
"51","Arkema","AKE.PA","5927566976","79.61","France"
"52","PI Industries","PIIND.NS","5925994448","39.06","India"
"53","Wacker Chemie","WCH.F","5908978529","118.95","Germany"
"54","Yuhan","000100.KS","5653666618","42.06","South Korea"
"55","Livent","LTHM","5605772800","31.27","United States"
"56","Sumitomo Chemical","4005.T","5524516389","3.38","Japan"
"57","Sekisui Chemical","4204.T","5458631414","12.47","Japan"
"58","Clariant","CLN.SW","5419179181","16.47","Switzerland"
"59","Bachem","BANB.SW","5300534490","71.89","Switzerland"
"60","Gujarat Fluorochemicals","FLUOROCHEM.NS","5208013726","47.41","India"
"61","Saudi Kayan Petrochemical Company","2350.SR","5164981339","3.44","Saudi Arabia"
"62","Barito Pacific","OB8.F","5010415467","0.04","Indonesia"
